mpa_exposure_class,year,production_ton,assisted_trips,fleet_monitored,estimated_fishermen,n_locals,cpue_ton_per_trip,cpue_per_fisherman,richness,shannon_h,simpson_1d,pielou_j,total_production_div
0-10 km,2014,921.23,10432,232.0,648.0,2,0.08830809049079755,1.4216512345679013,39,2.831088825820972,0.9108802277759248,0.7727695339347881,921.1999999999999
0-10 km,2015,870.1,12754,246.0,690.0,2,0.06822173435784852,1.2610144927536233,47,2.72461290365062,0.87751737250316,0.7076645327676457,869.9000000000001
0-10 km,2016,1694.4,12584,258.0,661.0,2,0.1346471710108074,2.56338880484115,43,2.9225951162281234,0.9208293285464548,0.7770379204322658,1695.6
0-10 km,2017,1763.0,11428,273.0,618.0,2,0.15427021351067555,2.852750809061489,38,2.7563616678981253,0.9070964492910933,0.7577447095041331,1762.5999999999997
0-10 km,2018,707.1099999999999,10272,278.0,710.0,2,0.06883859034267911,0.9959295774647886,48,2.7479025776316948,0.890184452465983,0.7098320572579218,706.3
0-10 km,2019,1940.234,31153,291.0,808.0,2,0.06228080762687382,2.401279702970297,53,2.8780093514818623,0.8990596769639294,0.724886082471195,1940.26
0-10 km,2020,1559.54,21842,277.0,733.0,2,0.07140097060708726,2.127612551159618,52,2.8437442867165084,0.8961844075641504,0.7197086510617642,1559.53
0-10 km,2021,1512.04756,21970,263.0,750.0,2,0.06882328447883478,2.0160634133333333,53,2.8922616522214724,0.9180584103508829,0.7284758187046849,1512.05
0-10 km,2022,1700.73,22615,355.6,849.0,2,0.0752036259120053,2.00321554770318,51,2.916034681142213,0.9178671608146922,0.7416490336886378,1700.5500000000002
0-10 km,2023,1763.23,22976,277.0,795.5999999999999,2,0.07674225278551532,2.2162267471091,53,2.863220481929787,0.9056843926029063,0.7211612003028095,1763.24
0-10 km,2024,1204.5,18528,266.6,652.0,2,0.06500971502590673,1.8473926380368098,51,2.885259835815159,0.9165596731963488,0.7338219202299643,1204.71
10-25 km,2003,0.82,3,1.0,5.0,1,,0.16399999999999998,1,-0.0,0.0,,0.8200000000000001
10-25 km,2004,40.3,814,61.0,151.49,1,0.0495085995085995,0.2660241600105617,24,2.1773789595241757,0.8410313388765405,0.685129666065407,40.29
10-25 km,2005,30.07,739,76.0,170.8,2,0.04069012178619757,0.17605386416861826,25,2.2338165212447043,0.8564590928665207,0.693974121022879,30.090000000000003
10-25 km,2007,21.61,830,81.0,172.41,2,0.026036144578313252,0.12534075749666493,26,2.3338230543510017,0.8497705174381313,0.7163148872710332,21.630000000000003
10-25 km,2008,148.38,3849,128.0,292.29,1,0.038550272798129386,0.5076465154469876,35,2.416549085365813,0.871821068940214,0.6796940956474082,148.4
10-25 km,2009,279.372,4879,174.0,267.5,2,0.05726009428161509,1.044381308411215,39,2.7458984918438127,0.897933124067713,0.7495161149382338,279.3127
10-25 km,2010,354.645,9116,241.0,302.5,2,0.038903576129881524,1.172380165289256,37,2.7832372631928544,0.8955619968383146,0.7707838645256626,354.642
10-25 km,2011,340.376,8978,311.0,297.5,2,0.03791222989529962,1.1441210084033613,50,2.93144547562583,0.9193514924094752,0.7493425962879792,340.41599999999994
10-25 km,2012,316.5,10566,224.0,250.5,2,0.02995457126632595,1.2634730538922156,43,2.986313488523706,0.9204926385073219,0.7939788888294852,316.2
10-25 km,2013,293.4,8932,205.0,302.75,2,0.032848186296462155,0.9691164327002476,37,2.837799233547698,0.9035393428862306,0.7858941416559696,293.2
10-25 km,2014,130.12,4252,97.0,217.0,2,0.030602069614299156,0.59963133640553,32,2.7250732993332925,0.8958534456243655,0.7862899470014133,129.9
10-25 km,2015,123.80000000000001,3911,92.0,207.0,2,0.03165430836103299,0.5980676328502416,37,2.762104039062036,0.8927393340270551,0.7649312739539367,124.0
10-25 km,2016,277.3,3669,89.0,213.0,2,0.07557917688743528,1.3018779342723006,40,2.8534483243206505,0.901500279093727,0.7735271265474423,278.1
10-25 km,2017,279.0,2626,101.0,215.0,2,0.10624523990860625,1.2976744186046512,31,2.70277593185233,0.8962637714617857,0.7870663956820287,279.6
10-25 km,2018,93.75999999999999,1581,78.0,178.0,2,0.059304237824161915,0.5267415730337078,37,2.673638256767074,0.8885143275398821,0.7404317465664031,93.80000000000001
10-25 km,2019,256.786,18158,74.0,183.0,2,0.014141755699966957,1.4032021857923498,48,2.8564053046617817,0.9166308041478555,0.737860239396839,256.82
10-25 km,2020,355.68,4782,67.0,158.0,2,0.07437892095357591,2.2511392405063293,47,2.2664879573175036,0.8015259002296083,0.5886756020238897,355.73999999999995
10-25 km,2021,222.63830000000002,5600,69.0,169.4,2,0.03975683928571429,1.314275678866588,46,2.555427387094424,0.8551554114236496,0.6674501794390506,222.62
10-25 km,2022,227.86,5725,70.9,158.3,2,0.039800873362445414,1.4394188250157929,46,2.5030885051467924,0.8503744975223924,0.653779825773746,228.07
10-25 km,2023,265.68,6191,67.0,169.3,2,0.04291390728476821,1.5692852923803897,48,2.5516804177420185,0.8653733606302523,0.65914438711711,265.70000000000005
10-25 km,2024,203.9,4913,71.8,161.0,2,0.041502137187054755,1.2664596273291926,45,2.675035130011492,0.8796844998693375,0.7027245355216386,203.97
25-50 km,2001,202.7,5976,219.0,710.82,1,0.0339190093708166,0.2851636138544216,29,2.6588505656192885,0.9076283590375515,0.7896100312724732,202.7
25-50 km,2002,305.65,5495,208.0,697.0,1,0.05562329390354868,0.43852223816355806,29,2.3357122215656907,0.8472963841598449,0.6936462786446277,305.60999999999996
25-50 km,2003,332.59,5482,200.0,684.23,1,0.06066946369937978,0.4860792423600251,30,2.4323704797815404,0.8472620416168744,0.7151512267108849,332.6199999999999
25-50 km,2004,421.24,6107,200.0,666.13,1,0.06897658424758474,0.6323690570909583,31,2.181227900576204,0.7716464042589266,0.6351881270050431,421.22999999999996
25-50 km,2005,335.3,4930,217.0,699.5,1,0.06801217038539555,0.47934238741958546,30,2.6120973157418352,0.9026570789751738,0.767993451313699,335.2999999999999
25-50 km,2006,364.5,4786,196.0,666.79,1,0.07615963226076056,0.5466488699590576,32,2.3209207991684133,0.8323812305440403,0.669676185451264,364.48
25-50 km,2007,509.34,5534,208.0,654.75,1,0.09203830863751354,0.7779152348224513,30,2.0913108372131073,0.760145809455636,0.6148748815604138,509.34000000000003
25-50 km,2008,431.96,5406,201.0,640.87,2,0.07990381058083611,0.674021252360073,35,2.5114724247756057,0.845835405512034,0.7063928429340599,431.9599999999999
25-50 km,2009,1522.1180000000002,5595,149.0,939.5,2,0.2720496872207328,1.620136242682278,38,2.5386290098734956,0.8307724559449738,0.6978883518911475,1522.2129000000002
25-50 km,2010,1385.945,7035,185.0,868.5,2,0.19700710732054014,1.5957915947035117,38,2.940344713695863,0.9136043933465852,0.8083230429700754,1385.9520000000005
25-50 km,2011,1300.534,11918,302.0,740.5,2,0.10912351065615036,1.7562916948008105,49,2.8212210839582434,0.8942724510698944,0.7249104192523663,1300.5479999999998
25-50 km,2012,1485.8999999999999,15401,424.0,605.5,2,0.0964807480033764,2.454004954582989,44,2.549538877926713,0.8161273659094911,0.6737344384316295,1485.8999999999999
25-50 km,2013,1675.8000000000002,14983,370.0,592.5,2,0.11184675966094909,2.828354430379747,37,2.6200936853129964,0.8586052763117337,0.7256032257444309,1675.7999999999997
25-50 km,2014,1093.57,7275,183.0,580.0,2,0.1503189003436426,1.8854655172413792,37,2.303750502132046,0.7990373355753858,0.6379958110000463,1093.3999999999999
25-50 km,2015,777.6,7836,190.0,641.0,2,0.0992343032159265,1.2131045241809673,42,2.9340760525782223,0.9174081059797795,0.7850014453459856,777.6
25-50 km,2016,1707.8,6858,183.0,592.0,2,0.2490230387868183,2.8847972972972973,38,2.75870241677053,0.8870439909325146,0.7583881991067494,1708.4
25-50 km,2017,1783.0,5712,204.0,525.0,2,0.3121498599439776,3.396190476190476,35,2.697640082459358,0.8754028104801977,0.7587555524252264,1783.4
25-50 km,2018,458.53999999999996,4567,212.0,604.0,2,0.10040289029997809,0.7591721854304635,43,2.925529279596473,0.9227412123535789,0.7778180340338015,458.29999999999995
25-50 km,2019,1156.6070000000002,14928,157.0,597.0,2,0.07747903269024653,1.9373651591289787,49,2.804360956206177,0.901621716422816,0.7205782234004017,1156.58
25-50 km,2020,1017.0500000000001,8756,160.0,567.0,2,0.11615463682046598,1.7937389770723104,49,2.718160234431298,0.8867459598306613,0.6984290193848085,1017.1299999999999
25-50 km,2021,1263.5892800000001,9470,145.0,540.4,2,0.13343075818373815,2.3382481125092527,49,2.643095545604705,0.8818385991165396,0.6791412098055649,1263.5199999999998
25-50 km,2022,914.74,8939,204.70000000000002,557.5,2,0.10233135697505313,1.6407892376681614,48,2.979708296579811,0.9276090165311166,0.7697115929097664,914.6999999999999
25-50 km,2023,1022.78,9624,146.0,565.1,2,0.10627389858686616,1.8099097504866395,51,3.044217656626886,0.9346308001721715,0.7742504223203753,1022.7599999999999
25-50 km,2024,801.5,7589,172.3,463.0,2,0.10561338779812887,1.7311015118790496,51,3.125270806198665,0.9436716243156213,0.7948650571345897,801.45
inside,2001,96.6,4841,61.0,151.65,1,0.019954554844040486,0.6369930761622156,25,2.712443222257789,0.9129988978080348,0.842667865999103,96.61000000000001
inside,2002,65.83,3021,66.0,171.04,1,0.021790797749089704,0.38488072965388215,12,2.241419314521113,0.8804748876848932,0.902013487996557,65.83
inside,2003,64.88,1890,79.0,276.21999999999997,2,0.034328042328042326,0.23488523640576353,16,1.9140492626671084,0.774125405118855,0.6903473448167535,64.87
inside,2004,69.85,2616,50.0,127.54,1,0.026701070336391436,0.5476713188019444,20,2.149627015118042,0.8022400489287247,0.7175631260826353,69.84
inside,2005,256.84000000000003,5506,183.0,469.36,2,0.046647293861242285,0.5472132265212204,34,2.5500502026587597,0.8353750339004196,0.7231393911251682,256.85999999999996
inside,2006,123.16999999999999,3297,111.0,349.36,2,0.03735820442826812,0.35255896496450645,32,2.8962089884145197,0.9312443207852229,0.8356692689927337,123.18
inside,2007,100.72999999999999,2167,136.0,465.62,2,0.0464836179049377,0.21633520896868688,32,2.792422411825196,0.9014713765047451,0.8057227931214818,100.66999999999999
inside,2008,728.6,11731,227.0,733.71,2,0.06210894211917143,0.9930353954559703,36,2.2141814977694345,0.7804480228678121,0.6178791115091391,728.56
inside,2009,1412.563,10552,305.0,991.5,2,0.1338668498862775,1.4246727181038832,38,2.60672541127784,0.8710847669870833,0.7166085686541964,1412.4742
inside,2010,1156.574,12057,350.0,818.5,2,0.09592552044455503,1.4130409285277947,38,2.8680536287653755,0.9081581437320281,0.7884496759194582,1156.577
inside,2011,1287.568,12473,314.0,677.5,2,0.10322841337288544,1.900469372693727,52,3.0691615602980664,0.9299981578341809,0.776758352279002,1287.5639999999999
inside,2012,1543.1,15430,405.0,565.0,2,0.10000648088139986,2.731150442477876,49,2.85931579200333,0.8809788292442894,0.7346988229110811,1543.1999999999998
inside,2013,2118.1,15348,388.0,626.5,2,0.13800495178524888,3.380845969672785,41,2.4160150545283274,0.7805367263656204,0.6505905934047144,2118.4
inside,2014,1586.3,6760,196.0,655.0,2,0.23465976331360947,2.4218320610687023,39,1.5253091869925866,0.49101917006862905,0.4163459863174386,1586.3999999999996
inside,2015,2349.8999999999996,9156,245.0,775.0,2,0.25665137614678896,3.032129032258064,48,1.1085666786623771,0.34880123855678846,0.2863624687890829,2350.1
inside,2016,3597.7999999999997,8406,232.0,676.0,2,0.4280038068046633,5.322189349112426,42,1.4624606610028663,0.47001821177156267,0.39127606513133795,3598.3000000000006
inside,2017,3534.0,6690,215.0,570.0,2,0.5282511210762332,6.2,37,1.431709380387293,0.461325239367363,0.3964945797781574,3534.7000000000003
inside,2018,2434.26,4974,220.0,669.0,2,0.48939686369119423,3.6386547085201797,46,1.0546684822913883,0.3846337139774869,0.2754680768114064,2432.8999999999996
inside,2019,4463.841,13469,215.0,675.0,2,0.33141591803400405,6.613097777777778,53,1.1519323850391703,0.35710480827577595,0.2901379571379085,4463.839999999999
inside,2020,3686.58,10554,182.0,586.0,2,0.3493064241046049,6.291092150170648,52,1.0184750841931918,0.3164520422042568,0.25776063354523826,3686.6000000000004
inside,2021,4436.42806,12372,204.0,637.9,2,0.3585861671516327,6.9547390813607155,53,1.1109449789877146,0.3719986948590901,0.27981443258507904,4436.399999999999
inside,2022,4444.21,11942,229.8,598.9000000000001,2,0.3721495561882432,7.420621138754382,51,1.1622568084926346,0.38818201716290623,0.2956023275343768,4444.18
inside,2023,4293.18,11426,182.0,539.0999999999999,2,0.3757377910029757,7.963606010016696,54,1.0989884143880781,0.3566921908935965,0.2755058434827887,4293.209999999999
inside,2024,3290.5,8324,167.1,465.0,2,0.39530273906775587,7.076344086021505,52,1.0013170174161092,0.3277712969914296,0.2534181864579088,3290.86
