log_fish_dm,cpue_effect,ci_lo,ci_hi
-0.21015837616451183,0.2774077556654867,0.06084011949624202,0.4939753918347314
-0.1941064485947499,0.2802273239888419,0.06285362636816264,0.49760102160952124
-0.17805452102498798,0.2829891949936351,0.06478726038498106,0.5011911296022892
-0.16200259345522605,0.2856931902780979,0.06664062910364024,0.5047457514525556
-0.14595066588546413,0.2883391314404623,0.06841329866244894,0.5082649642184757
-0.1298987383157022,0.29092684007896,0.07010479385231858,0.5117488863056014
-0.11384681074594072,0.29345613779182284,0.0717145982380189,0.5151976773456268
-0.09779488317617879,0.29592685235633753,0.07324215497520603,0.518611549737469
-0.08174295560641687,0.2983391822930753,0.07468690878715292,0.5219914557989977
-0.06569102803665494,0.30069390077469876,0.07604834924864085,0.5253394523007566
-0.049639100466893016,0.3029918304063084,0.07732597092580415,0.5286576898868126
-0.03358717289713109,0.30523379379300486,0.07851927226972369,0.5319483153162861
-0.01753524532736961,0.30742061353988853,0.07962775917802478,0.5352134679017523
-0.0014833177576076828,0.30955311225206034,0.08065094849451088,0.5384552760096097
0.014568609812154243,0.3116321125346205,0.08158837143770661,0.5416758536315344
0.03062053738191617,0.3136584369926697,0.08243957694869941,0.54487729703664
0.046672464951678094,0.3156329082313084,0.08320413494829962,0.5480616815143172
0.06272439252144002,0.3175563488556373,0.08388163949331404,0.5512310582179606
0.07877632009120195,0.3194295814707569,0.08447171182163077,0.554387451119883
0.09482824766096343,0.32125342868176776,0.08497400327586699,0.5575328540876685
0.11088017523072535,0.32302871309377035,0.08538819809552387,0.5606692280920168
0.12693210280048728,0.3247562573118654,0.08571401606793383,0.563798498555797
0.1429840303702492,0.32643688394115333,0.08595121502875971,0.566922552853547
0.15903595794001113,0.3280714155867347,0.08609959320342361,0.5700432379700457
0.17508788550977306,0.32966067485371015,0.08615899138157887,0.5731623583258414
0.19113981307953454,0.33120548434718017,0.0861292949175946,0.5762816737767658
0.20719174064929646,0.3327066666722453,0.08601043555098298,0.5794028977935076
0.2232436682190584,0.3341650444340062,0.08580239304174508,0.5825276958262673
0.23929559578882031,0.3355814402375633,0.08550519661673223,0.5856576838583945
0.25534752335858224,0.3369566766880173,0.08511892622429829,0.5887944271517364
0.27139945092834417,0.3382915763904686,0.08464371359572997,0.5919394391852072
0.28745137849810565,0.33958696195001786,0.08407974311318106,0.5950941807868546
0.3035033060678676,0.3408436559717656,0.08342725248506622,0.5982600594584649
0.3195552336376295,0.34206248106081244,0.0826865332310952,0.6014384288905297
0.3356071612073914,0.3432442598222588,0.08185793098030564,0.604630588664212
0.35165908877715335,0.3443898148612054,0.08094184558659462,0.6078377841358162
0.3677110163469153,0.3454999687827527,0.07993873106730903,0.6110612064981964
0.3837629439166772,0.34657554419200126,0.07884909537145296,0.6143019930125495
0.3998148714864387,0.3476173636940516,0.07767349998496631,0.6175612274031369
0.4158667990562006,0.3486262498940044,0.07641255938133179,0.6208399404066771
0.43191872662596253,0.3496030253969601,0.07506694032646499,0.6241391104674552
0.44797065419572446,0.3505485128080194,0.07363736104742458,0.6274596645686142
0.4640225817654864,0.35146353473228265,0.0721245902749531,0.6308024791896122
0.4800745093352483,0.3523489137748506,0.07052944617021623,0.634168381379485
0.4961264369050098,0.3532054725408238,0.06885279514635106,0.6375581499352965
0.5121783644747717,0.35403403363530256,0.06709555059556893,0.6409725166750362
0.5282302920445336,0.35483541966338766,0.06525867153258957,0.6444121677941858
0.5442822196142956,0.35561045323017965,0.06334316116510791,0.6478777452952513
0.5603341471840575,0.3563599569407791,0.061350065401837794,0.6513698484797203
0.5763860747538194,0.35708475340028634,0.05928047130842956,0.6548890354921431
0.5924380023235809,0.3577856652138022,0.05713550552123442,0.65843582490637
0.6084899298933428,0.35846351498642726,0.05491633262850598,0.6620106973443485
0.6245418574631048,0.3591191253232618,0.05262415352818278,0.6656140971183409
0.6405937850328667,0.3597533188294066,0.05026020377090917,0.6692464338879041
0.6566457126026286,0.3603669181099621,0.047825751896420965,0.6729080843235031
0.6726976401723905,0.36096074577002896,0.04532209777087126,0.6765993937691867
0.6887495677421525,0.3615356244147076,0.04275057093209361,0.6803206778973216
0.7048014953119139,0.3620923766490987,0.040112528949216186,0.6840722243489812
0.7208534228816759,0.3626318250783028,0.037409355802448974,0.6878542943541567
0.7369053504514378,0.3631547923074204,0.03464246028827872,0.6916671243265622
0.7529572780211997,0.3636621009415522,0.03181327445472898,0.6955109274283755
0.7690092055909616,0.3641545735857985,0.028923252070776506,0.6993858951008205
0.7850611331607236,0.36463303284526016,0.02597386713347155,0.7032921985570488
0.801113060730485,0.3650983013250374,0.02296661241578346,0.7072299902342913
0.817164988300247,0.3655512016302311,0.019902998057698573,0.7111994052027636
0.8332169158700089,0.36599255636594163,0.016784550202623205,0.7152005625292601
0.8492688434397708,0.36642318813726965,0.013612809680708271,0.719233566593831
0.8653207710095328,0.36684391954931556,0.010389330740298242,0.7232985083583329
0.8813726985792947,0.36725557320718016,0.007115679828332333,0.727395466586028
0.8974246261490566,0.36765897171596373,0.0037934344201767667,0.7315245090117507
0.9134765537188181,0.368054937680767,0.0004241818990537438,0.7356856934624803
0.92952848128858,0.3684442937066906,-0.0029904815150551545,0.7398790689284362
0.9455804088583419,0.3688278623988348,-0.00644895178740118,0.7441046765850707
0.9616323364281039,0.3692064663623005,-0.009949618041960928,0.7483625507665619
