year_c,year,effect,ci_lo,ci_hi
-9.879396984924623,2004.1206030150754,-0.1436593901031573,-0.33605563741258804,0.048736857206273465
-9.763819095477388,2004.2361809045226,-0.12998433843510704,-0.3237641364682764,0.06379545959806229
-9.64824120603015,2004.3517587939698,-0.11636719853349099,-0.31159061308902725,0.07885621602204525
-9.532663316582914,2004.467336683417,-0.10280937558084663,-0.299532963629231,0.09391421246753776
-9.417085427135678,2004.5829145728644,-0.08931227475970872,-0.2875891423806485,0.10896459286123102
-9.301507537688442,2004.6984924623116,-0.07587730125261374,-0.27575716861095245,0.12400256610572497
-9.185929648241206,2004.8140703517588,-0.06250586024209788,-0.26403513247214666,0.13902341198795093
-9.07035175879397,2004.929648241206,-0.04919935691069691,-0.25242119984723804,0.1540224860258442
-8.954773869346734,2005.0452261306532,-0.0359591964409468,-0.24091361621063345,0.16899522332873984
-8.839195979899497,2005.1608040201006,-0.022786784015383595,-0.2295107095821191,0.18393714155135193
-8.72361809045226,2005.2763819095478,-0.009683524816543472,-0.21821089265631896,0.19884384302323202
-8.608040201005025,2005.391959798995,0.0033491759730376208,-0.2070126641896073,0.21371101613568255
-8.492462311557789,2005.5075376884422,0.016309913170823462,-0.19591460972491925,0.2285344360665662
-8.376884422110553,2005.6231155778894,0.029197281594278576,-0.18491540173211396,0.24330996492067114
-8.261306532663315,2005.7386934673366,0.042009876060866855,-0.17401379923779992,0.25803355135953365
-8.145728643216081,2005.854271356784,0.05474629138805145,-0.16320864701410054,0.27270122979020345
-8.030150753768844,2005.9698492462312,0.0674051223932974,-0.15249887439095594,0.28730911917755075
-7.914572864321608,2006.0854271356784,0.07998496389406806,-0.1418834937514353,0.3018534215395714
-7.798994974874372,2006.2010050251256,0.09248441070782763,-0.13136159876428904,0.3163304201799443
-7.683417085427136,2006.3165829145728,0.10490205765204004,-0.12093236240280274,0.3307364777068828
-7.567839195979899,2006.4321608040202,0.11723649954416941,-0.11059503479394898,0.3450680338822878
-7.452261306532663,2006.5477386934674,0.12948633120167938,-0.10034894093700433,0.3593216033403631
-7.336683417085427,2006.6633165829146,0.14165014744203436,-0.0901934783262199,0.37349377321028865
-7.221105527638191,2006.7788944723618,0.15372654308269823,-0.08012811450787058,0.38758120067326707
-7.105527638190955,2006.894472361809,0.16571411294113475,-0.07015238459805018,0.4015806104803197
-6.989949748743719,2007.0100502512562,0.17761145183480795,-0.06026588878396649,0.4154887924535824
-6.874371859296482,2007.1256281407036,0.18941715458118216,-0.05046828982819834,0.42930259899056267
-6.758793969849246,2007.2412060301508,0.20112981599772095,-0.04075931059241114,0.443018942587853
-6.64321608040201,2007.356783919598,0.2127480309018884,-0.031138731594362506,0.4566347933981393
-6.527638190954773,2007.4723618090452,0.22427039411114877,-0.021606388609671234,0.47014717683196877
-6.4120603015075375,2007.5879396984924,0.23569550044296567,-0.01216217032772307,0.4835531712136544
-6.296482412060302,2007.7035175879396,0.24702194471480327,-0.002806016069246159,0.49684990549885266
-6.180904522613066,2007.819095477387,0.2582483217441256,0.006462086428514202,0.510034557059737
-6.065326633165829,2007.9346733668342,0.2693732263483966,0.015642103154495324,0.5231043495422979
-5.949748743718593,2008.0502512562814,0.2803952533450801,0.024733955891068027,0.5360565507990922
-5.834170854271357,2008.1658291457286,0.29131299755164014,0.033737524203548586,0.5488884708997317
-5.71859296482412,2008.2814070351758,0.30212505378554105,0.04265264735056429,0.5615974602205178
-5.603015075376884,2008.3969849246232,0.31283001686424644,0.051479126114608253,0.5741809076138846
-5.4874371859296485,2008.5125628140704,0.32342648160522014,0.06021672455274274,0.5866362386576975
-5.371859296482412,2008.6281407035176,0.33391304282592676,0.0688651716679271,0.5989609139839265
-5.256281407035176,2008.7437185929648,0.3442882953438299,0.07742416300186727,0.6111524276857925
-5.14070351758794,2008.859296482412,0.3545508339763932,0.08589336215063298,0.6232083058021534
-5.025125628140703,2008.9748743718592,0.36469925354108135,0.09427240220455452,0.6351261048776082
-4.909547738693467,2009.0904522613066,0.37473214885535794,0.10256088711411915,0.6469034105965967
-4.793969849246231,2009.2060301507538,0.3846481147366868,0.11075839298375556,0.6585378364896181
-4.678391959798995,2009.321608040201,0.3944457460025322,0.11886446929549466,0.6700270227095697
-4.5628140703517595,2009.4371859296482,0.4041236374703582,0.1268786400645769,0.6813686348761394
-4.447236180904522,2009.5527638190954,0.4136803839576287,0.13480040492911333,0.6925603629861441
-4.331658291457286,2009.6683417085428,0.4231145802818074,0.1426292401759227,0.703599920387692
-4.21608040201005,2009.78391959799,0.43242482126035847,0.15036459970465604,0.714485042816061
-4.100502512562814,2009.8994974874372,0.4416097017107459,0.15800591593228708,0.7252134874892048
-3.984924623115578,2010.0150753768844,0.45066781645043374,0.16555260064000643,0.7357830322608611
-3.8693467336683423,2010.1306532663316,0.45959776029688604,0.17300404576449224,0.7461914748292798
-3.7537688442211063,2010.2462311557788,0.46839812806756653,0.1803596241354608,0.7564366319996723
-3.6381909547738687,2010.3618090452262,0.4770675145799396,0.1876186901613231,0.7665163389985561
-3.5226130653266328,2010.4773869346734,0.4856045146514687,0.19478058046468016,0.7764284488382572
-3.407035175879397,2010.5929648241206,0.4940077230996182,0.20184461446930468,0.7861708317299317
-3.291457286432161,2010.7085427135678,0.5022757347418519,0.20881009494015007,0.7957413745435538
-3.175879396984925,2010.824120603015,0.510407144395634,0.2156763084778326,0.8051379803134353
-3.060301507537689,2010.9396984924624,0.5184005468784282,0.22244252596892605,0.8143585677879304
-2.9447236180904515,2011.0552763819096,0.5262545370076988,0.22910800299329942,0.823401071022098
-2.8291457286432156,2011.1708542713568,0.5339677096009093,0.235671980189622,0.8322634390121967
-2.7135678391959797,2011.286432160804,0.5415386594755242,0.24213368358005005,0.8409436353709983
-2.5979899497487438,2011.4020100502512,0.5489659814490072,0.24849232485499306,0.8494396380430214
-2.482412060301508,2011.5175879396984,0.5562482703388224,0.2547471016187536,0.8577494390588912
-2.366834170854272,2011.6331658291458,0.5633841209624336,0.26089719759671204,0.8658710443281552
-2.2512562814070343,2011.748743718593,0.5703721281373052,0.26694178280461933,0.8738024734699911
-2.1356783919597984,2011.8643216080402,0.5772108866809008,0.2728800136804393,0.8815417596813624
-2.0201005025125625,2011.9798994974874,0.5838989914106846,0.2787110331790711,0.8890869496422981
-1.9045226130653266,2012.0954773869346,0.5904350371441203,0.28443397083015703,0.8964361034580834
-1.7889447236180906,2012.211055276382,0.5968176186986721,0.29004794275906376,0.9035872946382805
-1.6733668341708547,2012.3266331658292,0.6030453308918041,0.29555205167100007,0.9105386101126082
-1.5577889447236188,2012.4422110552764,0.6091167685409798,0.3009453867981099,0.9172881502838498
-1.4422110552763812,2012.5577889447236,0.615030594867484,0.30622707507950747,0.9238341146554605
-1.3266331658291453,2012.6733668341708,0.6207870463804606,0.3113974090859501,0.930176683674971
-1.2110552763819094,2012.788944723618,0.6263879328769155,0.3164578475245084,0.9363180182293227
-1.0954773869346734,2012.9045226130654,0.6318351325576739,0.3214098879736265,0.9422603771417213
-0.9798994974874375,2013.0201005025126,0.637130523623561,0.32625501618462066,0.9480060310625014
-0.8643216080402016,2013.1356783919598,0.6422759842754027,0.3309947066046696,0.9535572619461357
-0.748743718592964,2013.251256281407,0.6472733927140242,0.33563042285588457,0.9589163625721637
-0.633165829145728,2013.3668341708542,0.6521246271402507,0.34016361817284585,0.9640856361076555
-0.5175879396984921,2013.4824120603016,0.6568315657549075,0.3445957358007817,0.9690673957090334
-0.40201005025125625,2013.5979899497488,0.6613960867588207,0.3489282093563644,0.973863964161277
-0.28643216080402034,2013.713567839196,0.6658200683528149,0.3531624631529221,0.9784776735527078
-0.17085427135678444,2013.8291457286432,0.670105388737716,0.3572999124916961,0.9829108649837358
-0.05527638190954676,2013.9447236180904,0.6742539261143494,0.3613419639206163,0.9871658883080825
0.06030150753768915,2014.0603015075376,0.6782675586835402,0.3652900154619207,0.9912451019051596
0.17587939698492505,2014.175879396985,0.6821481646461139,0.3691454568098206,0.9951508724824073
0.29145728643216096,2014.2914572864322,0.6858976222028961,0.37290966949927395,0.9988855749065182
0.40703517587939686,2014.4070351758794,0.6895178095547121,0.37658402704682553,1.0024515920625987
0.5226130653266328,2014.5226130653266,0.693010604902387,0.3801698950643571,1.005851314740417
0.6381909547738687,2014.6381909547738,0.696377886446747,0.38366863134649487,1.009087141546999
0.7537688442211063,2014.7537688442212,0.6996215323886166,0.3870815859323174,1.0121614788449158
0.8693467336683423,2014.8693467336684,0.7027434209288218,0.3904101011419357,1.015076740715708
0.9849246231155782,2014.9849246231156,0.7057454302681876,0.393655511588413,1.0178353489479621
1.100502512562814,2015.1005025125628,0.7086294386075396,0.39681914416543385,1.0204397330496453
1.21608040201005,2015.21608040201,0.7113973241477034,0.3999023180110453,1.0228923302843616
1.3316582914572859,2015.3316582914572,0.7140509650895042,0.40290634444773316,1.0251955857312751
1.4472361809045236,2015.4472361809046,0.7165922396337674,0.4058325268990293,1.0273519523685055
1.5628140703517595,2015.5628140703518,0.7190230259813184,0.4086821607827848,1.029363891179852
1.6783919597989954,2015.678391959799,0.7213452023329825,0.4114565333811915,1.0312338712847735
1.7939698492462313,2015.7939698492462,0.7235606468895852,0.41415692368757906,1.0329643700915914
1.9095477386934672,2015.9095477386934,0.7256712378519521,0.41678460222996727,1.034557873473937
2.025125628140703,2016.0251256281408,0.7276788534209084,0.4193408308713084,1.0360168759705084
2.140703517587939,2016.140703517588,0.7295853717972794,0.421826862586314,1.037343881008245
2.2562814070351767,2016.2562814070352,0.731392671181891,0.42424394121472053,1.0385414011490615
2.3718592964824126,2016.3718592964824,0.733102629775568,0.4265933011908145,1.0396119583603214
2.4874371859296485,2016.4874371859296,0.7347171257791362,0.42887616724901156,1.0405580843092608
2.6030150753768844,2016.6030150753768,0.7362380373934208,0.43109375410524897,1.0413823206815924
2.7185929648241203,2016.7185929648242,0.737667242819247,0.43324726611393916,1.042087219524555
2.834170854271356,2016.8341708542714,0.7390066202574408,0.435337896900205,1.0426753436146765
2.949748743718594,2016.9497487437186,0.7402580479088271,0.43736682896710855,1.0431492668505458
3.065326633165828,2017.0653266331658,0.7414234039742316,0.43933523327757823,1.043511574670885
3.1809045226130657,2017.180904522613,0.7425045666544795,0.44124426881073253,1.0437648644982265
3.2964824120603033,2017.2964824120604,0.7435034141503962,0.44309508209230464,1.043911746208488
3.4120603015075375,2017.4120603015076,0.7444218246628074,0.44488880669888076,1.043954842626734
3.527638190954775,2017.5276381909548,0.7452616763925382,0.4466265627356821,1.0438967900493943
3.6432160804020093,2017.643216080402,0.7460248475404141,0.4483094562876452,1.0437402387931831
3.758793969849247,2017.7587939698492,0.7467132163072604,0.449938578843587,1.0434878537709338
3.874371859296481,2017.8743718592964,0.7473286608939027,0.4515150066932842,1.0431423150945212
3.9899497487437188,2017.9899497487438,0.7478730595011663,0.4530398002973492,1.0427063187049834
4.1055276381909565,2018.105527638191,0.7483482903298766,0.4545140036298465,1.0421825770299067
4.221105527638191,2018.2211055276382,0.7487562315808591,0.45593864349367225,1.041573819668046
4.336683417085428,2018.3366834170854,0.749098761454939,0.4573147288088034,1.0408827941010745
4.452261306532662,2018.4522613065326,0.7493777581529418,0.45864324987363386,1.0401122664322497
4.5678391959799,2018.56783919598,0.7495950998756931,0.45992517759972606,1.03926502215166
4.683417085427134,2018.6834170854272,0.749752664824018,0.46116146272044806,1.038343866927588
4.798994974874372,2018.7989949748744,0.7498523311987422,0.46235303497412017,1.037351627423364
4.91457286432161,2018.9145728643216,0.749895977200691,0.4635008022624693,1.0362911521389127
5.030150753768844,2019.0301507537688,0.7498854810306894,0.46460564978538554,1.0351653122759932
5.145728643216081,2019.145728643216,0.7498227208895635,0.465668439153198,1.033977002625929
5.2613065326633155,2019.2613065326634,0.7497095749781382,0.4666900074779249,1.0327291424783516
5.376884422110553,2019.3768844221106,0.749547921497239,0.4676711664452351,1.031424676549243
5.492462311557787,2019.4924623115578,0.7493396386476915,0.468612701369145,1.030066575926238
5.608040201005025,2019.608040201005,0.7490866046303208,0.4695153702318112,1.0286578390288303
5.723618090452263,2019.7236180904522,0.7487906976459525,0.47037990271113683,1.0272014925807682
5.839195979899497,2019.8391959798994,0.748453795895412,0.4712069991992991,1.025700592591525
5.9547738693467345,2019.9547738693468,0.7480777775795249,0.4719973298157323,1.0241582253433175
