local,year,fleet_monitored,assisted_trips,estimated_fishermen,production_ton,fishermen_per_vessel_x,cpue_ton_per_trip,cpue_per_fisherman,fishermen_per_vessel_y,municipality,n_landing_points,period,platform_dist_km_mean,mpa_dist_km_mean,inside_any_mpa_any,platform_exposure_class,mpa_exposure_class,combined_exposure_class,richness,shannon_h,simpson_1d,pielou_j,total_production_div
GALINHOS,2017,58.0,1144,126.0,204.0,2.1724137931034484,0.17832167832167833,1.619047619047619,2.1724137931034484,Galinhos,1,recent,21.7644741498777,21.774377887425786,False,20-50 km,10-25 km,20-50 km × 10-25 km,29,2.646198014751523,0.9020657812635866,0.785852550045225,204.6
GALINHOS,2018,53.0,899,119.0,75.99,2.2452830188679247,0.08452725250278086,0.6385714285714286,2.2452830188679247,Galinhos,1,recent,21.7644741498777,21.774377887425786,False,20-50 km,10-25 km,20-50 km × 10-25 km,31,2.434971722951094,0.8650658501148276,0.7090800221301834,75.9
GALINHOS,2019,53.0,3526,130.0,222.479,2.452830188679245,0.06309671015314805,1.7113769230769231,2.452830188679245,Galinhos,1,recent,21.7644741498777,21.774377887425786,False,20-50 km,10-25 km,20-50 km × 10-25 km,44,2.687636613434003,0.905961740975153,0.7102277828109648,222.49000000000004
GALINHOS,2020,50.0,3502,112.0,179.61,2.24,0.05128783552255854,1.6036607142857144,2.24,Galinhos,1,recent,21.7644741498777,21.774377887425786,False,20-50 km,10-25 km,20-50 km × 10-25 km,40,2.3144186955888015,0.8476128882619887,0.6274042631042607,179.64
GALINHOS,2021,49.0,4381,116.9,194.2537,2.3857142857142857,0.04434003652134216,1.6617082976903337,2.3857142857142857,Galinhos,1,recent,21.7644741498777,21.774377887425786,False,20-50 km,10-25 km,20-50 km × 10-25 km,41,2.382558663954082,0.8468077564602661,0.6415813726400997,194.25
GALINHOS,2022,46.8,4382,111.0,197.49,2.371794871794872,0.045068461889548155,1.7791891891891893,2.371794871794872,Galinhos,1,recent,21.7644741498777,21.774377887425786,False,20-50 km,10-25 km,20-50 km × 10-25 km,41,2.374489738189939,0.844615689244626,0.639408552072946,197.54999999999998
GALINHOS,2023,50.0,4754,114.7,232.49,2.294,0.048904080774084986,2.026939843068875,2.294,Galinhos,1,recent,21.7644741498777,21.774377887425786,False,20-50 km,10-25 km,20-50 km × 10-25 km,43,2.333883079001294,0.8454488607377072,0.620515528876859,232.51000000000002
GALINHOS,2024,48.3,3800,109.0,178.1,2.256728778467909,0.04686842105263158,1.6339449541284403,2.256728778467909,Galinhos,1,recent,21.7644741498777,21.774377887425786,False,20-50 km,10-25 km,20-50 km × 10-25 km,43,2.509357564309011,0.8701721355742854,0.6671693840055856,178.18999999999997
GROSSOS,2003,1.0,3,5.0,0.82,5.0,,0.16399999999999998,5.0,Grossos,3,early,44.696278903272656,20.13619075292307,False,20-50 km,10-25 km,20-50 km × 10-25 km,1,-0.0,0.0,,0.8200000000000001
GROSSOS,2005,2.0,4,8.0,2.77,4.0,,0.34625,4.0,Grossos,3,early,44.696278903272656,20.13619075292307,False,20-50 km,10-25 km,20-50 km × 10-25 km,1,-0.0,0.0,,2.77
GROSSOS,2007,1.0,2,5.0,1.3,5.0,,0.26,5.0,Grossos,3,early,44.696278903272656,20.13619075292307,False,20-50 km,10-25 km,20-50 km × 10-25 km,1,-0.0,0.0,,1.3
GROSSOS,2009,43.0,1051,116.0,72.139,2.697674418604651,0.06863843958135109,0.6218879310344827,2.697674418604651,Grossos,3,middle,44.696278903272656,20.13619075292307,False,20-50 km,10-25 km,20-50 km × 10-25 km,35,2.856776889941626,0.9268829018966471,0.8035153916111548,72.00970000000001
GROSSOS,2010,92.0,4398,103.5,108.012,1.125,0.024559345156889494,1.0435942028985508,1.125,Grossos,3,middle,44.696278903272656,20.13619075292307,False,20-50 km,10-25 km,20-50 km × 10-25 km,30,2.7891788966772135,0.9228643195739656,0.8200579336310525,108.017
GROSSOS,2011,137.0,4275,112.0,103.226,0.8175182481751825,0.024146432748538012,0.9216607142857143,0.8175182481751825,Grossos,3,middle,44.696278903272656,20.13619075292307,False,20-50 km,10-25 km,20-50 km × 10-25 km,44,2.4093327794650836,0.8437380748674352,0.636683943603109,103.22999999999999
GROSSOS,2012,78.0,5787,84.5,97.0,1.0833333333333333,0.016761707274926558,1.1479289940828403,1.0833333333333333,Grossos,3,middle,44.696278903272656,20.13619075292307,False,20-50 km,10-25 km,20-50 km × 10-25 km,31,2.4864182206965997,0.857365446349293,0.7240615857418099,96.8
GROSSOS,2013,73.0,4730,50.0,78.7,0.684931506849315,0.016638477801268498,1.574,0.684931506849315,Grossos,3,middle,44.696278903272656,20.13619075292307,False,20-50 km,10-25 km,20-50 km × 10-25 km,25,2.3450420840000024,0.8397223625980635,0.7285282849008387,78.7
GROSSOS,2014,37.0,2514,78.0,35.9,2.108108108108108,0.01428003182179793,0.46025641025641023,2.108108108108108,Grossos,3,middle,44.696278903272656,20.13619075292307,False,20-50 km,10-25 km,20-50 km × 10-25 km,22,2.2258684260794848,0.8026269331261917,0.7201028325124269,35.7
GROSSOS,2015,36.0,2325,80.0,34.6,2.2222222222222223,0.014881720430107527,0.4325,2.2222222222222223,Grossos,3,middle,44.696278903272656,20.13619075292307,False,20-50 km,10-25 km,20-50 km × 10-25 km,24,1.940858386881923,0.755657799666138,0.6107065803443078,34.7
GROSSOS,2016,34.0,2281,79.0,75.0,2.323529411764706,0.03288031565103025,0.9493670886075949,2.323529411764706,Grossos,3,recent,44.696278903272656,20.13619075292307,False,20-50 km,10-25 km,20-50 km × 10-25 km,26,2.203807789618373,0.8033753961068356,0.6764096041661988,75.2
GROSSOS,2017,43.0,1482,89.0,75.0,2.0697674418604652,0.05060728744939271,0.8426966292134831,2.0697674418604652,Grossos,3,recent,44.696278903272656,20.13619075292307,False,20-50 km,10-25 km,20-50 km × 10-25 km,25,2.235841351984588,0.8156728888888888,0.694603170060509,75.0
GROSSOS,2018,25.0,682,59.0,17.77,2.36,0.026055718475073313,0.30118644067796607,2.36,Grossos,3,recent,44.696278903272656,20.13619075292307,False,20-50 km,10-25 km,20-50 km × 10-25 km,17,1.9753863962417315,0.7600262164102245,0.6972247255526608,17.900000000000002
GROSSOS,2019,21.0,14632,53.0,34.307,2.5238095238095237,0.0023446555494805905,0.6473018867924528,2.5238095238095237,Grossos,3,recent,44.696278903272656,20.13619075292307,False,20-50 km,10-25 km,20-50 km × 10-25 km,33,2.483226352737632,0.851856040933049,0.7102019112168415,34.33
GROSSOS,2020,17.0,1280,46.0,176.07,2.7058823529411766,0.1375546875,3.8276086956521738,2.7058823529411766,Grossos,3,recent,44.696278903272656,20.13619075292307,False,20-50 km,10-25 km,20-50 km × 10-25 km,36,1.154284983740924,0.3895564861867694,0.32210935774717164,176.09999999999997
GROSSOS,2021,20.0,1219,52.5,28.3846,2.625,0.02328515176374077,0.5406590476190476,2.625,Grossos,3,recent,44.696278903272656,20.13619075292307,False,20-50 km,10-25 km,20-50 km × 10-25 km,30,2.430223282379565,0.8442914510641581,0.7145199203910717,28.369999999999997
