local,year,boat_type,propulsion,vessels_monitored,total_vessels,boat_share,share_motorised,share_sail_row,share_other
AREIA BRANCA,2017,BOV,sail/row,7,99,0.0707070707070707,0.6262626262626263,0.30303030303030304,0.0707070707070707
AREIA BRANCA,2017,CAM,motorised,0,99,0.0,0.6262626262626263,0.30303030303030304,0.0707070707070707
AREIA BRANCA,2017,CAR,other,0,99,0.0,0.6262626262626263,0.30303030303030304,0.0707070707070707
AREIA BRANCA,2017,CAV,sail/row,2,99,0.020202020202020204,0.6262626262626263,0.30303030303030304,0.0707070707070707
AREIA BRANCA,2017,JAM,motorised,11,99,0.1111111111111111,0.6262626262626263,0.30303030303030304,0.0707070707070707
AREIA BRANCA,2017,JAV,sail/row,17,99,0.1717171717171717,0.6262626262626263,0.30303030303030304,0.0707070707070707
AREIA BRANCA,2017,PED,other,2,99,0.020202020202020204,0.6262626262626263,0.30303030303030304,0.0707070707070707
AREIA BRANCA,2017,PQM,motorised,1,99,0.010101010101010102,0.6262626262626263,0.30303030303030304,0.0707070707070707
AREIA BRANCA,2017,PQV,sail/row,4,99,0.04040404040404041,0.6262626262626263,0.30303030303030304,0.0707070707070707
AREIA BRANCA,2018,BMG,motorised,30,103,0.2912621359223301,0.7475728155339806,0.20388349514563106,0.04854368932038835
AREIA BRANCA,2018,BMM,motorised,22,103,0.21359223300970873,0.7475728155339806,0.20388349514563106,0.04854368932038835
AREIA BRANCA,2018,BMP,motorised,6,103,0.05825242718446602,0.7475728155339806,0.20388349514563106,0.04854368932038835
AREIA BRANCA,2018,BOM,other,1,103,0.009708737864077669,0.7475728155339806,0.20388349514563106,0.04854368932038835
AREIA BRANCA,2018,BOV,sail/row,4,103,0.038834951456310676,0.7475728155339806,0.20388349514563106,0.04854368932038835
AREIA BRANCA,2018,CAM,motorised,0,103,0.0,0.7475728155339806,0.20388349514563106,0.04854368932038835
AREIA BRANCA,2018,CAR,other,0,103,0.0,0.7475728155339806,0.20388349514563106,0.04854368932038835
AREIA BRANCA,2018,CAV,sail/row,1,103,0.009708737864077669,0.7475728155339806,0.20388349514563106,0.04854368932038835
AREIA BRANCA,2018,JAM,motorised,16,103,0.1553398058252427,0.7475728155339806,0.20388349514563106,0.04854368932038835
AREIA BRANCA,2018,JAV,sail/row,12,103,0.11650485436893204,0.7475728155339806,0.20388349514563106,0.04854368932038835
AREIA BRANCA,2018,PED,other,4,103,0.038834951456310676,0.7475728155339806,0.20388349514563106,0.04854368932038835
AREIA BRANCA,2018,PQM,motorised,3,103,0.02912621359223301,0.7475728155339806,0.20388349514563106,0.04854368932038835
AREIA BRANCA,2018,PQV,sail/row,4,103,0.038834951456310676,0.7475728155339806,0.20388349514563106,0.04854368932038835
AREIA BRANCA,2019,BMG,motorised,32,119,0.2689075630252101,0.7647058823529411,0.19327731092436976,0.04201680672268908
AREIA BRANCA,2019,BMM,motorised,22,119,0.18487394957983194,0.7647058823529411,0.19327731092436976,0.04201680672268908
AREIA BRANCA,2019,BMP,motorised,7,119,0.058823529411764705,0.7647058823529411,0.19327731092436976,0.04201680672268908
AREIA BRANCA,2019,BOM,other,1,119,0.008403361344537815,0.7647058823529411,0.19327731092436976,0.04201680672268908
AREIA BRANCA,2019,BOV,sail/row,4,119,0.03361344537815126,0.7647058823529411,0.19327731092436976,0.04201680672268908
AREIA BRANCA,2019,CAM,motorised,0,119,0.0,0.7647058823529411,0.19327731092436976,0.04201680672268908
AREIA BRANCA,2019,CAR,other,0,119,0.0,0.7647058823529411,0.19327731092436976,0.04201680672268908
AREIA BRANCA,2019,CAV,sail/row,1,119,0.008403361344537815,0.7647058823529411,0.19327731092436976,0.04201680672268908
AREIA BRANCA,2019,JAM,motorised,24,119,0.20168067226890757,0.7647058823529411,0.19327731092436976,0.04201680672268908
AREIA BRANCA,2019,JAV,sail/row,12,119,0.10084033613445378,0.7647058823529411,0.19327731092436976,0.04201680672268908
AREIA BRANCA,2019,PED,other,4,119,0.03361344537815126,0.7647058823529411,0.19327731092436976,0.04201680672268908
AREIA BRANCA,2019,PQM,motorised,6,119,0.05042016806722689,0.7647058823529411,0.19327731092436976,0.04201680672268908
AREIA BRANCA,2019,PQV,sail/row,6,119,0.05042016806722689,0.7647058823529411,0.19327731092436976,0.04201680672268908
AREIA BRANCA,2020,BMG,motorised,19,98,0.19387755102040816,0.7346938775510204,0.21428571428571427,0.05102040816326531
AREIA BRANCA,2020,BMM,motorised,19,98,0.19387755102040816,0.7346938775510204,0.21428571428571427,0.05102040816326531
AREIA BRANCA,2020,BMP,motorised,8,98,0.08163265306122448,0.7346938775510204,0.21428571428571427,0.05102040816326531
AREIA BRANCA,2020,BOM,other,1,98,0.01020408163265306,0.7346938775510204,0.21428571428571427,0.05102040816326531
AREIA BRANCA,2020,BOV,sail/row,3,98,0.030612244897959183,0.7346938775510204,0.21428571428571427,0.05102040816326531
AREIA BRANCA,2020,CAM,motorised,0,98,0.0,0.7346938775510204,0.21428571428571427,0.05102040816326531
AREIA BRANCA,2020,CAR,other,0,98,0.0,0.7346938775510204,0.21428571428571427,0.05102040816326531
AREIA BRANCA,2020,CAV,sail/row,1,98,0.01020408163265306,0.7346938775510204,0.21428571428571427,0.05102040816326531
AREIA BRANCA,2020,JAM,motorised,18,98,0.1836734693877551,0.7346938775510204,0.21428571428571427,0.05102040816326531
AREIA BRANCA,2020,JAV,sail/row,13,98,0.1326530612244898,0.7346938775510204,0.21428571428571427,0.05102040816326531
AREIA BRANCA,2020,PED,other,4,98,0.04081632653061224,0.7346938775510204,0.21428571428571427,0.05102040816326531
AREIA BRANCA,2020,PQM,motorised,8,98,0.08163265306122448,0.7346938775510204,0.21428571428571427,0.05102040816326531
AREIA BRANCA,2020,PQV,sail/row,4,98,0.04081632653061224,0.7346938775510204,0.21428571428571427,0.05102040816326531
AREIA BRANCA,2021,BMG,motorised,21,111,0.1891891891891892,0.7387387387387387,0.1981981981981982,0.06306306306306306
AREIA BRANCA,2021,BMM,motorised,16,111,0.14414414414414414,0.7387387387387387,0.1981981981981982,0.06306306306306306
AREIA BRANCA,2021,BMP,motorised,12,111,0.10810810810810811,0.7387387387387387,0.1981981981981982,0.06306306306306306
AREIA BRANCA,2021,BOM,other,1,111,0.009009009009009009,0.7387387387387387,0.1981981981981982,0.06306306306306306
AREIA BRANCA,2021,BOV,sail/row,3,111,0.02702702702702703,0.7387387387387387,0.1981981981981982,0.06306306306306306
AREIA BRANCA,2021,CAM,motorised,0,111,0.0,0.7387387387387387,0.1981981981981982,0.06306306306306306
AREIA BRANCA,2021,CAR,other,0,111,0.0,0.7387387387387387,0.1981981981981982,0.06306306306306306
AREIA BRANCA,2021,CAV,sail/row,1,111,0.009009009009009009,0.7387387387387387,0.1981981981981982,0.06306306306306306
AREIA BRANCA,2021,JAM,motorised,25,111,0.22522522522522523,0.7387387387387387,0.1981981981981982,0.06306306306306306
AREIA BRANCA,2021,JAV,sail/row,12,111,0.10810810810810811,0.7387387387387387,0.1981981981981982,0.06306306306306306
AREIA BRANCA,2021,PED,other,6,111,0.05405405405405406,0.7387387387387387,0.1981981981981982,0.06306306306306306
AREIA BRANCA,2021,PQM,motorised,8,111,0.07207207207207207,0.7387387387387387,0.1981981981981982,0.06306306306306306
AREIA BRANCA,2021,PQV,sail/row,6,111,0.05405405405405406,0.7387387387387387,0.1981981981981982,0.06306306306306306
AREIA BRANCA,2022,BMG,motorised,17,111,0.15315315315315314,0.7927927927927928,0.15315315315315314,0.05405405405405406
AREIA BRANCA,2022,BMM,motorised,15,111,0.13513513513513514,0.7927927927927928,0.15315315315315314,0.05405405405405406
AREIA BRANCA,2022,BMP,motorised,11,111,0.0990990990990991,0.7927927927927928,0.15315315315315314,0.05405405405405406
AREIA BRANCA,2022,BOM,other,1,111,0.009009009009009009,0.7927927927927928,0.15315315315315314,0.05405405405405406
AREIA BRANCA,2022,BOV,sail/row,3,111,0.02702702702702703,0.7927927927927928,0.15315315315315314,0.05405405405405406
AREIA BRANCA,2022,CAM,motorised,0,111,0.0,0.7927927927927928,0.15315315315315314,0.05405405405405406
AREIA BRANCA,2022,CAR,other,0,111,0.0,0.7927927927927928,0.15315315315315314,0.05405405405405406
AREIA BRANCA,2022,CAV,sail/row,0,111,0.0,0.7927927927927928,0.15315315315315314,0.05405405405405406
AREIA BRANCA,2022,JAM,motorised,33,111,0.2972972972972973,0.7927927927927928,0.15315315315315314,0.05405405405405406
AREIA BRANCA,2022,JAV,sail/row,9,111,0.08108108108108109,0.7927927927927928,0.15315315315315314,0.05405405405405406
AREIA BRANCA,2022,PED,other,5,111,0.04504504504504504,0.7927927927927928,0.15315315315315314,0.05405405405405406
AREIA BRANCA,2022,PQM,motorised,12,111,0.10810810810810811,0.7927927927927928,0.15315315315315314,0.05405405405405406
AREIA BRANCA,2022,PQV,sail/row,5,111,0.04504504504504504,0.7927927927927928,0.15315315315315314,0.05405405405405406
AREIA BRANCA,2023,BMG,motorised,17,87,0.19540229885057472,0.8275862068965517,0.11494252873563218,0.05747126436781609
AREIA BRANCA,2023,BMM,motorised,14,87,0.16091954022988506,0.8275862068965517,0.11494252873563218,0.05747126436781609
AREIA BRANCA,2023,BMP,motorised,10,87,0.11494252873563218,0.8275862068965517,0.11494252873563218,0.05747126436781609
AREIA BRANCA,2023,BOM,other,1,87,0.011494252873563218,0.8275862068965517,0.11494252873563218,0.05747126436781609
AREIA BRANCA,2023,BOV,sail/row,1,87,0.011494252873563218,0.8275862068965517,0.11494252873563218,0.05747126436781609
AREIA BRANCA,2023,CAM,motorised,0,87,0.0,0.8275862068965517,0.11494252873563218,0.05747126436781609
AREIA BRANCA,2023,CAR,other,0,87,0.0,0.8275862068965517,0.11494252873563218,0.05747126436781609
AREIA BRANCA,2023,CAV,sail/row,1,87,0.011494252873563218,0.8275862068965517,0.11494252873563218,0.05747126436781609
AREIA BRANCA,2023,JAM,motorised,25,87,0.28735632183908044,0.8275862068965517,0.11494252873563218,0.05747126436781609
AREIA BRANCA,2023,JAV,sail/row,5,87,0.05747126436781609,0.8275862068965517,0.11494252873563218,0.05747126436781609
AREIA BRANCA,2023,PED,other,4,87,0.04597701149425287,0.8275862068965517,0.11494252873563218,0.05747126436781609
AREIA BRANCA,2023,PQM,motorised,6,87,0.06896551724137931,0.8275862068965517,0.11494252873563218,0.05747126436781609
AREIA BRANCA,2023,PQV,sail/row,3,87,0.034482758620689655,0.8275862068965517,0.11494252873563218,0.05747126436781609
AREIA BRANCA,2024,BMG,motorised,15,77,0.19480519480519481,0.8181818181818182,0.11688311688311688,0.06493506493506493
AREIA BRANCA,2024,BMM,motorised,11,77,0.14285714285714285,0.8181818181818182,0.11688311688311688,0.06493506493506493
AREIA BRANCA,2024,BMP,motorised,12,77,0.15584415584415584,0.8181818181818182,0.11688311688311688,0.06493506493506493
AREIA BRANCA,2024,BOM,other,1,77,0.012987012987012988,0.8181818181818182,0.11688311688311688,0.06493506493506493
AREIA BRANCA,2024,BOV,sail/row,1,77,0.012987012987012988,0.8181818181818182,0.11688311688311688,0.06493506493506493
AREIA BRANCA,2024,CAM,motorised,0,77,0.0,0.8181818181818182,0.11688311688311688,0.06493506493506493
AREIA BRANCA,2024,CAR,other,0,77,0.0,0.8181818181818182,0.11688311688311688,0.06493506493506493
AREIA BRANCA,2024,CAV,sail/row,0,77,0.0,0.8181818181818182,0.11688311688311688,0.06493506493506493
AREIA BRANCA,2024,JAM,motorised,21,77,0.2727272727272727,0.8181818181818182,0.11688311688311688,0.06493506493506493
AREIA BRANCA,2024,JAV,sail/row,5,77,0.06493506493506493,0.8181818181818182,0.11688311688311688,0.06493506493506493
AREIA BRANCA,2024,PED,other,4,77,0.05194805194805195,0.8181818181818182,0.11688311688311688,0.06493506493506493
AREIA BRANCA,2024,PQM,motorised,4,77,0.05194805194805195,0.8181818181818182,0.11688311688311688,0.06493506493506493
AREIA BRANCA,2024,PQV,sail/row,3,77,0.03896103896103896,0.8181818181818182,0.11688311688311688,0.06493506493506493
CAICARA DO NORTE,2001,BMM,motorised,35,224,0.15625,0.40625,0.59375,0.0
CAICARA DO NORTE,2001,BMP,motorised,43,224,0.19196428571428573,0.40625,0.59375,0.0
CAICARA DO NORTE,2001,BOV,sail/row,118,224,0.5267857142857143,0.40625,0.59375,0.0
