mpa_exposure_class,year,boat_type,propulsion,vessels_monitored,total_vessels,boat_share,share_motorised,share_sail_row,share_other
0-10 km,2024,PED,other,9,301,0.029900332225913623,0.8006644518272426,0.03986710963455149,0.15946843853820597
0-10 km,2024,PQM,motorised,1,301,0.0033222591362126247,0.8006644518272426,0.03986710963455149,0.15946843853820597
0-10 km,2024,PQV,sail/row,0,301,0.0,0.8006644518272426,0.03986710963455149,0.15946843853820597
10-25 km,2003,BMM,motorised,1,1,1.0,1.0,0.0,0.0
10-25 km,2004,BMP,motorised,4,61,0.06557377049180328,0.16393442622950818,0.819672131147541,0.01639344262295082
10-25 km,2004,BOV,sail/row,25,61,0.4098360655737705,0.16393442622950818,0.819672131147541,0.01639344262295082
10-25 km,2004,CAV,sail/row,25,61,0.4098360655737705,0.16393442622950818,0.819672131147541,0.01639344262295082
10-25 km,2004,PED,other,1,61,0.01639344262295082,0.16393442622950818,0.819672131147541,0.01639344262295082
10-25 km,2004,PQM,motorised,6,61,0.09836065573770492,0.16393442622950818,0.819672131147541,0.01639344262295082
10-25 km,2005,BMM,motorised,2,78,0.02564102564102564,0.14102564102564102,0.8589743589743589,0.0
10-25 km,2005,BMP,motorised,5,78,0.0641025641025641,0.14102564102564102,0.8589743589743589,0.0
10-25 km,2005,BOV,sail/row,18,78,0.23076923076923078,0.14102564102564102,0.8589743589743589,0.0
10-25 km,2005,CAV,sail/row,49,78,0.6282051282051282,0.14102564102564102,0.8589743589743589,0.0
10-25 km,2005,PQM,motorised,4,78,0.05128205128205128,0.14102564102564102,0.8589743589743589,0.0
10-25 km,2007,BMM,motorised,1,85,0.011764705882352941,0.38823529411764707,0.5882352941176471,0.023529411764705882
10-25 km,2007,BMP,motorised,5,85,0.058823529411764705,0.38823529411764707,0.5882352941176471,0.023529411764705882
10-25 km,2007,BOV,sail/row,7,85,0.08235294117647059,0.38823529411764707,0.5882352941176471,0.023529411764705882
10-25 km,2007,CAM,motorised,14,85,0.16470588235294117,0.38823529411764707,0.5882352941176471,0.023529411764705882
10-25 km,2007,CAV,sail/row,43,85,0.5058823529411764,0.38823529411764707,0.5882352941176471,0.023529411764705882
10-25 km,2007,PED,other,2,85,0.023529411764705882,0.38823529411764707,0.5882352941176471,0.023529411764705882
10-25 km,2007,PQM,motorised,13,85,0.15294117647058825,0.38823529411764707,0.5882352941176471,0.023529411764705882
10-25 km,2008,BMP,motorised,13,143,0.09090909090909091,0.45454545454545453,0.5174825174825175,0.027972027972027972
10-25 km,2008,BOV,sail/row,18,143,0.1258741258741259,0.45454545454545453,0.5174825174825175,0.027972027972027972
10-25 km,2008,CAM,motorised,37,143,0.25874125874125875,0.45454545454545453,0.5174825174825175,0.027972027972027972
10-25 km,2008,CAV,sail/row,51,143,0.35664335664335667,0.45454545454545453,0.5174825174825175,0.027972027972027972
10-25 km,2008,JAV,sail/row,5,143,0.03496503496503497,0.45454545454545453,0.5174825174825175,0.027972027972027972
10-25 km,2008,PED,other,4,143,0.027972027972027972,0.45454545454545453,0.5174825174825175,0.027972027972027972
10-25 km,2008,PQM,motorised,15,143,0.1048951048951049,0.45454545454545453,0.5174825174825175,0.027972027972027972
10-25 km,2009,BMM,motorised,10,202,0.04950495049504951,0.41089108910891087,0.5544554455445545,0.034653465346534656
