gear_type,year,gear_production_ton,year_total,share
linha,2005,129.0,1095.1000000000001,0.11779746141904847
linha e covo lagosta,2005,27.92,1095.1000000000001,0.025495388548990958
linha e jereré,2005,182.23,1095.1000000000001,0.16640489453017987
mergulho livre,2005,0.97,1095.1000000000001,0.0008857638571819924
puçá,2005,9.27,1095.1000000000001,0.008464980367089762
rede agulha,2005,79.44,1095.1000000000001,0.07254132042735822
rede de espera,2005,259.71000000000004,1095.1000000000001,0.2371564240708611
rede de tapagem,2005,4.5200000000000005,1095.1000000000001,0.004127476942744955
sardinheira,2005,168.58,1095.1000000000001,0.15394027942653637
tarrafa,2005,8.11,1095.1000000000001,0.007405716372933977
tremalho,2005,24.619999999999997,1095.1000000000001,0.022481965117340876
arrasto de porta,2006,13.54,753.2700000000001,0.017974962496847078
arrasto de praia,2006,36.71,753.2700000000001,0.04873418561737491
coleta de camarão,2006,6.7,753.2700000000001,0.008894553081896265
coleta manual,2006,8.1,753.2700000000001,0.010753116412441753
coqueiro,2006,1.82,753.2700000000001,0.0024161323297091346
covo lagosta,2006,8.17,753.2700000000001,0.010846044578969026
covo peixe,2006,1.04,753.2700000000001,0.0013806470455480768
covo peixe e lagosta,2006,37.39,753.2700000000001,0.04963691637792557
curral,2006,0.35,753.2700000000001,0.000464640832636372
espinhel,2006,4.89,753.2700000000001,0.006491696204548169
linha,2006,114.93,753.2700000000001,0.15257477398542355
linha e covo lagosta,2006,7.52,753.2700000000001,0.009983140175501478
linha e jereré,2006,185.06,753.2700000000001,0.24567552139339144
mergulho livre,2006,0.16,753.2700000000001,0.0002124072377766272
puçá,2006,3.12,753.2700000000001,0.004141941136644231
rede agulha,2006,65.98,753.2700000000001,0.08759143467813665
rede de espera,2006,167.85000000000002,753.2700000000001,0.222828467880043
rede de tapagem,2006,0.79,753.2700000000001,0.001048760736522097
sardinheira,2006,76.11,753.2700000000001,0.10103946791986936
tarrafa,2006,2.86,753.2700000000001,0.0037967793752572113
tremalho,2006,10.18,753.2700000000001,0.013514410503537907
arrasto de porta,2007,4.21,1053.28,0.003997037824699985
arrasto de praia,2007,11.72,1053.28,0.011127145678262191
coleta de camarão,2007,2.17,1053.28,0.0020602308977669755
coleta manual,2007,16.619999999999997,1053.28,0.015779279963542454
covo lagosta,2007,14.6,1053.28,0.013861461339814675
covo peixe,2007,5.28,1053.28,0.005012912046179554
covo peixe e lagosta,2007,53.7,1053.28,0.05098359410603069
curral,2007,0.56,1053.28,0.0005316724897463164
