local,year,species,sp_production_ton,rel_abundance
AREIA BRANCA,2009,Garoupa,1.2509,0.0014861218859931022
AREIA BRANCA,2009,Guaiuba,11.6065,0.013789010848012585
AREIA BRANCA,2009,Lagosta,76.1594,0.09048057491734197
AREIA BRANCA,2009,Outros,7.694699999999999,0.009141627688984829
AREIA BRANCA,2009,Pargo,0.7988,0.0009490080442331841
AREIA BRANCA,2009,Peixe Voador,0.02,2.3760842369383678e-05
AREIA BRANCA,2009,Pescada,12.9518,0.015387283909989178
AREIA BRANCA,2009,Polvo,0.0001,1.188042118469184e-07
AREIA BRANCA,2009,Salema,17.1791,0.020409494357393955
AREIA BRANCA,2009,Sardinha,0.3176,0.0003773221768258128
AREIA BRANCA,2009,Serra,22.7326,0.027007286262312573
AREIA BRANCA,2009,Sirigado,18.3837,0.02184060989330194
AREIA BRANCA,2009,Tainha,7.411300000000001,0.008804936552610663
AREIA BRANCA,2009,Xareu,2.6024,0.003091760809104204
AREIA BRANCA,2010,Agulha,5.514,0.007829794968426644
AREIA BRANCA,2010,Agulhao,4.834,0.0068642054547287615
AREIA BRANCA,2010,Albacora,256.01,0.3635302520614626
AREIA BRANCA,2010,Albacorinha,0.647,0.0009187300225919548
AREIA BRANCA,2010,Arabaiana,1.621,0.002301795002506273
AREIA BRANCA,2010,Ariaco,34.119,0.04844845384979119
AREIA BRANCA,2010,Arraia,7.334,0.010414166902147443
AREIA BRANCA,2010,Bagre,7.043,0.01000095138966791
AREIA BRANCA,2010,Biquara,4.920999999999999,0.006987744113098931
AREIA BRANCA,2010,Bonito,7.086,0.01006201072656351
AREIA BRANCA,2010,Budiao,0.146,0.00020731774852925097
AREIA BRANCA,2010,Caico,57.981,0.08233212587311303
AREIA BRANCA,2010,Camarao,11.419,0.01621480390722957
AREIA BRANCA,2010,Camurim,3.877,0.005505280212656891
AREIA BRANCA,2010,Camurupim,1.951,0.002770389913565539
AREIA BRANCA,2010,Cangulo,0.096,0.00013631851958087736
AREIA BRANCA,2010,Caranguejo,0.0,0.0
AREIA BRANCA,2010,Carapeba,2.864,0.004066835834162841
AREIA BRANCA,2010,Cavala,18.679,0.026523891950533417
AREIA BRANCA,2010,Caçao,16.47,0.02338714601559427
AREIA BRANCA,2010,Cioba,19.297,0.027401442420335317
AREIA BRANCA,2010,Cururuca,28.441,0.040385781410413886
AREIA BRANCA,2010,Dentao,2.208,0.0031353259503601794
AREIA BRANCA,2010,Dourado,6.002,0.00852274744296277
AREIA BRANCA,2010,Garajuba,20.076,0.02850761040735098
AREIA BRANCA,2010,Garoupa,1.046,0.0014853038695999763
AREIA BRANCA,2010,Guaiuba,12.628,0.017931565263201242
AREIA BRANCA,2010,Lagosta,85.34899999999999,0.1211942638302948
AREIA BRANCA,2010,Outros,10.45,0.014838838850210086
AREIA BRANCA,2010,Pargo,0.888,0.0012609463061231156
AREIA BRANCA,2010,Peixe Voador,0.0,0.0
AREIA BRANCA,2010,Pescada,8.02,0.01138827632331913
AREIA BRANCA,2010,Polvo,0.0,0.0
AREIA BRANCA,2010,Salema,7.878,0.01118663851310575
AREIA BRANCA,2010,Sardinha,0.211,0.0002996167461621367
AREIA BRANCA,2010,Serra,43.806,0.062203844466249096
AREIA BRANCA,2010,Sirigado,6.638,0.009425857635186082
AREIA BRANCA,2010,Tainha,5.261,0.007470538869947873
AREIA BRANCA,2010,Xareu,3.422,0.0048591872292266915
AREIA BRANCA,2011,Agulha,9.581,0.013525971248311194
AREIA BRANCA,2011,Agulhao,1.367,0.0019298614650288491
AREIA BRANCA,2011,Albacora,127.828,0.1804611055974453
AREIA BRANCA,2011,Arabaiana,3.217,0.004541597902705053
AREIA BRANCA,2011,Ariaco,54.133,0.07642223166525727
AREIA BRANCA,2011,Arraia,7.479,0.010558473955340719
AREIA BRANCA,2011,Bagre,8.413,0.01187704791901076
AREIA BRANCA,2011,Beijupira,1.999,0.0028220871021160713
AREIA BRANCA,2011,Bicuda,0.895,0.0012635157360649744
AREIA BRANCA,2011,Biquara,16.231,0.02291410492968782
AREIA BRANCA,2011,Bonito,10.751,0.01517771807646317
AREIA BRANCA,2011,Budiao,0.217,0.00030634962539228985
AREIA BRANCA,2011,Buzios,0.009,1.2705744831938288e-05
AREIA BRANCA,2011,Caico,21.809,0.030788843226638017
AREIA BRANCA,2011,Camarao,7.577,0.010696825399066268
AREIA BRANCA,2011,Camurim,5.09,0.007185804577173988
AREIA BRANCA,2011,Camurupim,4.807,0.006786279489680818
AREIA BRANCA,2011,Cangulo,0.408,0.0005759937657145357
AREIA BRANCA,2011,Caranguejo,0.0,0.0
AREIA BRANCA,2011,Carapeba,3.891,0.005493117015674654
AREIA BRANCA,2011,Carauna,0.033,4.65877310504404e-05
AREIA BRANCA,2011,Cavala,8.115,0.011456346590131025
AREIA BRANCA,2011,Caçao,13.395,0.018910383558201488
AREIA BRANCA,2011,Cioba,23.859,0.03368292954946841
AREIA BRANCA,2011,Cururuca,35.832,0.05058580542422365
AREIA BRANCA,2011,Dentao,2.616,0.0036931364978167298
AREIA BRANCA,2011,Dourado,4.64,0.0065505173355770736
AREIA BRANCA,2011,Espada,2.742,0.0038710169254638654
AREIA BRANCA,2011,Garabebeu,0.006,8.470496554625526e-06
AREIA BRANCA,2011,Garajuba,20.065,0.028326752228093534
AREIA BRANCA,2011,Garoupa,2.749,0.003880899171444262
AREIA BRANCA,2011,Guaiuba,11.41,0.016108060948046208
AREIA BRANCA,2011,Lagosta,109.562,0.15467409058631365
AREIA BRANCA,2011,Marisco,0.0,0.0
AREIA BRANCA,2011,Outros,119.883,0.16924475640969533
AREIA BRANCA,2011,Pampo,1.072,0.0015133953844264274
AREIA BRANCA,2011,Pargo,3.034,0.004283247757788974
AREIA BRANCA,2011,Paru,6.191,0.008740140694947772
AREIA BRANCA,2011,Peixe Galo,0.519,0.000732697951975108
AREIA BRANCA,2011,Peixe Voador,0.0,0.0
AREIA BRANCA,2011,Pescada,6.423999999999999,0.009069078311152395
AREIA BRANCA,2011,Pirauna,0.01,1.411749425770921e-05
AREIA BRANCA,2011,Polvo,0.084,0.00011858695176475737
AREIA BRANCA,2011,Salema,2.523,0.003561843801220034
AREIA BRANCA,2011,Saramunete,0.001,1.4117494257709211e-06
AREIA BRANCA,2011,Sardinha,0.185,0.0002611736437676204
AREIA BRANCA,2011,Serra,29.689,0.04191342870171288
AREIA BRANCA,2011,Siri,0.256,0.0003614078529973558
AREIA BRANCA,2011,Sirigado,6.236,0.008803669419107464
AREIA BRANCA,2011,Tainha,6.313,0.008912374124891825
AREIA BRANCA,2011,Tilapia,0.0,0.0
AREIA BRANCA,2011,Xareu,5.195,0.007334038266879935
AREIA BRANCA,2012,Agulha,9.3,0.009446419502285424
AREIA BRANCA,2012,Agulhao,2.6,0.0026409344845099037
AREIA BRANCA,2012,Albacora,453.8,0.46094464195022855
AREIA BRANCA,2012,Arabaiana,7.6,0.007719654647028948
AREIA BRANCA,2012,Ariaco,49.5,0.05027932960893855
AREIA BRANCA,2012,Arraia,7.1,0.007211782630777044
AREIA BRANCA,2012,Bagre,8.9,0.009040121889283902
AREIA BRANCA,2012,Beijupira,1.7,0.0017267648552564752
AREIA BRANCA,2012,Bicuda,2.1,0.002133062468257999
AREIA BRANCA,2012,Biquara,18.2,0.018486541391569324
AREIA BRANCA,2012,Bonito,11.1,0.01127475876079228
AREIA BRANCA,2012,Budiao,0.3,0.0003047232097511427
AREIA BRANCA,2012,Buzios,0.0,0.0
AREIA BRANCA,2012,Caico,26.5,0.02691721686135094
AREIA BRANCA,2012,Camarao,0.8,0.0008125952260030473
AREIA BRANCA,2012,Camurim,5.1,0.0051802945657694255
AREIA BRANCA,2012,Camurupim,1.2,0.0012188928390045707
AREIA BRANCA,2012,Cangulo,1.6,0.0016251904520060945
AREIA BRANCA,2012,Caranguejo,0.0,0.0
AREIA BRANCA,2012,Carapeba,2.3,0.002336211274758761
AREIA BRANCA,2012,Carauna,0.0,0.0
AREIA BRANCA,2012,Cavala,18.7,0.01899441340782123
AREIA BRANCA,2012,Caçao,10.7,0.010868461147790756
AREIA BRANCA,2012,Cioba,26.3,0.026714068054850177
