platform_exposure_class,year,boat_type,propulsion,vessels_monitored,total_vessels,boat_share,share_motorised,share_sail_row,share_other
20-50 km,2004,BMM,motorised,56,322,0.17391304347826086,0.39751552795031053,0.5900621118012422,0.012422360248447204
20-50 km,2004,BMP,motorised,53,322,0.16459627329192547,0.39751552795031053,0.5900621118012422,0.012422360248447204
20-50 km,2004,BOV,sail/row,127,322,0.3944099378881988,0.39751552795031053,0.5900621118012422,0.012422360248447204
20-50 km,2004,CAV,sail/row,63,322,0.1956521739130435,0.39751552795031053,0.5900621118012422,0.012422360248447204
20-50 km,2004,PED,other,4,322,0.012422360248447204,0.39751552795031053,0.5900621118012422,0.012422360248447204
20-50 km,2004,PQM,motorised,19,322,0.059006211180124224,0.39751552795031053,0.5900621118012422,0.012422360248447204
20-50 km,2005,BMG,motorised,4,494,0.008097165991902834,0.4352226720647773,0.562753036437247,0.0020242914979757085
20-50 km,2005,BMM,motorised,110,494,0.22267206477732793,0.4352226720647773,0.562753036437247,0.0020242914979757085
20-50 km,2005,BMP,motorised,67,494,0.13562753036437247,0.4352226720647773,0.562753036437247,0.0020242914979757085
20-50 km,2005,BOV,sail/row,166,494,0.3360323886639676,0.4352226720647773,0.562753036437247,0.0020242914979757085
20-50 km,2005,CAV,sail/row,106,494,0.2145748987854251,0.4352226720647773,0.562753036437247,0.0020242914979757085
20-50 km,2005,JAV,sail/row,6,494,0.012145748987854251,0.4352226720647773,0.562753036437247,0.0020242914979757085
20-50 km,2005,PED,other,1,494,0.0020242914979757085,0.4352226720647773,0.562753036437247,0.0020242914979757085
20-50 km,2005,PQM,motorised,34,494,0.06882591093117409,0.4352226720647773,0.562753036437247,0.0020242914979757085
20-50 km,2006,BMG,motorised,1,322,0.003105590062111801,0.5807453416149069,0.4192546583850932,0.0
20-50 km,2006,BMM,motorised,98,322,0.30434782608695654,0.5807453416149069,0.4192546583850932,0.0
20-50 km,2006,BMP,motorised,55,322,0.17080745341614906,0.5807453416149069,0.4192546583850932,0.0
20-50 km,2006,BOV,sail/row,99,322,0.30745341614906835,0.5807453416149069,0.4192546583850932,0.0
20-50 km,2006,CAM,motorised,11,322,0.034161490683229816,0.5807453416149069,0.4192546583850932,0.0
20-50 km,2006,CAV,sail/row,30,322,0.09316770186335403,0.5807453416149069,0.4192546583850932,0.0
20-50 km,2006,JAV,sail/row,6,322,0.018633540372670808,0.5807453416149069,0.4192546583850932,0.0
20-50 km,2006,PQM,motorised,22,322,0.06832298136645963,0.5807453416149069,0.4192546583850932,0.0
20-50 km,2007,BMG,motorised,4,440,0.00909090909090909,0.5522727272727272,0.4431818181818182,0.004545454545454545
20-50 km,2007,BMM,motorised,88,440,0.2,0.5522727272727272,0.4431818181818182,0.004545454545454545
20-50 km,2007,BMP,motorised,62,440,0.1409090909090909,0.5522727272727272,0.4431818181818182,0.004545454545454545
20-50 km,2007,BOV,sail/row,124,440,0.2818181818181818,0.5522727272727272,0.4431818181818182,0.004545454545454545
20-50 km,2007,CAM,motorised,42,440,0.09545454545454546,0.5522727272727272,0.4431818181818182,0.004545454545454545
20-50 km,2007,CAV,sail/row,68,440,0.15454545454545454,0.5522727272727272,0.4431818181818182,0.004545454545454545
20-50 km,2007,JAV,sail/row,3,440,0.006818181818181818,0.5522727272727272,0.4431818181818182,0.004545454545454545
20-50 km,2007,PED,other,2,440,0.004545454545454545,0.5522727272727272,0.4431818181818182,0.004545454545454545
20-50 km,2007,PQM,motorised,47,440,0.10681818181818181,0.5522727272727272,0.4431818181818182,0.004545454545454545
20-50 km,2008,BMG,motorised,10,622,0.01607717041800643,0.6077170418006431,0.3858520900321543,0.006430868167202572
20-50 km,2008,BMM,motorised,101,622,0.16237942122186494,0.6077170418006431,0.3858520900321543,0.006430868167202572
20-50 km,2008,BMP,motorised,95,622,0.1527331189710611,0.6077170418006431,0.3858520900321543,0.006430868167202572
20-50 km,2008,BOV,sail/row,138,622,0.22186495176848875,0.6077170418006431,0.3858520900321543,0.006430868167202572
20-50 km,2008,CAM,motorised,75,622,0.12057877813504823,0.6077170418006431,0.3858520900321543,0.006430868167202572
20-50 km,2008,CAV,sail/row,74,622,0.1189710610932476,0.6077170418006431,0.3858520900321543,0.006430868167202572
20-50 km,2008,JAV,sail/row,28,622,0.04501607717041801,0.6077170418006431,0.3858520900321543,0.006430868167202572
20-50 km,2008,PED,other,4,622,0.006430868167202572,0.6077170418006431,0.3858520900321543,0.006430868167202572
20-50 km,2008,PQM,motorised,97,622,0.15594855305466238,0.6077170418006431,0.3858520900321543,0.006430868167202572
20-50 km,2009,BMG,motorised,8,917,0.008724100327153763,0.4547437295528899,0.5310796074154853,0.014176663031624863
20-50 km,2009,BMM,motorised,140,917,0.15267175572519084,0.4547437295528899,0.5310796074154853,0.014176663031624863
20-50 km,2009,BMP,motorised,96,917,0.10468920392584515,0.4547437295528899,0.5310796074154853,0.014176663031624863
20-50 km,2009,BOM,other,0,917,0.0,0.4547437295528899,0.5310796074154853,0.014176663031624863
20-50 km,2009,BOV,sail/row,182,917,0.1984732824427481,0.4547437295528899,0.5310796074154853,0.014176663031624863
20-50 km,2009,CAM,motorised,113,917,0.12322791712104689,0.4547437295528899,0.5310796074154853,0.014176663031624863
20-50 km,2009,CAV,sail/row,114,917,0.12431842966194111,0.4547437295528899,0.5310796074154853,0.014176663031624863
20-50 km,2009,JAV,sail/row,39,917,0.04252998909487459,0.4547437295528899,0.5310796074154853,0.014176663031624863
20-50 km,2009,PED,other,13,917,0.014176663031624863,0.4547437295528899,0.5310796074154853,0.014176663031624863
20-50 km,2009,PQM,motorised,60,917,0.06543075245365322,0.4547437295528899,0.5310796074154853,0.014176663031624863
20-50 km,2009,PQV,sail/row,152,917,0.16575790621592149,0.4547437295528899,0.5310796074154853,0.014176663031624863
20-50 km,2010,BMG,motorised,7,865,0.008092485549132947,0.5387283236994219,0.4069364161849711,0.05433526011560694
20-50 km,2010,BMM,motorised,138,865,0.15953757225433526,0.5387283236994219,0.4069364161849711,0.05433526011560694
20-50 km,2010,BMP,motorised,105,865,0.12138728323699421,0.5387283236994219,0.4069364161849711,0.05433526011560694
20-50 km,2010,BOM,other,0,865,0.0,0.5387283236994219,0.4069364161849711,0.05433526011560694
20-50 km,2010,BOV,sail/row,172,865,0.19884393063583816,0.5387283236994219,0.4069364161849711,0.05433526011560694
20-50 km,2010,CAM,motorised,149,865,0.1722543352601156,0.5387283236994219,0.4069364161849711,0.05433526011560694
20-50 km,2010,CAR,other,6,865,0.006936416184971098,0.5387283236994219,0.4069364161849711,0.05433526011560694
20-50 km,2010,CAV,sail/row,78,865,0.09017341040462427,0.5387283236994219,0.4069364161849711,0.05433526011560694
20-50 km,2010,JAV,sail/row,35,865,0.04046242774566474,0.5387283236994219,0.4069364161849711,0.05433526011560694
20-50 km,2010,PED,other,32,865,0.03699421965317919,0.5387283236994219,0.4069364161849711,0.05433526011560694
20-50 km,2010,PQM,motorised,67,865,0.07745664739884393,0.5387283236994219,0.4069364161849711,0.05433526011560694
20-50 km,2010,PQR,other,9,865,0.010404624277456647,0.5387283236994219,0.4069364161849711,0.05433526011560694
20-50 km,2010,PQV,sail/row,67,865,0.07745664739884393,0.5387283236994219,0.4069364161849711,0.05433526011560694
20-50 km,2011,BMG,motorised,10,1049,0.009532888465204958,0.432793136320305,0.36415633937082936,0.20305052430886558
20-50 km,2011,BMM,motorised,136,1049,0.12964728312678742,0.432793136320305,0.36415633937082936,0.20305052430886558
20-50 km,2011,BMP,motorised,68,1049,0.06482364156339371,0.432793136320305,0.36415633937082936,0.20305052430886558
20-50 km,2011,BOM,other,47,1049,0.044804575786463297,0.432793136320305,0.36415633937082936,0.20305052430886558
20-50 km,2011,BOV,sail/row,157,1049,0.14966634890371783,0.432793136320305,0.36415633937082936,0.20305052430886558
20-50 km,2011,CAM,motorised,161,1049,0.1534795042897998,0.432793136320305,0.36415633937082936,0.20305052430886558
20-50 km,2011,CAR,other,15,1049,0.014299332697807437,0.432793136320305,0.36415633937082936,0.20305052430886558
20-50 km,2011,CAV,sail/row,41,1049,0.03908484270734033,0.432793136320305,0.36415633937082936,0.20305052430886558
20-50 km,2011,JAM,motorised,32,1049,0.030505243088655862,0.432793136320305,0.36415633937082936,0.20305052430886558
20-50 km,2011,JAV,sail/row,66,1049,0.06291706387035272,0.432793136320305,0.36415633937082936,0.20305052430886558
20-50 km,2011,PED,other,70,1049,0.0667302192564347,0.432793136320305,0.36415633937082936,0.20305052430886558
20-50 km,2011,PQM,motorised,47,1049,0.044804575786463297,0.432793136320305,0.36415633937082936,0.20305052430886558
20-50 km,2011,PQR,other,81,1049,0.07721639656816015,0.432793136320305,0.36415633937082936,0.20305052430886558
20-50 km,2011,PQV,sail/row,118,1049,0.1124880838894185,0.432793136320305,0.36415633937082936,0.20305052430886558
20-50 km,2012,BMG,motorised,10,973,0.010277492291880781,0.43884892086330934,0.32579650565262075,0.23535457348406988
20-50 km,2012,BMM,motorised,119,973,0.1223021582733813,0.43884892086330934,0.32579650565262075,0.23535457348406988
20-50 km,2012,BMP,motorised,33,973,0.03391572456320658,0.43884892086330934,0.32579650565262075,0.23535457348406988
20-50 km,2012,BOM,other,103,973,0.10585817060637205,0.43884892086330934,0.32579650565262075,0.23535457348406988
20-50 km,2012,BOV,sail/row,155,973,0.1593011305241521,0.43884892086330934,0.32579650565262075,0.23535457348406988
20-50 km,2012,CAM,motorised,182,973,0.18705035971223022,0.43884892086330934,0.32579650565262075,0.23535457348406988
20-50 km,2012,CAR,other,21,973,0.02158273381294964,0.43884892086330934,0.32579650565262075,0.23535457348406988
20-50 km,2012,CAV,sail/row,32,973,0.0328879753340185,0.43884892086330934,0.32579650565262075,0.23535457348406988
20-50 km,2012,JAM,motorised,37,973,0.03802672147995889,0.43884892086330934,0.32579650565262075,0.23535457348406988
20-50 km,2012,JAV,sail/row,61,973,0.06269270298047276,0.43884892086330934,0.32579650565262075,0.23535457348406988
20-50 km,2012,PED,other,105,973,0.1079136690647482,0.43884892086330934,0.32579650565262075,0.23535457348406988
