platform_exposure_class,year,boat_type,propulsion,vessels_monitored,total_vessels,boat_share,share_motorised,share_sail_row,share_other
20-50 km,2017,PQV,sail/row,14,521,0.026871401151631478,0.5604606525911708,0.21880998080614203,0.22072936660268713
20-50 km,2018,BMG,motorised,31,451,0.06873614190687362,0.6807095343680709,0.1197339246119734,0.19955654101995565
20-50 km,2018,BMM,motorised,95,451,0.2106430155210643,0.6807095343680709,0.1197339246119734,0.19955654101995565
20-50 km,2018,BMP,motorised,20,451,0.04434589800443459,0.6807095343680709,0.1197339246119734,0.19955654101995565
20-50 km,2018,BOM,other,65,451,0.14412416851441243,0.6807095343680709,0.1197339246119734,0.19955654101995565
20-50 km,2018,BOV,sail/row,30,451,0.06651884700665188,0.6807095343680709,0.1197339246119734,0.19955654101995565
20-50 km,2018,CAM,motorised,101,451,0.22394678492239467,0.6807095343680709,0.1197339246119734,0.19955654101995565
20-50 km,2018,CAR,other,2,451,0.004434589800443459,0.6807095343680709,0.1197339246119734,0.19955654101995565
20-50 km,2018,CAV,sail/row,3,451,0.0066518847006651885,0.6807095343680709,0.1197339246119734,0.19955654101995565
20-50 km,2018,JAM,motorised,45,451,0.09977827050997783,0.6807095343680709,0.1197339246119734,0.19955654101995565
20-50 km,2018,JAV,sail/row,12,451,0.026607538802660754,0.6807095343680709,0.1197339246119734,0.19955654101995565
20-50 km,2018,PED,other,23,451,0.050997782705099776,0.6807095343680709,0.1197339246119734,0.19955654101995565
20-50 km,2018,PQM,motorised,15,451,0.03325942350332594,0.6807095343680709,0.1197339246119734,0.19955654101995565
20-50 km,2018,PQV,sail/row,9,451,0.019955654101995565,0.6807095343680709,0.1197339246119734,0.19955654101995565
20-50 km,2019,BMG,motorised,33,532,0.06203007518796992,0.6973684210526315,0.10526315789473684,0.19736842105263158
20-50 km,2019,BMM,motorised,125,532,0.2349624060150376,0.6973684210526315,0.10526315789473684,0.19736842105263158
20-50 km,2019,BMP,motorised,23,532,0.043233082706766915,0.6973684210526315,0.10526315789473684,0.19736842105263158
20-50 km,2019,BOM,other,74,532,0.13909774436090225,0.6973684210526315,0.10526315789473684,0.19736842105263158
20-50 km,2019,BOV,sail/row,29,532,0.05451127819548872,0.6973684210526315,0.10526315789473684,0.19736842105263158
20-50 km,2019,CAM,motorised,113,532,0.212406015037594,0.6973684210526315,0.10526315789473684,0.19736842105263158
20-50 km,2019,CAR,other,2,532,0.0037593984962406013,0.6973684210526315,0.10526315789473684,0.19736842105263158
20-50 km,2019,CAV,sail/row,2,532,0.0037593984962406013,0.6973684210526315,0.10526315789473684,0.19736842105263158
20-50 km,2019,JAM,motorised,60,532,0.11278195488721804,0.6973684210526315,0.10526315789473684,0.19736842105263158
20-50 km,2019,JAV,sail/row,12,532,0.022556390977443608,0.6973684210526315,0.10526315789473684,0.19736842105263158
20-50 km,2019,PED,other,29,532,0.05451127819548872,0.6973684210526315,0.10526315789473684,0.19736842105263158
20-50 km,2019,PQM,motorised,17,532,0.03195488721804511,0.6973684210526315,0.10526315789473684,0.19736842105263158
20-50 km,2019,PQV,sail/row,13,532,0.02443609022556391,0.6973684210526315,0.10526315789473684,0.19736842105263158
20-50 km,2020,BMG,motorised,19,491,0.038696537678207736,0.7006109979633401,0.10183299389002037,0.1975560081466395
20-50 km,2020,BMM,motorised,117,491,0.23828920570264767,0.7006109979633401,0.10183299389002037,0.1975560081466395
20-50 km,2020,BMP,motorised,23,491,0.04684317718940937,0.7006109979633401,0.10183299389002037,0.1975560081466395
20-50 km,2020,BOM,other,68,491,0.1384928716904277,0.7006109979633401,0.10183299389002037,0.1975560081466395
20-50 km,2020,BOV,sail/row,25,491,0.05091649694501019,0.7006109979633401,0.10183299389002037,0.1975560081466395
20-50 km,2020,CAM,motorised,111,491,0.22606924643584522,0.7006109979633401,0.10183299389002037,0.1975560081466395
20-50 km,2020,CAR,other,1,491,0.002036659877800407,0.7006109979633401,0.10183299389002037,0.1975560081466395
20-50 km,2020,CAV,sail/row,2,491,0.004073319755600814,0.7006109979633401,0.10183299389002037,0.1975560081466395
20-50 km,2020,JAM,motorised,55,491,0.1120162932790224,0.7006109979633401,0.10183299389002037,0.1975560081466395
20-50 km,2020,JAV,sail/row,13,491,0.026476578411405296,0.7006109979633401,0.10183299389002037,0.1975560081466395
20-50 km,2020,PED,other,28,491,0.05702647657841141,0.7006109979633401,0.10183299389002037,0.1975560081466395
20-50 km,2020,PQM,motorised,19,491,0.038696537678207736,0.7006109979633401,0.10183299389002037,0.1975560081466395
20-50 km,2020,PQV,sail/row,10,491,0.020366598778004074,0.7006109979633401,0.10183299389002037,0.1975560081466395
20-50 km,2021,BMG,motorised,22,502,0.043824701195219126,0.7171314741035857,0.09760956175298804,0.1852589641434263
20-50 km,2021,BMM,motorised,113,502,0.2250996015936255,0.7171314741035857,0.09760956175298804,0.1852589641434263
20-50 km,2021,BMP,motorised,30,502,0.05976095617529881,0.7171314741035857,0.09760956175298804,0.1852589641434263
20-50 km,2021,BOM,other,61,502,0.12151394422310757,0.7171314741035857,0.09760956175298804,0.1852589641434263
20-50 km,2021,BOV,sail/row,22,502,0.043824701195219126,0.7171314741035857,0.09760956175298804,0.1852589641434263
20-50 km,2021,CAM,motorised,112,502,0.22310756972111553,0.7171314741035857,0.09760956175298804,0.1852589641434263
20-50 km,2021,CAR,other,1,502,0.00199203187250996,0.7171314741035857,0.09760956175298804,0.1852589641434263
20-50 km,2021,CAV,sail/row,2,502,0.00398406374501992,0.7171314741035857,0.09760956175298804,0.1852589641434263
20-50 km,2021,JAM,motorised,63,502,0.1254980079681275,0.7171314741035857,0.09760956175298804,0.1852589641434263
20-50 km,2021,JAV,sail/row,12,502,0.02390438247011952,0.7171314741035857,0.09760956175298804,0.1852589641434263
20-50 km,2021,PED,other,31,502,0.061752988047808766,0.7171314741035857,0.09760956175298804,0.1852589641434263
20-50 km,2021,PQM,motorised,20,502,0.0398406374501992,0.7171314741035857,0.09760956175298804,0.1852589641434263
20-50 km,2021,PQV,sail/row,13,502,0.025896414342629483,0.7171314741035857,0.09760956175298804,0.1852589641434263
20-50 km,2022,BMG,motorised,18,510,0.03529411764705882,0.7627450980392156,0.07058823529411765,0.16666666666666666
20-50 km,2022,BMM,motorised,127,510,0.24901960784313726,0.7627450980392156,0.07058823529411765,0.16666666666666666
20-50 km,2022,BMP,motorised,38,510,0.07450980392156863,0.7627450980392156,0.07058823529411765,0.16666666666666666
20-50 km,2022,BOM,other,50,510,0.09803921568627451,0.7627450980392156,0.07058823529411765,0.16666666666666666
20-50 km,2022,BOV,sail/row,16,510,0.03137254901960784,0.7627450980392156,0.07058823529411765,0.16666666666666666
20-50 km,2022,CAM,motorised,105,510,0.20588235294117646,0.7627450980392156,0.07058823529411765,0.16666666666666666
20-50 km,2022,CAR,other,2,510,0.00392156862745098,0.7627450980392156,0.07058823529411765,0.16666666666666666
20-50 km,2022,CAV,sail/row,1,510,0.00196078431372549,0.7627450980392156,0.07058823529411765,0.16666666666666666
20-50 km,2022,JAM,motorised,76,510,0.14901960784313725,0.7627450980392156,0.07058823529411765,0.16666666666666666
20-50 km,2022,JAV,sail/row,9,510,0.01764705882352941,0.7627450980392156,0.07058823529411765,0.16666666666666666
20-50 km,2022,PED,other,33,510,0.06470588235294118,0.7627450980392156,0.07058823529411765,0.16666666666666666
20-50 km,2022,PQM,motorised,25,510,0.049019607843137254,0.7627450980392156,0.07058823529411765,0.16666666666666666
20-50 km,2022,PQV,sail/row,10,510,0.0196078431372549,0.7627450980392156,0.07058823529411765,0.16666666666666666
20-50 km,2023,BMG,motorised,18,485,0.03711340206185567,0.7917525773195876,0.05567010309278351,0.15257731958762888
20-50 km,2023,BMM,motorised,128,485,0.2639175257731959,0.7917525773195876,0.05567010309278351,0.15257731958762888
20-50 km,2023,BMP,motorised,37,485,0.07628865979381444,0.7917525773195876,0.05567010309278351,0.15257731958762888
20-50 km,2023,BOM,other,41,485,0.08453608247422681,0.7917525773195876,0.05567010309278351,0.15257731958762888
20-50 km,2023,BOV,sail/row,12,485,0.024742268041237112,0.7917525773195876,0.05567010309278351,0.15257731958762888
20-50 km,2023,CAM,motorised,111,485,0.2288659793814433,0.7917525773195876,0.05567010309278351,0.15257731958762888
20-50 km,2023,CAR,other,2,485,0.004123711340206186,0.7917525773195876,0.05567010309278351,0.15257731958762888
20-50 km,2023,CAV,sail/row,2,485,0.004123711340206186,0.7917525773195876,0.05567010309278351,0.15257731958762888
20-50 km,2023,JAM,motorised,71,485,0.1463917525773196,0.7917525773195876,0.05567010309278351,0.15257731958762888
20-50 km,2023,JAV,sail/row,5,485,0.010309278350515464,0.7917525773195876,0.05567010309278351,0.15257731958762888
20-50 km,2023,PED,other,31,485,0.06391752577319587,0.7917525773195876,0.05567010309278351,0.15257731958762888
20-50 km,2023,PQM,motorised,19,485,0.03917525773195876,0.7917525773195876,0.05567010309278351,0.15257731958762888
20-50 km,2023,PQV,sail/row,8,485,0.016494845360824743,0.7917525773195876,0.05567010309278351,0.15257731958762888
20-50 km,2024,BMG,motorised,15,440,0.03409090909090909,0.7795454545454545,0.05227272727272727,0.16818181818181818
20-50 km,2024,BMM,motorised,112,440,0.2545454545454545,0.7795454545454545,0.05227272727272727,0.16818181818181818
20-50 km,2024,BMP,motorised,41,440,0.09318181818181819,0.7795454545454545,0.05227272727272727,0.16818181818181818
20-50 km,2024,BOM,other,39,440,0.08863636363636364,0.7795454545454545,0.05227272727272727,0.16818181818181818
20-50 km,2024,BOV,sail/row,10,440,0.022727272727272728,0.7795454545454545,0.05227272727272727,0.16818181818181818
20-50 km,2024,CAM,motorised,95,440,0.2159090909090909,0.7795454545454545,0.05227272727272727,0.16818181818181818
20-50 km,2024,CAR,other,3,440,0.006818181818181818,0.7795454545454545,0.05227272727272727,0.16818181818181818
20-50 km,2024,CAV,sail/row,1,440,0.0022727272727272726,0.7795454545454545,0.05227272727272727,0.16818181818181818
20-50 km,2024,JAM,motorised,65,440,0.14772727272727273,0.7795454545454545,0.05227272727272727,0.16818181818181818
20-50 km,2024,JAV,sail/row,5,440,0.011363636363636364,0.7795454545454545,0.05227272727272727,0.16818181818181818
20-50 km,2024,PED,other,32,440,0.07272727272727272,0.7795454545454545,0.05227272727272727,0.16818181818181818
20-50 km,2024,PQM,motorised,15,440,0.03409090909090909,0.7795454545454545,0.05227272727272727,0.16818181818181818
20-50 km,2024,PQV,sail/row,7,440,0.015909090909090907,0.7795454545454545,0.05227272727272727,0.16818181818181818
