year_c,year,group,cpue_pred,ci_lo,ci_hi
-4.404040404040405,2009.5959595959596,inside,1.5868146529531437,1.2510665271400538,2.0127927219451753
-4.171717171717171,2009.828282828283,inside,1.6288450605028872,1.285350558718832,2.064255547751029
-3.9393939393939394,2010.060606060606,inside,1.671645237032351,1.3202043610331982,2.1167572320666173
-3.7070707070707076,2010.2929292929293,inside,1.7152164638777647,1.3556279566806204,2.170300475158198
-3.474747474747474,2010.5252525252524,inside,1.75955948664758,1.3916208390425517,2.2248875165929083
-3.242424242424242,2010.7575757575758,inside,1.8046744975533973,1.4281819225316033,2.2805201657449365
-3.0101010101010104,2010.989898989899,inside,1.850561117858607,1.465309490527072,2.337199836452374
-2.7777777777777786,2011.2222222222222,inside,1.8972183804754852,1.5030011408904473,2.394927586132344
-2.545454545454545,2011.4545454545455,inside,1.9446447127423176,1.5412537289401473,2.4537041596838214
-2.313131313131313,2011.6868686868686,inside,1.992837919412877,1.5800633077561823,2.5135300385253316
-2.0808080808080813,2011.919191919192,inside,2.0417951658913704,1.619425065681358,2.5744054951279
-1.8484848484848477,2012.1515151515152,inside,2.0915129617466177,1.6593332608865943,2.636330653411377
-1.616161616161616,2012.3838383838383,inside,2.141987144539932,1.6997811528747153,2.699305555374002
-1.383838383838384,2012.6161616161617,inside,2.19321286400175,1.7407609308102547,2.7633302343198642
-1.1515151515151523,2012.8484848484848,inside,2.245184566592631,1.782263638583269,2.8284047950360844
-0.9191919191919187,2013.080808080808,inside,2.297895980484751,1.8242790965435738,2.8945295012501693
-0.6868686868686869,2013.3131313131314,inside,2.3513401010004515,1.8667958198790784,2.9617048706671216
-0.45454545454545503,2013.5454545454545,inside,2.405509176544804,1.9098009336588238,3.0299317778447805
-0.2222222222222232,2013.7777777777778,inside,2.4603946950694735,1.9532800846187388,3.0992115651134235
0.010101010101010388,2014.010101010101,inside,2.5159873711053984,1.9972173498368446,3.16954616168114
0.2424242424242422,2014.2424242424242,inside,2.572277133402023,2.04159514252536,3.240938210989105
0.47474747474747403,2014.4747474747476,inside,2.6292531132109156,2.0863941152604504,3.3133912062899022
0.7070707070707076,2014.7070707070707,inside,2.686903633251637,2.1315930610765927,3.386909634317137
0.9393939393939394,2014.939393939394,inside,2.745216197397701,2.1771688129717632,3.461499126795589
1.1717171717171713,2015.171717171717,inside,2.804177481120345,2.2230961425016296,3.5371666194083002
1.404040404040403,2015.4040404040404,inside,2.863773322727621,2.2693476582847203,3.613920517691002
1.6363636363636367,2015.6363636363637,inside,2.9239887154360242,2.3158937053949082,3.691770869166636
1.8686868686868685,2015.8686868686868,inside,2.9848078003115206,2.3627022667802207,3.7707295408653394
2.1010101010101003,2016.1010101010102,inside,3.046213860116362,2.4097388680151353,3.850810401201091
2.333333333333334,2016.3333333333333,inside,3.1081893140975,2.4569664868632137,3.9320295049992287
2.5656565656565657,2016.5656565656566,inside,3.1707192072736796,2.504347653557461,4.014410624968123
2.7979797979797976,2016.79797979798,inside,3.233802243710443,2.5518514916370223,4.098001989952963
3.030303030303031,2017.030303030303,inside,3.297441292535997,2.5994481956738977,4.182861207724467
3.262626262626263,2017.2626262626263,inside,3.3616400652087606,2.6471071698844306,4.269049938144335
3.494949494949495,2017.4949494949494,inside,3.4264031490876175,2.6947972419101824,4.356633743689158
3.7272727272727266,2017.7272727272727,inside,3.4917360409980858,2.742486894673771,4.445681918272072
3.9595959595959584,2017.9595959595958,inside,3.557645180833506,2.7901445137933876,4.536267297166015
4.19191919191919,2018.1919191919192,inside,3.6241379852353073,2.83773864750731,4.628466051388799
4.424242424242426,2018.4242424242425,inside,3.6912228814013788,2.885238275589062,4.722357470403353
4.6565656565656575,2018.6565656565656,inside,3.7589093410765795,2.9326130833525075,4.818023737388406
4.888888888888889,2018.888888888889,inside,3.827207914784528,2.979833736578291,4.915549701621946
5.121212121212121,2019.121212121212,inside,3.896130266364853,3.026872153057647,5.015022652672278
5.353535353535353,2019.3535353535353,inside,3.9656892078852937,3.073701766459024,5.116532101098065
5.585858585858585,2019.5858585858587,inside,4.035898735003214,3.120297778381017,5.220169570214919
5.818181818181817,2019.8181818181818,inside,4.106774062856403,3.1666373947570876,5.326028403197079
6.050505050505052,2020.050505050505,inside,4.178331662568373,3.2127000432103068,5.434203589361595
6.282828282828284,2020.2828282828282,inside,4.250589298458795,3.258467568498869,5.544791612950399
6.515151515151516,2020.5151515151515,inside,4.323566066055357,3.303924403818835,5.657890327109535
6.747474747474747,2020.7474747474748,inside,4.3972824310088106,3.349057716408398,5.773598855095301
6.979797979797979,2020.979797979798,inside,4.471760269018985,3.3938575265960886,5.892017520047037
7.212121212121211,2021.2121212121212,inside,4.547022906885349,3.438316800121862,6.013247803986791
7.444444444444443,2021.4444444444443,inside,4.623095164801882,3.482431514206629,6.137392336066394
7.676767676767678,2021.6767676767677,inside,4.700003400022326,3.526200698428429,6.264554909506255
7.90909090909091,2021.909090909091,inside,4.777775552028468,3.5696264519639196,6.3948405261762415
8.141414141414142,2022.141414141414,inside,4.8564411893407575,3.6127139391602032,6.528355467369008
8.373737373737374,2022.3737373737374,inside,4.936031558117786,3.6554713657088116,6.665207389016182
8.606060606060606,2022.6060606060605,inside,5.016579632698346,3.6979099379009326,6.805505439397649
8.838383838383837,2022.8383838383838,inside,5.098120168247596,3.7400438075560634,6.949360397288895
9.07070707070707,2023.0707070707072,inside,5.180689755676746,3.781890005244073,7.096884828471981
9.303030303030305,2023.3030303030303,inside,5.264326879014342,3.8234683643750906,7.248193258591179
9.535353535353536,2023.5353535353536,inside,5.349071975415877,3.864801438625608,7.40340236045066
9.767676767676768,2023.7676767676767,inside,5.434967498007989,3.9059144150167757,7.562631154016515
10.0,2024.0,inside,5.5220579817733855,3.9468350247751567,7.72600121758472
-13.0,2001.0,outside,0.2405721258839177,0.13932300473356848,0.41562662281035356
-12.767676767676768,2001.2323232323233,outside,0.23626573762523476,0.143693236327677,0.3887124940543426
-12.535353535353535,2001.4646464646464,outside,0.23371534520129328,0.1481926819710067,0.36884016546225196
-12.303030303030303,2001.6969696969697,outside,0.2327867648303045,0.1528207098085228,0.3548537859374513
-12.070707070707071,2001.9292929292928,outside,0.23338204990301606,0.15759714894084104,0.345876815232944
-11.83838383838384,2002.1616161616162,outside,0.23543349953252482,0.1625683347196197,0.34123120393938644
-11.606060606060606,2002.3939393939395,outside,0.23889895081992568,0.16780979728559106,0.34038084773932625
-11.373737373737374,2002.6262626262626,outside,0.24375803313212163,0.17342420260732816,0.3428944681591316
-11.141414141414142,2002.858585858586,outside,0.2500091337660472,0.1795349455405672,0.3484232209384158
-10.90909090909091,2003.090909090909,outside,0.2576668756948104,0.18627749210567843,0.3566879340974224
-10.676767676767676,2003.3232323232323,outside,0.2667599449898541,0.19379105324853968,0.3674712692765664
-10.444444444444445,2003.5555555555557,outside,0.2773291318703781,0.20221233787272136,0.38061152978488677
-10.212121212121211,2003.7878787878788,outside,0.2894254680308902,0.2116718048418081,0.39599657297818897
-9.97979797979798,2004.020202020202,outside,0.30310835614758924,0.22229185001486912,0.41355754566298464
-9.747474747474747,2004.2525252525252,outside,0.31844359702381436,0.23418599875159765,0.43326271621311985
-9.515151515151516,2004.4848484848485,outside,0.3355012271785081,0.24745825680384353,0.4551117235667344
-9.282828282828284,2004.7171717171718,outside,0.3543530861150443,0.262202037031348,0.47913038669430996
-9.05050505050505,2004.949494949495,outside,0.37507003924741167,0.2784983547972245,0.5053660037709303
-8.818181818181818,2005.1818181818182,outside,0.3977187906844675,0.2964132103083629,0.5338828899419884
-8.585858585858585,2005.4141414141413,outside,0.42235823094340086,0.31599425140921744,0.5647577653829173
-8.353535353535353,2005.6464646464647,outside,0.44903527932513976,0.33726695160369535,0.598074503074785
-8.121212121212121,2005.878787878788,outside,0.4777802002335263,0.36023065418941214,0.6339176769450369
-7.888888888888889,2006.111111111111,outside,0.5086013981460672,0.3848549174641285,0.6723643297330015
-7.656565656565657,2006.3434343434344,outside,0.5414797280411585,0.4110766266550483,0.7134734341924975
-7.424242424242424,2006.5757575757575,outside,0.5763623973359338,0.43879828841887447,0.7572726841042672
-7.191919191919192,2006.8080808080808,outside,0.6131565818140955,0.46788777572228124,0.8037425453289236
-6.959595959595959,2007.040404040404,outside,0.6517229310266048,0.49817955349893533,0.8527979151213682
-6.7272727272727275,2007.2727272727273,outside,0.6918691968388108,0.5294771341992522,0.9042682332893819
-6.494949494949495,2007.5050505050506,outside,0.7333442798282588,0.5615562617959059,0.9578773806671268
-6.262626262626263,2007.7373737373737,outside,0.7758330486755033,0.5941681789480827,1.0132251003201647
-6.03030303030303,2007.969696969697,outside,0.8189523429523096,0.6270423364460521,1.0697719234598946
-5.7979797979797985,2008.20202020202,outside,0.8622486140952219,0.6598880419235718,1.126829662307464
-5.565656565656566,2008.4343434343434,outside,0.9051976862020906,0.6923947517261453,1.1835594753119036
-5.333333333333333,2008.6666666666667,outside,0.9472071203285248,0.7242309028701784,1.238979358189201
-5.101010101010101,2008.8989898989898,outside,0.9877003182858397,0.7550887396382391,1.2921073381421657
-4.8686868686868685,2009.1313131313132,outside,1.026385904768156,0.7848313352923437,1.3424152943174357
-4.636363636363637,2009.3636363636363,outside,1.0630716442948367,0.8133632252566239,1.389564378397118
-4.404040404040405,2009.5959595959596,outside,1.0975943982445717,0.8405859554009674,1.4332982245803998
-4.171717171717171,2009.828282828283,outside,1.1298215281158568,0.8663996176810803,1.473443918971463
-3.9393939393939394,2010.060606060606,outside,1.1596516470509757,0.8907047307763921,1.5099102723219708
-3.7070707070707076,2010.2929292929293,outside,1.1870147500474428,0.913404427599404,1.5426836571330302
-3.474747474747474,2010.5252525252524,outside,1.2118717688545821,0.9344069457826375,1.571821700307807
-3.242424242424242,2010.7575757575758,outside,1.234213610116428,0.9536284267701852,1.5974451558667286
-3.0101010101010104,2010.989898989899,outside,1.254059744726893,0.970996016173595,1.6197283170828503
-2.7777777777777786,2011.2222222222222,outside,1.2714564226161966,0.9864512241291438,1.6388883640612115
-2.545454545454545,2011.4545454545455,outside,1.2864745904310104,0.9999534522217584,1.6551740812862683
-2.313131313131313,2011.6868686868686,outside,1.299207590056543,1.011483529044646,1.6688544173487116
-2.0808080808080813,2011.919191919192,outside,1.3097687139921148,1.0210470302700894,1.6802073888326028
