local,year,production_ton,assisted_trips,fleet_monitored,estimated_fishermen,cpue_ton_per_trip,platform_exposure_class,mpa_exposure_class,cpue_per_vessel,cpue_per_fisherman,log_fleet,log_fishermen,log_fleet_c,log_fishermen_c,year_c,log_cpue
AREIA BRANCA,2021,4081.78639,5340,93.0,337.7,0.7643794737827716,20-50 km,inside,43.89017623655914,12.087019218241043,4.532599493153256,5.822157927391522,0.08566341692381485,0.4575822799710352,7.0,-0.2686909196940223
AREIA BRANCA,2022,3794.97,5041,111.9,320.6,0.7528208688752231,20-50 km,inside,33.91394101876675,11.837086712414221,4.71760561531788,5.770194240175453,0.2706695390884386,0.4056185927549665,8.0,-0.28392796942248627
AREIA BRANCA,2023,3747.05,4576,81.0,265.4,0.8188483391608392,20-50 km,inside,46.25987654320988,14.118500376789752,4.394449154672439,5.581238121898107,-0.0524869215570023,0.21666247447762021,9.0,-0.19985639034643674
AREIA BRANCA,2024,2896.9,3406,61.1,219.0,0.8505284791544334,20-50 km,inside,47.41243862520458,13.22785388127854,4.11251186617755,5.389071729816501,-0.3344242100518917,0.02449608239601453,10.0,-0.16189738251643918
CAICARA DO NORTE,2001,202.7,5976,219.0,710.82,0.0339190093708166,20-50 km,25-50 km,0.9255707762557077,0.2851636138544216,5.389071729816501,6.566419233194723,0.9421356535870595,1.2018435857742364,-13.0,-3.3837796733546988
CAICARA DO NORTE,2002,305.65,5495,208.0,697.0,0.0556232939035486,20-50 km,25-50 km,1.4694711538461538,0.43852223816355806,5.337538079701318,6.546785410760524,0.8906020034718765,1.1822097633400377,-12.0,-2.8891532103629887
CAICARA DO NORTE,2003,332.59,5482,200.0,684.23,0.0606694636993797,20-50 km,25-50 km,1.66295,0.4860792423600251,5.298317366548036,6.528294118410673,0.8513812903185949,1.1637184709901867,-11.0,-2.802314776701421
CAICARA DO NORTE,2004,421.24,6107,200.0,666.13,0.0689765842475847,20-50 km,25-50 km,2.1062,0.6323690570909583,5.298317366548036,6.501484846687481,0.8513812903185949,1.1369091992669942,-10.0,-2.673988190710739
CAICARA DO NORTE,2005,335.3,4930,217.0,699.5,0.0680121703853955,20-50 km,25-50 km,1.5451612903225806,0.47934238741958546,5.37989735354046,6.550365794105536,0.9329612773110183,1.1857901466850498,-9.0,-2.6880686135645533
CAICARA DO NORTE,2006,364.5,4786,196.0,666.79,0.0761596322607605,20-50 km,25-50 km,1.8596938775510203,0.5466488699590576,5.278114659230517,6.502475153763583,0.8311785830010754,1.1378995063430963,-8.0,-2.5749237170196064
CAICARA DO NORTE,2007,509.34,5534,208.0,654.75,0.0920383086375135,20-50 km,25-50 km,2.44875,0.7779152348224513,5.337538079701318,6.484253483387821,0.8906020034718765,1.1196778359673347,-7.0,-2.3855503903689406
CAICARA DO NORTE,2008,429.4,5402,199.0,634.87,0.0794890781192151,20-50 km,25-50 km,2.157788944723618,0.6763589396254351,5.293304824724492,6.453420253524341,0.8463687484950508,1.0888446061038541,-6.0,-2.53213564890788
CAICARA DO NORTE,2009,1485.851,5082,130.0,854.5,0.2923752459661551,20-50 km,25-50 km,11.429623076923077,1.738854300760679,4.867534450455582,6.750516502555645,0.42059837422614077,1.3859408551351589,-5.0,-1.229717212808699
CAICARA DO NORTE,2010,1346.424,5675,145.0,797.5,0.2372553303964757,20-50 km,25-50 km,9.28568275862069,1.6883059561128526,4.976733742420574,6.6814818346589995,0.5297976661911328,1.316906187238513,-4.0,-1.4386183743199334
CAICARA DO NORTE,2011,1257.689,10818,217.0,685.0,0.1162589203179885,20-50 km,25-50 km,5.795801843317973,1.8360423357664235,5.37989735354046,6.529418838262226,0.9329612773110183,1.1648431908417392,-3.0,-2.151935503540387
