local,year,pct_active,pct_passive,pct_mixed,platform_exposure_class,mpa_exposure_class
CAICARA DO NORTE,2023,0.05354110478473679,0.5041454400159824,0.4423134551992808,20-50 km,25-50 km
CAICARA DO NORTE,2024,0.0649069115021678,0.6328742667686814,0.3022188217291507,20-50 km,25-50 km
GALINHOS,2004,0.058312655086848644,0.5843672456575683,0.35732009925558317,20-50 km,10-25 km
GALINHOS,2005,0.02967032967032967,0.6142857142857142,0.35604395604395606,20-50 km,10-25 km
GALINHOS,2007,0.09216362740266142,0.8575653031049778,0.05027106949236077,20-50 km,10-25 km
GALINHOS,2008,0.12828658330517068,0.6737411287597163,0.19797228793511323,20-50 km,10-25 km
GALINHOS,2009,0.6168527829521476,0.38314721704785243,0.0,20-50 km,10-25 km
GALINHOS,2010,0.5290654535281167,0.4709345464718833,,20-50 km,10-25 km
GALINHOS,2011,0.3516088879917916,0.5357395165766766,0.11265159543153186,20-50 km,10-25 km
GALINHOS,2012,0.24351388256713702,0.5921711424670006,0.16431497496586256,20-50 km,10-25 km
GALINHOS,2013,0.21289424860853431,0.7759740259740261,0.011131725417439703,20-50 km,10-25 km
GALINHOS,2014,0.19088016967126192,0.4602332979851538,0.3488865323435843,20-50 km,10-25 km
GALINHOS,2015,0.22096956031567078,0.7034949267192785,0.07553551296505073,20-50 km,10-25 km
GALINHOS,2016,0.2021696252465483,0.6479289940828402,0.14990138067061143,20-50 km,10-25 km
GALINHOS,2017,0.2020598332515939,0.5929377145659638,0.2050024521824424,20-50 km,10-25 km
GALINHOS,2018,0.4440052700922266,0.5401844532279314,0.0158102766798419,20-50 km,10-25 km
GALINHOS,2019,0.34217625899280574,0.5350719424460432,0.12275179856115108,20-50 km,10-25 km
GALINHOS,2020,0.5038975501113586,0.3780623608017818,0.11804008908685971,20-50 km,10-25 km
GALINHOS,2021,0.48764160659114314,0.32234809474768283,0.19001029866117405,20-50 km,10-25 km
GALINHOS,2022,0.5346835443037974,0.3473417721518987,0.11797468354430381,20-50 km,10-25 km
GALINHOS,2023,0.5897216274089935,0.2946466809421842,0.11563169164882227,20-50 km,10-25 km
GALINHOS,2024,0.23876404494382023,0.6629213483146068,0.09831460674157304,20-50 km,10-25 km
GROSSOS,2003,,1.0,,20-50 km,10-25 km
GROSSOS,2005,,1.0,,20-50 km,10-25 km
GROSSOS,2007,,1.0,,20-50 km,10-25 km
GROSSOS,2009,0.34144586730690857,0.6585541326930915,0.0,20-50 km,10-25 km
GROSSOS,2010,0.4212139167145,0.5787860832855001,,20-50 km,10-25 km
GROSSOS,2011,0.5475593098838506,0.4524406901161495,,20-50 km,10-25 km
GROSSOS,2012,0.5886597938144329,0.41134020618556705,0.0,20-50 km,10-25 km
GROSSOS,2013,0.4662420382165605,0.5337579617834395,0.0,20-50 km,10-25 km
GROSSOS,2014,0.6055555555555555,0.37500000000000006,0.019444444444444445,20-50 km,10-25 km
GROSSOS,2015,0.5504322766570605,0.42939481268011526,0.020172910662824204,20-50 km,10-25 km
GROSSOS,2016,0.5458167330677292,0.4329349269588313,0.021248339973439577,20-50 km,10-25 km
GROSSOS,2017,0.544,0.4426666666666667,0.013333333333333334,20-50 km,10-25 km
GROSSOS,2018,0.327683615819209,0.672316384180791,0.0,20-50 km,10-25 km
GROSSOS,2019,0.3988269794721408,0.5865102639296187,0.014662756598240468,20-50 km,10-25 km
GROSSOS,2020,0.9193639977285634,0.07666098807495741,0.003975014196479273,20-50 km,10-25 km
GROSSOS,2021,0.5087719298245614,0.4842105263157894,0.007017543859649123,20-50 km,10-25 km
GROSSOS,2022,0.6400000000000001,0.36000000000000004,0.0,20-50 km,10-25 km
GROSSOS,2023,0.49848942598187307,0.5015105740181269,0.0,20-50 km,10-25 km
GROSSOS,2024,0.08494208494208494,0.915057915057915,0.0,20-50 km,10-25 km
GUAMARE,2001,0.23105794041754632,0.7304714989444053,0.038470560638048316,0-20 km,0-10 km
GUAMARE,2002,0.229081493594985,0.770918506405015,,0-20 km,0-10 km
GUAMARE,2003,0.12028964090438896,0.8797103590956109,,0-20 km,0-10 km
GUAMARE,2004,0.16450855417645083,0.8354914458235491,,0-20 km,0-10 km
GUAMARE,2005,0.2007303712720633,0.7992696287279366,,0-20 km,0-10 km
GUAMARE,2006,0.2363041700735895,0.7636958299264104,,0-20 km,0-10 km
GUAMARE,2007,0.34898941289701635,0.6510105871029837,,0-20 km,0-10 km
GUAMARE,2008,0.17785989022861837,0.8217295475171787,0.000410562254202861,0-20 km,0-10 km
GUAMARE,2009,0.5223440091653699,0.47765599083463006,0.0,0-20 km,0-10 km
GUAMARE,2010,0.5892321580959123,0.4107678419040877,,0-20 km,0-10 km
GUAMARE,2011,0.4649142797799516,0.528378686344479,0.006707033875569376,0-20 km,0-10 km
GUAMARE,2012,0.557974959172564,0.38432226456178553,0.05770277626565052,0-20 km,0-10 km
GUAMARE,2013,0.47535934291581106,0.5246406570841889,0.0,0-20 km,0-10 km
GUAMARE,2014,0.43597262952101656,0.469208211143695,0.09481915933528835,0-20 km,0-10 km
GUAMARE,2015,0.5435897435897437,0.41623931623931626,0.040170940170940174,0-20 km,0-10 km
GUAMARE,2016,0.4873140857392826,0.4571303587051619,0.05555555555555555,0-20 km,0-10 km
GUAMARE,2017,0.46357328707719,0.4822202948829141,0.054206418039895926,0-20 km,0-10 km
GUAMARE,2018,0.5858676207513416,0.40697674418604646,0.007155635062611807,0-20 km,0-10 km
GUAMARE,2019,0.5686803914951063,0.40735740803239956,0.023962200472494095,0-20 km,0-10 km
GUAMARE,2020,0.46133474576271183,0.4952330508474576,0.043432203389830504,0-20 km,0-10 km
