mpa_exposure_class,year,production_ton,assisted_trips,fleet_monitored,estimated_fishermen,cpue_mean,cpue_fisherman_mean,n_locals,cpue,cpue_fisherman
inside,2002,65.83,3021,66.0,171.04,0.0217907977490897,0.3848807296538821,1,0.021790797749089704,0.38488072965388215
inside,2003,64.88,1890,79.0,276.21999999999997,0.17748183880322735,0.22729396620994194,2,0.034328042328042326,0.23488523640576353
inside,2004,69.85,2616,50.0,127.54,0.0267010703363914,0.5476713188019444,1,0.026701070336391436,0.5476713188019444
inside,2005,256.84000000000003,5506,183.0,469.36,0.0842306232814862,0.5533704362561741,2,0.046647293861242285,0.5472132265212204
inside,2006,123.16999999999999,3297,111.0,349.36,0.0460071801659479,0.4825911544633201,2,0.03735820442826812,0.35255896496450645
inside,2007,100.72999999999999,2167,136.0,465.62,0.12763136464109814,0.21724389745365108,2,0.0464836179049377,0.21633520896868688
inside,2008,728.6,11731,227.0,733.71,0.11881038117324369,0.9938751086327753,2,0.06210894211917143,0.9930353954559703
inside,2009,1412.563,10552,305.0,991.5,0.19955119519892517,1.4707264482876035,2,0.1338668498862775,1.4246727181038832
inside,2010,1156.574,12057,350.0,818.5,0.10918062067599595,1.4074172913403444,2,0.09592552044455503,1.4130409285277947
inside,2011,1287.568,12473,314.0,677.5,0.11105737306929389,1.9110671975399711,2,0.10322841337288544,1.900469372693727
inside,2012,1543.1,15430,405.0,565.0,0.1237008888365323,2.7152763151296324,2,0.10000648088139986,2.731150442477876
inside,2013,2118.1,15348,388.0,626.5,0.17397273539464264,3.3272580776970773,2,0.13800495178524888,3.380845969672785
inside,2014,1586.3,6760,196.0,655.0,0.3186927985863405,2.1919976515839728,2,0.23465976331360947,2.4218320610687023
inside,2015,2349.8999999999996,9156,245.0,775.0,0.3881002803486013,2.558011099176513,2,0.25665137614678896,3.032129032258064
inside,2016,3597.7999999999997,8406,232.0,676.0,0.6137772048293242,4.769605416423995,2,0.4280038068046633,5.322189349112426
inside,2017,3534.0,6690,215.0,570.0,0.7023782541439588,5.692912098964095,2,0.5282511210762332,6.2
inside,2018,2434.26,4974,220.0,669.0,0.6024293463073784,3.197478081058726,2,0.48939686369119423,3.6386547085201797
inside,2019,4463.841,13469,215.0,675.0,0.38054545551825497,6.02457595896521,2,0.33141591803400405,6.613097777777778
inside,2020,3686.58,10554,182.0,586.0,0.4086762412828088,6.238573392357875,2,0.3493064241046049,6.291092150170648
inside,2021,4436.42806,12372,204.0,637.9,0.4074060103555496,6.63418527534304,2,0.3585861671516327,6.9547390813607155
inside,2022,4444.21,11942,229.8,598.9000000000001,0.42344999392174426,7.084982450709445,2,0.3721495561882432,7.420621138754382
inside,2023,4293.18,11426,182.0,539.0999999999999,0.4492876732300546,8.05693012993671,2,0.3757377910029757,7.963606010016696
inside,2024,3290.5,8324,167.1,465.0,0.46528050635232854,7.41392694063927,2,0.39530273906775587,7.076344086021505
