mpa_exposure_class,year,production_ton,assisted_trips,fleet_monitored,estimated_fishermen,n_locals,cpue_ton_per_trip,richness,shannon_h,simpson_1d,pielou_j,total_production_div
inside,2012,1543.1,15430,405.0,565.0,2,0.10000648088139986,49,2.85931579200333,0.8809788292442894,0.7346988229110811,1543.1999999999998
inside,2013,2118.1,15348,388.0,626.5,2,0.13800495178524888,41,2.4160150545283274,0.7805367263656204,0.6505905934047144,2118.4
inside,2014,1586.3,6760,196.0,655.0,2,0.23465976331360947,39,1.5253091869925866,0.49101917006862905,0.4163459863174386,1586.3999999999996
inside,2015,2349.8999999999996,9156,245.0,775.0,2,0.25665137614678896,48,1.1085666786623771,0.34880123855678846,0.2863624687890829,2350.1
inside,2016,3597.7999999999997,8406,232.0,676.0,2,0.4280038068046633,42,1.4624606610028663,0.47001821177156267,0.39127606513133795,3598.3000000000006
inside,2017,3534.0,6690,215.0,570.0,2,0.5282511210762332,37,1.431709380387293,0.461325239367363,0.3964945797781574,3534.7000000000003
inside,2018,2434.26,4974,220.0,669.0,2,0.48939686369119423,46,1.0546684822913883,0.3846337139774869,0.2754680768114064,2432.8999999999996
inside,2019,4463.841,13469,215.0,675.0,2,0.33141591803400405,53,1.1519323850391703,0.35710480827577595,0.2901379571379085,4463.839999999999
inside,2020,3686.58,10554,182.0,586.0,2,0.3493064241046049,52,1.0184750841931918,0.3164520422042568,0.25776063354523826,3686.6000000000004
inside,2021,4436.42806,12372,204.0,637.9,2,0.3585861671516327,53,1.1109449789877146,0.3719986948590901,0.27981443258507904,4436.399999999999
inside,2022,4444.21,11942,229.8,598.9000000000001,2,0.3721495561882432,51,1.1622568084926346,0.38818201716290623,0.2956023275343768,4444.18
inside,2023,4293.18,11426,182.0,539.0999999999999,2,0.3757377910029757,54,1.0989884143880781,0.3566921908935965,0.2755058434827887,4293.209999999999
inside,2024,3290.5,8324,167.1,465.0,2,0.39530273906775587,52,1.0013170174161092,0.3277712969914296,0.2534181864579088,3290.86
