year,cpue_per_fisherman,shannon_h,richness,pielou_j,albacora_share,lagosta_share,linha_share,covo_share,fleet_monitored,estimated_fishermen,local
2001,0.6369930761622156,2.712443222257789,25,0.842667865999103,0.0028982506986854,0.1997722803022461,0.3543111479142946,0.2346547976399957,61.0,151.65,PORTO DO MANGUE
2002,0.38488072965388215,2.241419314521113,12,0.902013487996557,0.0,0.1426401336776545,0.4046172539489672,0.14277035236938018,66.0,171.04,PORTO DO MANGUE
2003,0.3033774442030417,2.2142328891768708,16,0.7986157021471784,0.0,0.1838506620360321,0.1516927083333333,0.1890190972222222,53.0,151.89,PORTO DO MANGUE
2004,0.5476713188019444,2.149627015118042,20,0.7175631260826353,0.0005727376861397,0.1503436426116838,0.1795275590551181,0.20901932712956317,50.0,127.54,PORTO DO MANGUE
2005,0.6404695309275987,2.8785469047572323,31,0.8382520764776145,0.0,0.0846159352852745,0.2798940283545754,0.1339682085063726,89.0,218.09,PORTO DO MANGUE
2006,0.8095057034220532,2.763508039802807,28,0.8293332631188068,0.0004697040864255,0.0334664161578205,0.3232738374823861,0.0674025364020666,44.0,105.2,PORTO DO MANGUE
2007,0.22375318256702112,3.054913326043919,31,0.8896111558173201,0.0040205494750949,0.0891221800312709,0.4412223957171536,0.1425384786973008,75.0,200.31,PORTO DO MANGUE
2008,0.942660981038968,1.8877115302136185,32,0.5446784126536207,0.0003698856199852,0.0761110794969555,0.1433854907539118,0.0339687055476528,119.0,372.87,PORTO DO MANGUE
2009,1.6279115549215408,2.304700957895476,37,0.6382590282169489,0.0037709819235354,0.0673453955229686,0.1328532924883367,0.0,152.0,350.5,PORTO DO MANGUE
2010,1.379091463414634,2.8978965125217235,38,0.7966537108057667,0.0348628477441946,0.0688635197990909,0.1769638392274854,0.0,163.0,328.0,PORTO DO MANGUE
2011,1.9870463121783875,2.9725115524791494,50,0.7598399979638737,0.0001726450779751,0.104286259350889,0.1348135947874908,5.179361281166807e-06,147.0,291.5,PORTO DO MANGUE
2012,2.0253623188405796,2.9413136439810588,46,0.768239523993622,0.0012529085376767,0.0853767674959728,0.092274678111588,0.0,209.0,276.0,PORTO DO MANGUE
2013,2.226510067114094,2.964969565755223,41,0.7984144410011548,0.0001506931886678,0.0815250150693188,0.054367469879518,0.0,190.0,298.0,PORTO DO MANGUE
2014,0.9680827067669172,3.0226234955732254,36,0.843479146471447,0.0,0.1145631067961165,0.0629126213592232,0.0,95.0,266.0,PORTO DO MANGUE
2015,0.7656140350877193,3.134942176994683,44,0.8284315745954496,0.0004582951420714,0.1003666361136571,0.120752984389348,0.0303030303030302,126.0,285.0,PORTO DO MANGUE
2016,1.9397058823529412,3.1338856634049588,42,0.8384597846944764,0.0005680742283658,0.0937322476803635,0.0811577752553916,0.0088914112750661,122.0,272.0,PORTO DO MANGUE
2017,2.168032786885246,3.0692807988246025,36,0.8564991148468558,0.0982986767485822,0.0436672967863894,0.0719682659614658,0.012089157536834101,116.0,244.0,PORTO DO MANGUE
2018,0.538494623655914,3.0854795353773534,42,0.8255089000601524,0.0,0.0609103078982597,0.0811170212765957,0.0,111.0,279.0,PORTO DO MANGUE
2019,1.3510203389830509,3.1897290590520817,49,0.8195982380277448,0.0001505495056957,0.0677221859788227,0.0807827395885599,0.0050175614651279,111.0,295.0,PORTO DO MANGUE
2020,1.1092413793103448,3.064605356750042,48,0.7916420119014481,0.0003419441076813,0.0945320028598961,0.101025800435188,0.0003108486167236,101.0,290.0,PORTO DO MANGUE
2021,1.1813513324450367,3.0599834697098687,52,0.7744355164222726,0.000479359350327,0.109293931874577,0.1175641387087679,0.0025373555117,111.0,300.2,PORTO DO MANGUE
2022,2.332878189004671,2.565723182182753,48,0.6627718826672419,0.3712169051396183,0.0488240639487424,0.4323117203141845,0.0,117.9,278.3,PORTO DO MANGUE
2023,1.9953598830836683,2.6334083567103836,49,0.6766520946480576,0.2755703665726737,0.1808144431830666,0.3120879120879121,0.0,101.0,273.7,PORTO DO MANGUE
2024,1.6,2.7153547138231104,51,0.6906091387225802,0.2473391419208982,0.1021159854700637,0.4104325699745547,0.0,106.0,246.0,PORTO DO MANGUE
