municipality,year,production_ton,assisted_trips,fleet_monitored,estimated_fishermen,n_locals,cpue_ton_per_trip,richness,shannon_h,simpson_1d,pielou_j,total_production_div
Macau,2017,1533.0,9162,208.0,481.0,1,0.1673215455140799,37,2.6721541601979566,0.8984469914283114,0.7400207439889365,1532.5999999999997
Macau,2018,595.3,8221,213.0,558.0,1,0.07241211531443863,46,2.57694217787822,0.864842954230184,0.6730696116490051,594.5999999999999
Macau,2019,1643.916,23069,231.0,661.0,1,0.07126082621700117,53,2.708129833187343,0.8735995264451172,0.6820984179887283,1643.8899999999999
Macau,2020,1370.75,18086,220.0,597.0,1,0.07579066681411036,52,2.6994703242654885,0.8762050286114735,0.6831950941347273,1370.7499999999998
Macau,2021,1308.62037,18623,211.0,615.1,1,0.07026904204478333,53,2.7923505854262762,0.9081098843994513,0.7033111534935045,1308.61
Macau,2022,1358.49,18228,284.0,684.1,1,0.07452764976958526,51,2.786256161474728,0.901122840902726,0.7086418426811458,1358.4099999999999
Macau,2023,1359.32,18509,220.0,639.8,1,0.07344102868874601,53,2.8060992991297558,0.8937410931266414,0.7067740509335013,1359.35
Macau,2024,997.1,15049,210.1,529.0,1,0.06625689414579042,49,2.8596896832507896,0.9142616015251185,0.7347948939572292,997.22
Porto do Mangue,2001,96.6,4841,61.0,151.65,1,0.019954554844040486,25,2.712443222257789,0.9129988978080348,0.842667865999103,96.61000000000001
Porto do Mangue,2002,65.83,3021,66.0,171.04,1,0.021790797749089704,12,2.241419314521113,0.8804748876848932,0.902013487996557,65.83
Porto do Mangue,2003,46.08,1833,53.0,151.89,1,0.02513911620294599,16,2.2142328891768708,0.8687387832777189,0.7986157021471784,46.06999999999999
Porto do Mangue,2004,69.85,2616,50.0,127.54,1,0.026701070336391436,20,2.149627015118042,0.8022400489287247,0.7175631260826353,69.84
Porto do Mangue,2005,139.68,4660,89.0,218.09,1,0.02997424892703863,31,2.8785469047572323,0.9211874871308903,0.8382520764776145,139.69000000000003
Porto do Mangue,2006,85.16,2664,44.0,105.2,1,0.031966966966966964,28,2.763508039802807,0.9179969249715563,0.8293332631188068,85.16
Porto do Mangue,2007,44.82,1926,75.0,200.31,1,0.02327102803738318,31,3.054913326043919,0.9438585390826136,0.8896111558173201,44.769999999999996
Porto do Mangue,2008,351.49,9864,119.0,372.87,1,0.035633617193836176,32,1.8877115302136183,0.645465783626687,0.5446784126536207,351.46000000000004
Porto do Mangue,2009,570.5830000000001,7982,152.0,350.5,1,0.07148371335504887,37,2.3047009578954762,0.795973357407425,0.6382590282169489,570.7531999999999
