platform_exposure_class,year,species,sp_production_ton,total_production_ton,species_share
20-50 km,2016,Garoupa,2.7,5584.8,0.00048345509239363987
20-50 km,2016,Marisco,1.2,5584.8,0.0002148689299527288
20-50 km,2016,Siri,1.1,5584.8,0.00019696318579000144
20-50 km,2015,Albacora,1917.6,3251.7,0.5897222991050834
20-50 km,2015,Peixe Voador,165.2,3251.7,0.05080419472891103
20-50 km,2015,Lagosta,138.3,3251.7,0.04253159885598303
20-50 km,2015,Dourado,87.0,3251.7,0.026755235722852662
20-50 km,2015,Garajuba,83.9,3251.7,0.02580188824307286
20-50 km,2015,Bonito,70.3,3251.7,0.02161946058984531
20-50 km,2015,Serra,70.10000000000001,3251.7,0.021557954300827263
20-50 km,2015,Agulha,69.8,3251.7,0.021465694867300184
20-50 km,2015,Guaiuba,57.9,3251.7,0.017806070670726083
20-50 km,2015,Caico,55.1,3251.7,0.016944982624473352
20-50 km,2015,Ariaco,54.9,3251.7,0.0168834763354553
20-50 km,2015,Tainha,54.6,3251.7,0.016791216901928224
20-50 km,2015,Ova Voador,46.6,3251.7,0.014330965341206139
20-50 km,2015,Cioba,39.9,3251.7,0.012270504659101393
20-50 km,2015,Outros,38.5,3251.7,0.01183996063597503
20-50 km,2015,Bagre,26.3,3251.7,0.00808807700587385
20-50 km,2015,Arraia,23.1,3251.7,0.007103976381585018
20-50 km,2015,Biquara,21.5,3251.7,0.006611926069440601
20-50 km,2015,Pescada,21.099999999999998,3251.7,0.006488913491404496
20-50 km,2015,Sirigado,19.5,3251.7,0.00599686317926008
20-50 km,2015,Cavala,18.5,3251.7,0.005689331734169819
20-50 km,2015,Carapeba,13.8,3251.7,0.004243933942245595
20-50 km,2015,Sardinha,13.0,3251.7,0.0039979087861733865
20-50 km,2015,Caçao,12.6,3251.7,0.0038748962081372822
20-50 km,2015,Cururuca,11.5,3251.7,0.003536611618537996
20-50 km,2015,Paru,11.1,3251.7,0.0034135990405018916
20-50 km,2015,Camurim,11.0,3251.7,0.0033828458959928656
20-50 km,2015,Arabaiana,10.6,3251.7,0.0032598333179567614
20-50 km,2015,Polvo,10.6,3251.7,0.0032598333179567614
20-50 km,2015,Pargo,10.5,3251.7,0.0032290801734477354
20-50 km,2015,Camarao,9.4,3251.7,0.0028907955838484486
20-50 km,2015,Caranguejo,9.1,3251.7,0.0027985361503213703
20-50 km,2015,Agulhao,6.6,3251.7,0.002029707537595719
20-50 km,2015,Ubarana,6.199999999999999,3251.7,0.001906694959559615
20-50 km,2015,Camurupim,4.9,3251.7,0.0015069040809422766
20-50 km,2015,Buzios,4.4,3251.7,0.0013531383583971462
20-50 km,2015,Espada,4.4,3251.7,0.0013531383583971462
20-50 km,2015,Peixe Galo,4.2,3251.7,0.001291632069379094
20-50 km,2015,Dentao,3.8,3251.7,0.0011686194913429898
20-50 km,2015,Bicuda,3.4,3251.7,0.0010456069133068856
20-50 km,2015,Salema,3.3,3251.7,0.0010148537687978596
20-50 km,2015,Beijupira,1.7999999999999998,3251.7,0.0005535566011624688
20-50 km,2015,Xareu,1.6,3251.7,0.0004920503121444168
20-50 km,2015,Tilapia,1.3,3251.7,0.0003997908786173387
20-50 km,2015,Cangulo,0.7,3251.7,0.00021527201156318235
20-50 km,2015,Marisco,0.6,3251.7,0.00018451886705415628
20-50 km,2015,Siri,0.6,3251.7,0.00018451886705415628
20-50 km,2015,Garoupa,0.5,3251.7,0.00015376572254513024
20-50 km,2015,Budiao,0.30000000000000004,3251.7,9.225943352707817e-05
20-50 km,2015,Carauna,0.1,3251.7,3.075314450902605e-05
20-50 km,2015,Pirauna,0.1,3251.7,3.075314450902605e-05
20-50 km,2015,Garabebeu,0.0,3251.7,0.0
20-50 km,2015,Saramunete,0.0,3251.7,0.0
20-50 km,2014,Albacora,1174.6000000000001,2809.7000000000003,0.418051749297078
20-50 km,2014,Peixe Voador,446.0,2809.7000000000003,0.15873580809339075
20-50 km,2014,Outros,220.5,2809.7000000000003,0.0784781293376517
20-50 km,2014,Lagosta,110.8,2809.7000000000003,0.03943481510481545
20-50 km,2014,Serra,78.6,2809.7000000000003,0.027974516852332983
20-50 km,2014,Dourado,72.5,2809.7000000000003,0.025803466562266432
20-50 km,2014,Bonito,58.900000000000006,2809.7000000000003,0.02096309214506887
20-50 km,2014,Tainha,58.4,2809.7000000000003,0.020785137203260133
20-50 km,2014,Caico,54.4,2809.7000000000003,0.01936149766879026
20-50 km,2014,Agulha,54.300000000000004,2809.7000000000003,0.019325906680428516
20-50 km,2014,Ariaco,42.5,2809.7000000000003,0.01512617005374239
20-50 km,2014,Cururuca,36.3,2809.7000000000003,0.012919528775314089
20-50 km,2014,Garajuba,34.9,2809.7000000000003,0.012421254938249634
20-50 km,2014,Cioba,34.7,2809.7000000000003,0.012350072961526142
20-50 km,2014,Pescada,32.3,2809.7000000000003,0.011495889240844217
20-50 km,2014,Bagre,32.0,2809.7000000000003,0.011389116275758976
