term,x,effect,ci_lo,ci_hi
active_dm,0.35567262080866285,0.24833920542742874,0.0021580002132883525,0.49452041064156915
active_dm,0.36029254039523856,0.261289440424841,0.01606334490548819,0.5065155359441937
active_dm,0.36491245998181426,0.2743619463864603,0.029934043395965615,0.5187898493769549
active_dm,0.36953237956838997,0.28755479956738683,0.04375951982881088,0.5313500793059628
active_dm,0.3741522991549657,0.30086607622271955,0.057529489424279656,0.5442026630211594
active_dm,0.37877221874154127,0.3142938526075578,0.07123402560748177,0.5573536796076339
active_dm,0.38339213832811697,0.3278362049770018,0.0848636267628815,0.570808783191122
active_dm,0.3880120579146927,0.34149120958615037,0.09840928113551015,0.5845731380367906
active_dm,0.3926319775012684,0.35525694269010333,0.11186252832994648,0.5986513570502602
active_dm,0.3972518970878441,0.36913148054395994,0.12521551585191493,0.613047445236005
active_dm,0.4018718166744198,0.38311289940281956,0.13846104920155794,0.6277647496040812
active_dm,0.4064917362609955,0.3971992755217823,0.15159263416408977,0.6428059168794749
active_dm,0.4111116558475712,0.411388685155947,0.1646045101493222,0.6581728601625718
active_dm,0.4157315754341469,0.4256792045604135,0.17749167369766358,0.6738667354231634
active_dm,0.4203514950207226,0.4400689099902811,0.19024989158272748,0.6898879283978347
active_dm,0.4249714146072983,0.45455587770064937,0.20287570328189425,0.7062360521194044
active_dm,0.429591334193874,0.4691381839466177,0.21536641293582032,0.7229099549574152
active_dm,0.4342112537804497,0.4838139049832858,0.22772007125531646,0.7399077387112551
active_dm,0.4388311733670253,0.49858111706575214,0.23993544813990125,0.7572267859916031
active_dm,0.443451092953601,0.5134378964491179,0.2520119970304741,0.7748637958677616
active_dm,0.4480710125401767,0.5283823193884816,0.2639498122171028,0.7928148265598604
active_dm,0.45269093212675243,0.5434124621389428,0.2757495804551934,0.8110753438226922
active_dm,0.45731085171332814,0.5585264009556009,0.28741252830777025,0.8296402736034316
active_dm,0.46193077129990384,0.5737222120935558,0.2989403666316242,0.8485040575554874
active_dm,0.46655069088647955,0.5889979718079065,0.3103352335679414,0.8676607100478715
active_dm,0.47117061047305525,0.6043517563537527,0.32159963729381846,0.887103875413687
active_dm,0.47579053005963096,0.6197816419861938,0.33273639965149227,0.9068268843208953
active_dm,0.48041044964620666,0.6352857049603294,0.3437486016092839,0.926822808311375
active_dm,0.48503036923278237,0.6508620215312586,0.354639531333691,0.9470845117288262
active_dm,0.48965028881935807,0.6665086679540815,0.3654126354759754,0.9676047004321875
active_dm,0.4942702084059338,0.6822237204838972,0.37607147410735076,0.9883759668604437
active_dm,0.49889012799250937,0.6980052553758052,0.38661967958086596,1.0093908311707445
motorised_dm,-0.5178754253055498,-0.16233714154112538,-0.44861929011645774,0.12394500703420697
motorised_dm,-0.5134627618933232,-0.1563737089324038,-0.43676659621651803,0.12401917835171042
motorised_dm,-0.5090500984810966,-0.15047285443368544,-0.42514504648005613,0.12419933761268528
motorised_dm,-0.50463743506887,-0.1446349204810211,-0.4137623590406914,0.1244925180786492
motorised_dm,-0.5002247716566435,-0.13886024951046155,-0.40262641716939496,0.12490591814847185
motorised_dm,-0.49581210824441696,-0.13314918395805764,-0.3917452339233319,0.1254468660072166
motorised_dm,-0.4913994448321904,-0.1275020662598601,-0.381126908750056,0.1261227762303358
motorised_dm,-0.4869867814199638,-0.12191923885191987,-0.3707795754072283,0.12694109770338857
motorised_dm,-0.48257411800773725,-0.11640104417028754,-0.36071134072161326,0.1279092523810382
motorised_dm,-0.4781614545955107,-0.1109478246510141,-0.3509302139458268,0.1290345646437986
motorised_dm,-0.47374879118328417,-0.1055599227301504,-0.34144402678335223,0.1303241813230514
motorised_dm,-0.4693361277710576,-0.10023768084374698,-0.33226034454303904,0.13178498285554507
motorised_dm,-0.46492346435883103,-0.09498144142785488,-0.3233863693479909,0.13342348649228114
motorised_dm,-0.46051080094660446,-0.08979154691852481,-0.31482883684594976,0.1352457430089001
motorised_dm,-0.4560981375343779,-0.08466833975180757,-0.3065939084242675,0.1372572289206523
motorised_dm,-0.4516854741221513,-0.079612162363754,-0.2986870614869555,0.13946273675944754
motorised_dm,-0.44727281070992475,-0.07462335719041496,-0.2911129808592866,0.14186626647845668
motorised_dm,-0.44286014729769824,-0.06970226666784118,-0.2838754547956248,0.14447092145994242
motorised_dm,-0.43844748388547167,-0.06484923323208343,-0.27697727932557376,0.14727881286140693
motorised_dm,-0.4340348204732451,-0.060064599319192544,-0.2704201747340911,0.15029097609570596
motorised_dm,-0.42962215706101853,-0.05534870736521937,-0.2642047177971745,0.15350730306673577
motorised_dm,-0.42520949364879196,-0.05070189980621464,-0.25833029296975035,0.1569264933573211
motorised_dm,-0.42079683023656544,-0.046124519078229294,-0.25279506505488897,0.16054602689843037
motorised_dm,-0.4163841668243389,-0.041616907617313965,-0.2475959750087878,0.16436215977415988
motorised_dm,-0.4119715034121123,-0.03717940785951957,-0.24272875951455467,0.16836994379551554
motorised_dm,-0.40755883999988574,-0.03281236224089684,-0.2381879938692123,0.17256326938741862
motorised_dm,-0.40314617658765917,-0.02851611319749667,-0.23396715666172996,0.17693493026673662
motorised_dm,-0.3987335131754326,-0.02429100316536977,-0.23005871376269876,0.1814767074319592
motorised_dm,-0.394320849763206,-0.020137374580567,-0.2264542183731911,0.1861794692120571
motorised_dm,-0.38990818635097946,-0.01605556987913917,-0.2231444233442145,0.19103328358593616
motorised_dm,-0.3854955229387529,-0.012045931497137029,-0.22011940170486172,0.19602753871058765
motorised_dm,-0.3810828595265264,-0.008108801870611517,-0.21736867132471632,0.20115106758349327
motorised_dm,-0.3766701961142998,-0.004244523435613274,-0.2148813198575865,0.20639227298635995
motorised_dm,-0.37225753270207323,-0.0004534386281931769,-0.21264612652406423,0.2117392492676779
motorised_dm,-0.3678448692898467,0.003264110115597908,-0.2106516778340101,0.2171798980652059
motorised_dm,-0.36343220587762015,0.006907780359709331,-0.20888647496841878,0.22270203568783742
motorised_dm,-0.3590195424653936,0.010477229668090159,-0.2073390311788089,0.22829349051498923
motorised_dm,-0.354606879053167,0.013972115604689646,-0.20599795817572583,0.2339421893851051
motorised_dm,-0.35019421564094044,0.017392095733456955,-0.20485204103203475,0.23963623249894866
motorised_dm,-0.3457815522287139,0.02073682761834129,-0.20389030159941673,0.2453639568360993
motorised_dm,-0.3413688888164873,0.02400596882329187,-0.20310205081709232,0.25111398846367605
motorised_dm,-0.33695622540426073,0.027199176912257844,-0.2024769305788477,0.2568752844033634
motorised_dm,-0.33254356199203416,0.030316109449188434,-0.20200494602346822,0.2626371649218451
motorised_dm,-0.3281308985798076,0.03335642399803286,-0.20167648923483372,0.2683893372308994
motorised_dm,-0.3237182351675811,0.036319778122740246,-0.2014823553938005,0.274121911639281
motorised_dm,-0.3193055717553545,0.03920582938725985,-0.20141375242797,0.2798254112024897
motorised_dm,-0.31489290834312794,0.042014235355540885,-0.20146230517039548,0.28549077588147725
motorised_dm,-0.31048024493090143,0.04474465359153245,-0.20162005497583635,0.29110936215890126
motorised_dm,-0.30606758151867486,0.04739674165918384,-0.20187945566322194,0.29667293898158964
motorised_dm,-0.3016549181064483,0.04997015712244421,-0.20223336656357468,0.3021736808084631
motorised_dm,-0.2972422546942217,0.05246455754526276,-0.2026750433600064,0.3076041584505319
motorised_dm,-0.29282959128199515,0.05487960049158873,-0.20319812731512615,0.31295732829830364
motorised_dm,-0.2884169278697686,0.05721494352537118,-0.2037966333944826,0.3182265204452249
motorised_dm,-0.284004264457542,0.05947024421055945,-0.20446493771455904,0.32340542613567796
motorised_dm,-0.27959160104531544,0.06164516011110269,-0.20519776467147613,0.32848808489368153
motorised_dm,-0.27517893763308887,0.06373934879095004,-0.20599017404242975,0.33346887162432987
motorised_dm,-0.27076627422086236,0.06575246781405072,-0.20683754829596193,0.3383424839240634
motorised_dm,-0.2663536108086358,0.06768417474435401,-0.20773558029909628,0.3431039297878043
motorised_dm,-0.2619409473964092,0.06953412714580902,-0.20868026156859987,0.34774851586021793
motorised_dm,-0.25752828398418265,0.07130198258236498,-0.2096678711794892,0.35227183634421916
motorised_dm,-0.2531156205719561,0.07298739861797106,-0.21069496541565397,0.35666976265159606
motorised_dm,-0.24870295715972957,0.07459003281657642,-0.21175836822439312,0.360938433857546
motorised_dm,-0.244290293747503,0.07610954274213037,-0.21285516251805464,0.3650742480023154
motorised_dm,-0.23987763033527643,0.07754558595858202,-0.2139826823511794,0.36907385426834344
motorised_dm,-0.23546496692304986,0.07889782002988056,-0.21513850598999318,0.3729341460497543
motorised_dm,-0.2310523035108233,0.0801659025199752,-0.21632044988222066,0.376652254922171
motorised_dm,-0.22663964009859672,0.08134949099281517,-0.2175265635285621,0.38022554551419246
motorised_dm,-0.22222697668637015,0.08244835583211028,-0.21875511153142851,0.3836518231956491
motorised_dm,-0.21781431327414363,0.08346357895128752,-0.22000441459040693,0.386931572492982
motorised_dm,-0.21340164986191706,0.08439708841197871,-0.22127286532473953,0.3900670421486969
motorised_dm,-0.2089889864496905,0.0852508263782856,-0.2225589996580524,0.3930606524146236
motorised_dm,-0.20457632303746393,0.08602673501431,-0.2238614777487482,0.39591494777736824
motorised_dm,-0.20016365962523736,0.08672675648415372,-0.22517906502386592,0.3986325779921734
motorised_dm,-0.19575099621301079,0.08735283295191858,-0.22651061479647916,0.40121628070031634
motorised_dm,-0.19133833280078427,0.08790690658170634,-0.22785505231552594,0.40366886547893865
motorised_dm,-0.1869256693885577,0.08839091953761886,-0.22921136011375082,0.4059931991889885
motorised_dm,-0.18251300597633113,0.08880681398375796,-0.23057856453458553,0.4081921925021014
motorised_dm,-0.17810034256410456,0.08915653208422535,-0.23195572333241682,0.41026878750086754
motorised_dm,-0.173687679151878,0.08944201600312296,-0.2333419142528944,0.41222594625914033
motorised_dm,-0.16927501573965142,0.08966520790455246,-0.2347362245108502,0.4140666403199551
motorised_dm,-0.16486235232742485,0.0898280499526158,-0.23613774109313845,0.41579384099837
motorised_dm,-0.16044968891519834,0.08993248431141465,-0.2375455418223701,0.4174105104451994
motorised_dm,-0.15603702550297177,0.08998045314505089,-0.23895868712521845,0.4189195934153202
motorised_dm,-0.1516243620907452,0.08997389861762634,-0.240376212455791,0.42032400969104367
motorised_dm,-0.14721169867851863,0.08991476289324274,-0.24179712133060438,0.42162664711708986
motorised_dm,-0.14279903526629206,0.08980498813600198,-0.24322037893702203,0.42283035520902595
motorised_dm,-0.1383863718540655,0.08964651651000578,-0.24464490628170454,0.4239379393017161
motorised_dm,-0.13397370844183898,0.089441290179356,-0.24606957484974273,0.4249521552084547
motorised_dm,-0.1295610450296124,0.08919125130815443,-0.24749320174874917,0.425875704365058
motorised_dm,-0.12514838161738584,0.08889834206050286,-0.2489145453153327,0.4267112294363384
motorised_dm,-0.12073571820515927,0.08856450460050312,-0.25033230116412597,0.42746131036513224
motorised_dm,-0.1163230547929327,0.088191681092257,-0.2517450986619102,0.4281284608464242
motorised_dm,-0.11191039138070613,0.08778181369986632,-0.2531514978114463,0.42871512521117894
motorised_dm,-0.10749772796847962,0.08733684458743286,-0.2545499865313924,0.4292236757062581
motorised_dm,-0.10308506455625305,0.08685871591905849,-0.25593897832021856,0.4296564101583355
motorised_dm,-0.09867240114402648,0.08634936985884492,-0.2573168102933413,0.4300155500110312
motorised_dm,-0.09425973773179991,0.08581074857089402,-0.25868174158382906,0.43030323872561715
motorised_dm,-0.08984707431957334,0.08524479421930758,-0.2600319520979988,0.43052154053661396
motorised_dm,-0.08543441090734677,0.08465344896818744,-0.2613655416180673,0.4306724395544422
motorised_dm,-0.0810217474951202,0.08403865498163529,-0.26268052924475027,0.4307578392080209
motorised_dm,-0.07660908408289369,0.08340235442375307,-0.26397485317335956,0.43077956202086576
motorised_dm,-0.07219642067066712,0.0827464894586425,-0.2652463707975305,0.4307393497148155
motorised_dm,-0.06778375725844055,0.08207300225040545,-0.2664928591352723,0.4306388636360833
motorised_dm,-0.06337109384621398,0.08138383496314366,-0.2677120155725537,0.430479685498841
motorised_dm,-0.05895843043398741,0.08068092976095899,-0.26890145892016815,0.4302633184420861
motorised_dm,-0.05454576702176084,0.07996622880795322,-0.27005873078016585,0.4299911883960723
motorised_dm,-0.050133103609534324,0.07924167426822815,-0.2711812972187126,0.4296646457551689
motorised_dm,-0.045720440197307755,0.0785092083058856,-0.27226655074285994,0.4292849673546311
motorised_dm,-0.041307776785081185,0.07777077308502736,-0.2733118125794013,0.42885335874945596
motorised_dm,-0.036895113372854615,0.07702831076975526,-0.27431433525475263,0.4283709567942631
motorised_dm,-0.032482449960628046,0.07628376352417106,-0.275271305475661,0.42783883252400307
motorised_dm,-0.028069786548401476,0.07553907351237663,-0.27617984731151257,0.42725799433626577
motorised_dm,-0.023657123136174962,0.07479618289847371,-0.27703702568010685,0.4266293914770543
motorised_dm,-0.019244459723948393,0.07405703384656415,-0.27783985013999346,0.42595391783312175
motorised_dm,-0.014831796311721823,0.07332356852074973,-0.2785852789938519,0.42523241603535133
motorised_dm,-0.010419132899495254,0.07259772908513226,-0.2792702237089454,0.42446568187920997
motorised_dm,-0.006006469487268684,0.07188145770381357,-0.27989155366241425,0.42365446907004134
