metric,group,year_c,year,pred,ci_lo,ci_hi
richness,outside,5.121212121212121,2019.121212121212,36.60472470412789,33.48791828576253,39.721531122493246
richness,outside,5.353535353535353,2019.3535353535353,37.0361381580308,33.87881319075686,40.193463125304746
richness,outside,5.585858585858585,2019.5858585858587,37.46000439367772,34.2599260700896,40.66008271726584
richness,outside,5.818181818181817,2019.8181818181818,37.871705056612385,34.62916619320207,41.114243920022695
richness,outside,6.050505050505052,2020.050505050505,38.26662179237856,34.984448224347496,41.54879536040961
richness,outside,6.282828282828284,2020.2828282828282,38.64013624651996,35.32354166610045,41.956730826939456
richness,outside,6.515151515151516,2020.5151515151515,38.987630064580344,35.64392184000637,42.33133828915431
richness,outside,6.747474747474747,2020.7474747474748,39.304484892103474,35.94261333397806,42.66635645022889
richness,outside,6.979797979797979,2020.979797979798,39.58608237463308,36.21601264335807,42.956152105908096
richness,outside,7.212121212121211,2021.2121212121212,39.82780415771292,36.459673614625856,43.195934700799995
richness,outside,7.444444444444443,2021.4444444444443,40.02503188688674,36.66803777382594,43.382025999947544
richness,outside,7.676767676767678,2021.6767676767677,40.17314720769828,36.8340938502638,43.51220056513276
richness,outside,7.90909090909091,2021.909090909091,40.26753176569129,36.94896209658725,43.58610143479532
richness,outside,8.141414141414142,2022.141414141414,40.30356720640951,37.00142932138507,43.60570509143396
richness,outside,8.373737373737374,2022.3737373737374,40.2766351753967,36.97752331346119,43.575747037332206
richness,outside,8.606060606060606,2022.6060606060605,40.182117318196596,36.86031571311479,43.50391892327842
richness,outside,8.838383838383837,2022.8383838383838,40.015395280352955,36.630244386244655,43.40054617446126
richness,outside,9.07070707070707,2023.0707070707072,39.77185070740951,36.26623192990083,43.27746948491819
richness,outside,9.303030303030305,2023.3030303030303,39.44686524491002,35.747586873251436,43.14614361656861
richness,outside,9.535353535353536,2023.5353535353536,39.03582053839822,35.056139532718554,43.015501544077885
richness,outside,9.767676767676768,2023.7676767676767,38.53409823341787,34.177716171600046,42.890480295235704
richness,outside,10.0,2024.0,37.93707997551271,33.1023586906526,42.77180126037283
shannon_h,inside,-13.0,2001.0,1.5697571799525676,1.1552764151134296,1.9842379447917053
shannon_h,inside,-12.767676767676768,2001.2323232323233,1.6011890078924338,1.200275574396089,2.0021024413887787
shannon_h,inside,-12.535353535353535,2001.4646464646464,1.632488251913343,1.244650780706901,2.0203257231197846
shannon_h,inside,-12.303030303030303,2001.6969696969697,1.6636229067058117,1.2883469306367479,2.0388988827748755
shannon_h,inside,-12.070707070707071,2001.9292929292928,1.6945609669603574,1.3313088705293084,2.0578130633914067
shannon_h,inside,-11.83838383838384,2002.1616161616162,1.7252704273674977,1.3734817431139017,2.0770591116210935
shannon_h,inside,-11.606060606060606,2002.3939393939395,1.75571928261775,1.4148114072860487,2.096627157949451
shannon_h,inside,-11.373737373737374,2002.6262626262626,1.7858755274016307,1.4552449337481068,2.116506121055155
shannon_h,inside,-11.141414141414142,2002.858585858586,1.8157071564096583,1.4947311744482394,2.1366831383710774
shannon_h,inside,-10.90909090909091,2003.090909090909,1.8451821643323492,1.5332213972636062,2.157142931401093
shannon_h,inside,-10.676767676767676,2003.3232323232323,1.8742685458602217,1.5706699693329604,2.177867122387483
shannon_h,inside,-10.444444444444445,2003.5555555555557,1.9029342956837922,1.6070350634045625,2.198833527963022
shannon_h,inside,-10.212121212121211,2003.7878787878788,1.9311474084935787,1.6422793525249784,2.220015464462179
shannon_h,inside,-9.97979797979798,2004.020202020202,1.9588758789800977,1.6763706507689733,2.241381107191222
shannon_h,inside,-9.747474747474747,2004.2525252525252,1.986087701833867,1.7092824531612767,2.262892950506458
shannon_h,inside,-9.515151515151516,2004.4848484848485,2.0127508717454043,1.7409943280439555,2.284507415446853
shannon_h,inside,-9.282828282828284,2004.7171717171718,2.0388333834052266,1.7714921209547534,2.3061746458557
shannon_h,inside,-9.05050505050505,2004.949494949495,2.064303231503851,1.800767940717729,2.3278385222899733
shannon_h,inside,-8.818181818181818,2005.1818181818182,2.0891284107317953,1.8288199148392223,2.3494369066243688
shannon_h,inside,-8.585858585858585,2005.4141414141413,2.113276915779576,1.8556517202672793,2.370902111291873
shannon_h,inside,-8.353535353535353,2005.6464646464647,2.1367167413377115,1.8812719142354186,2.3921615684400046
shannon_h,inside,-8.121212121212121,2005.878787878788,2.1594158820967184,1.9056931053683643,2.4131386588250723
shannon_h,inside,-7.888888888888889,2006.111111111111,2.181342332747114,1.928931015240712,2.4337536502535166
shannon_h,inside,-7.656565656565657,2006.3434343434344,2.202464087979416,1.9510034840663575,2.453924691892475
shannon_h,inside,-7.424242424242424,2006.5757575757575,2.2227491424841417,1.9719294713622368,2.4735688136060463
shannon_h,inside,-7.191919191919192,2006.8080808080808,2.2421654909518085,1.99172809454501,2.4926028873586064
shannon_h,inside,-6.959595959595959,2007.040404040404,2.260681128072933,2.010417737364754,2.5109445187811117
shannon_h,inside,-6.7272727272727275,2007.2727272727273,2.2782640485380328,2.028015247840148,2.528512849235918
shannon_h,inside,-6.494949494949495,2007.5050505050506,2.2948822470376258,2.044535233618835,2.5452292604564164
shannon_h,inside,-6.262626262626263,2007.7373737373737,2.310503718262229,2.05998945260384,2.561017983920619
shannon_h,inside,-6.03030303030303,2007.969696969697,2.3250964569023593,2.0743862888535447,2.575806624951174
shannon_h,inside,-5.7979797979797985,2008.20202020202,2.338628457648535,2.0877302982900146,2.589526617007055
shannon_h,inside,-5.565656565656566,2008.4343434343434,2.351067715191272,2.1000218054198956,2.6021136249626493
shannon_h,inside,-5.333333333333333,2008.6666666666667,2.3623822242210895,2.1112565306949604,2.613507917747219
shannon_h,inside,-5.101010101010101,2008.8989898989898,2.372550983489747,2.1214330503872554,2.6236689165922384
shannon_h,inside,-4.8686868686868685,2009.1313131313132,2.3815970079939826,2.1305762100992887,2.6326178058886764
shannon_h,inside,-4.636363636363637,2009.3636363636363,2.3895543167917768,2.1387143918072304,2.6403942417763226
