local,year,fleet_monitored,assisted_trips,estimated_fishermen,production_ton,fishermen_per_vessel,cpue_ton_per_trip,cpue_per_fisherman
CAICARA DO NORTE,2002,208.0,5495,697.0,305.65,3.3509615384615383,0.05562329390354868,0.43852223816355806
CAICARA DO NORTE,2003,200.0,5482,684.23,332.59,3.42115,0.06066946369937978,0.4860792423600251
CAICARA DO NORTE,2004,200.0,6107,666.13,421.24,3.33065,0.06897658424758474,0.6323690570909583
CAICARA DO NORTE,2005,217.0,4930,699.5,335.3,3.2235023041474653,0.06801217038539555,0.47934238741958546
CAICARA DO NORTE,2006,196.0,4786,666.79,364.5,3.401989795918367,0.07615963226076056,0.5466488699590576
CAICARA DO NORTE,2007,208.0,5534,654.75,509.34,3.1478365384615383,0.09203830863751354,0.7779152348224513
CAICARA DO NORTE,2008,199.0,5402,634.87,429.4,3.1903015075376886,0.0794890781192151,0.6763589396254351
CAICARA DO NORTE,2009,130.0,5082,854.5,1485.851,6.573076923076923,0.2923752459661551,1.738854300760679
CAICARA DO NORTE,2010,145.0,5675,797.5,1346.424,5.5,0.23725533039647576,1.6883059561128526
CAICARA DO NORTE,2011,217.0,10818,685.0,1257.689,3.1566820276497696,0.11625892031798854,1.8360423357664235
CAICARA DO NORTE,2012,406.0,14516,571.0,1450.1,1.4064039408866995,0.09989666574813998,2.5395796847635723
CAICARA DO NORTE,2013,356.0,14222,566.0,1634.4,1.5898876404494382,0.11492054563352554,2.8876325088339225
CAICARA DO NORTE,2014,178.0,6908,557.0,1081.2,3.1292134831460676,0.1565141864504922,1.941113105924596
CAICARA DO NORTE,2015,181.0,7474,604.0,760.9,3.3370165745856353,0.10180626170725181,1.2597682119205298
CAICARA DO NORTE,2016,177.0,6376,561.0,1672.6,3.169491525423729,0.26232747804265993,2.9814616755793226
CAICARA DO NORTE,2017,190.0,5230,494.0,1750.0,2.6,0.33460803059273425,3.54251012145749
CAICARA DO NORTE,2018,200.0,4084,554.0,424.39,2.77,0.10391527913809989,0.7660469314079422
CAICARA DO NORTE,2019,150.0,12633,561.0,1122.63,3.74,0.08886487770125862,2.0011229946524067
CAICARA DO NORTE,2020,154.0,8105,534.0,999.21,3.4675324675324677,0.12328315854410858,1.871179775280899
CAICARA DO NORTE,2021,138.0,8799,509.6,1250.73997,3.692753623188406,0.14214569496533697,2.4543562990580847
CAICARA DO NORTE,2022,191.8,8280,531.1,898.67,2.7690302398331594,0.10853502415458936,1.6920918847674635
CAICARA DO NORTE,2023,140.0,8953,539.5,999.63,3.8535714285714286,0.11165307718083324,1.852882298424467
CAICARA DO NORTE,2024,166.8,6922,436.0,784.3,2.6139088729016784,0.11330540306269864,1.7988532110091742
GALINHOS,2004,61.0,814,151.49,40.3,2.48344262295082,0.0495085995085995,0.2660241600105617
GALINHOS,2005,74.0,735,162.8,27.3,2.2,0.037142857142857144,0.16769041769041768
GALINHOS,2007,80.0,828,167.41,20.31,2.092625,0.024528985507246377,0.12131891762738187
GALINHOS,2008,128.0,3849,292.29,148.38,2.283515625,0.038550272798129386,0.5076465154469876
GALINHOS,2009,131.0,3828,151.5,207.233,1.1564885496183206,0.05413610240334378,1.367874587458746
GALINHOS,2010,149.0,4718,199.0,246.63299999999998,1.3355704697986577,0.05227490462060195,1.239361809045226
GALINHOS,2011,174.0,4703,185.5,237.15,1.0660919540229885,0.05042526047203912,1.2784366576819408
GALINHOS,2012,146.0,4779,166.0,219.5,1.1369863013698631,0.04593011090186232,1.322289156626506
GALINHOS,2013,132.0,4202,252.75,214.7,1.9147727272727273,0.05109471680152308,0.849455984174085
GALINHOS,2014,60.0,1738,139.0,94.22,2.316666666666667,0.05421173762945915,0.677841726618705
GALINHOS,2015,56.0,1586,127.0,89.2,2.267857142857143,0.05624211853720051,0.7023622047244095
GALINHOS,2016,55.0,1388,134.0,202.3,2.4363636363636365,0.1457492795389049,1.5097014925373136
GALINHOS,2017,58.0,1144,126.0,204.0,2.1724137931034484,0.17832167832167833,1.619047619047619
GALINHOS,2018,53.0,899,119.0,75.99,2.2452830188679247,0.08452725250278086,0.6385714285714286
GALINHOS,2019,53.0,3526,130.0,222.479,2.452830188679245,0.06309671015314805,1.7113769230769231
GALINHOS,2020,50.0,3502,112.0,179.61,2.24,0.05128783552255854,1.6036607142857144
GALINHOS,2021,49.0,4381,116.9,194.2537,2.3857142857142857,0.04434003652134216,1.6617082976903337
GALINHOS,2022,46.8,4382,111.0,197.49,2.371794871794872,0.045068461889548155,1.7791891891891893
GALINHOS,2023,50.0,4754,114.7,232.49,2.294,0.048904080774084986,2.026939843068875
GALINHOS,2024,48.3,3800,109.0,178.1,2.256728778467909,0.04686842105263158,1.6339449541284403
GROSSOS,2003,1.0,3,5.0,0.82,5.0,,0.16399999999999998
GROSSOS,2005,2.0,4,8.0,2.77,4.0,,0.34625
GROSSOS,2007,1.0,2,5.0,1.3,5.0,,0.26
GROSSOS,2009,43.0,1051,116.0,72.139,2.697674418604651,0.06863843958135109,0.6218879310344827
GROSSOS,2010,92.0,4398,103.5,108.012,1.125,0.024559345156889494,1.0435942028985508
GROSSOS,2011,137.0,4275,112.0,103.226,0.8175182481751825,0.024146432748538012,0.9216607142857143
GROSSOS,2012,78.0,5787,84.5,97.0,1.0833333333333333,0.016761707274926558,1.1479289940828403
GROSSOS,2013,73.0,4730,50.0,78.7,0.684931506849315,0.016638477801268498,1.574
GROSSOS,2014,37.0,2514,78.0,35.9,2.108108108108108,0.01428003182179793,0.46025641025641023
GROSSOS,2015,36.0,2325,80.0,34.6,2.2222222222222223,0.014881720430107527,0.4325
GROSSOS,2016,34.0,2281,79.0,75.0,2.323529411764706,0.03288031565103025,0.9493670886075949
GROSSOS,2017,43.0,1482,89.0,75.0,2.0697674418604652,0.05060728744939271,0.8426966292134831
GROSSOS,2018,25.0,682,59.0,17.77,2.36,0.026055718475073313,0.30118644067796607
GROSSOS,2019,21.0,14632,53.0,34.307,2.5238095238095237,0.0023446555494805905,0.6473018867924528
GROSSOS,2020,17.0,1280,46.0,176.07,2.7058823529411766,0.1375546875,3.8276086956521738
GROSSOS,2021,20.0,1219,52.5,28.3846,2.625,0.02328515176374077,0.5406590476190476
GROSSOS,2022,24.1,1343,47.3,30.37,1.9626556016597507,0.02261355174981385,0.6420718816067654
GROSSOS,2023,17.0,1437,54.6,33.19,3.211764705882353,0.02309672929714683,0.6078754578754578
GROSSOS,2024,23.5,1113,52.0,25.8,2.2127659574468086,0.02318059299191375,0.49615384615384617
GUAMARE,2001,57.0,1047,156.8,42.64,2.7508771929824563,0.04072588347659981,0.27193877551020407
GUAMARE,2002,76.0,2007,204.9,73.38,2.6960526315789473,0.03656203288490284,0.35812591508052705
GUAMARE,2003,74.0,1770,189.48,67.68,2.5605405405405404,0.038237288135593225,0.35718809373020904
GUAMARE,2004,85.0,3070,215.33,149.06,2.533294117647059,0.04855374592833876,0.6922398179538383
GUAMARE,2005,72.0,1687,184.08,82.16,2.5566666666666666,0.048701837581505626,0.44632768361581915
GUAMARE,2006,50.0,1224,158.87,48.93,3.1774,0.039975490196078434,0.3079876628690124
GUAMARE,2007,51.0,1025,163.13,51.93,3.1986274509803923,0.05066341463414634,0.3183350701894195
GUAMARE,2008,120.0,4544,299.8,462.76,2.4983333333333335,0.10183978873239437,1.543562374916611
GUAMARE,2009,134.0,4440,176.5,438.73699999999997,1.3171641791044777,0.09881463963963963,2.4857620396600564
GUAMARE,2010,127.0,4796,168.5,364.437,1.3267716535433072,0.07598769808173478,2.162830860534125
GUAMARE,2011,139.0,4404,157.0,346.651,1.129496402877698,0.07871276112624886,2.207968152866242
GUAMARE,2012,111.0,4293,137.0,183.8,1.2342342342342343,0.042813883065455395,1.3416058394160584
GUAMARE,2013,104.0,4401,127.25,195.0,1.2235576923076923,0.04430811179277437,1.5324165029469548
GUAMARE,2014,62.0,2535,141.0,102.38,2.274193548387097,0.04038658777120315,0.7260992907801418
GUAMARE,2015,64.0,2830,155.0,117.2,2.421875,0.041413427561837454,0.7561290322580645
