local,year,boat_type,vessels_monitored,fleet_production_ton,zero_production_flag
AREIA BRANCA,2019,PED,4,1.7,False
AREIA BRANCA,2019,PQM,6,7.1,False
AREIA BRANCA,2019,PQV,6,11.3,False
AREIA BRANCA,2020,BMG,19,2859.3,False
AREIA BRANCA,2020,BMM,19,99.0,False
AREIA BRANCA,2020,BMP,8,329.2,False
AREIA BRANCA,2020,BOM,1,1.4,False
AREIA BRANCA,2020,BOV,3,2.7,False
AREIA BRANCA,2020,CAM,0,0.0,True
AREIA BRANCA,2020,CAR,0,0.0,True
AREIA BRANCA,2020,CAV,1,0.0,True
AREIA BRANCA,2020,JAM,18,36.6,False
AREIA BRANCA,2020,JAV,13,15.1,False
AREIA BRANCA,2020,PED,4,2.6,False
AREIA BRANCA,2020,PQM,8,16.0,False
AREIA BRANCA,2020,PQV,4,2.9,False
AREIA BRANCA,2021,BMG,21,3078.535,False
AREIA BRANCA,2021,BMM,16,101.01,False
AREIA BRANCA,2021,BMP,12,807.662,False
AREIA BRANCA,2021,BOM,1,2.242,False
AREIA BRANCA,2021,BOV,3,2.312,False
AREIA BRANCA,2021,CAM,0,0.0,True
AREIA BRANCA,2021,CAR,0,0.0,True
AREIA BRANCA,2021,CAV,1,0.0,True
AREIA BRANCA,2021,JAM,25,55.182,False
AREIA BRANCA,2021,JAV,12,15.962,False
AREIA BRANCA,2021,PED,6,3.06,False
AREIA BRANCA,2021,PQM,8,13.008,False
AREIA BRANCA,2021,PQV,6,2.813,False
AREIA BRANCA,2022,BMG,17,2616.0,False
AREIA BRANCA,2022,BMM,15,120.0,False
AREIA BRANCA,2022,BMP,11,974.0,False
AREIA BRANCA,2022,BOM,1,1.0,False
AREIA BRANCA,2022,BOV,3,2.0,False
AREIA BRANCA,2022,CAM,0,0.0,True
AREIA BRANCA,2022,CAR,0,0.0,True
AREIA BRANCA,2022,CAV,0,0.0,True
AREIA BRANCA,2022,JAM,33,53.0,False
AREIA BRANCA,2022,JAV,9,8.0,False
AREIA BRANCA,2022,PED,5,3.0,False
AREIA BRANCA,2022,PQM,12,15.0,False
AREIA BRANCA,2022,PQV,5,2.0,False
AREIA BRANCA,2023,BMG,17,2642.0,False
AREIA BRANCA,2023,BMM,14,53.0,False
AREIA BRANCA,2023,BMP,10,962.0,False
AREIA BRANCA,2023,BOM,1,1.0,False
AREIA BRANCA,2023,BOV,1,1.0,False
AREIA BRANCA,2023,CAM,0,0.0,True
AREIA BRANCA,2023,CAR,0,0.0,True
AREIA BRANCA,2023,CAV,1,0.0,True
AREIA BRANCA,2023,JAM,25,63.0,False
AREIA BRANCA,2023,JAV,5,7.0,False
AREIA BRANCA,2023,PED,4,4.0,False
AREIA BRANCA,2023,PQM,6,11.0,False
AREIA BRANCA,2023,PQV,3,3.0,False
AREIA BRANCA,2024,BMG,15,1933.0,False
AREIA BRANCA,2024,BMM,11,39.0,False
AREIA BRANCA,2024,BMP,12,853.0,False
AREIA BRANCA,2024,BOM,1,5.0,False
AREIA BRANCA,2024,BOV,1,1.0,False
AREIA BRANCA,2024,CAM,0,0.0,True
AREIA BRANCA,2024,CAR,0,0.0,True
AREIA BRANCA,2024,CAV,0,0.0,True
AREIA BRANCA,2024,JAM,21,48.0,False
AREIA BRANCA,2024,JAV,5,9.0,False
AREIA BRANCA,2024,PED,4,2.0,False
AREIA BRANCA,2024,PQM,4,6.0,False
AREIA BRANCA,2024,PQV,3,3.0,False
CAICARA DO NORTE,2001,BMM,35,38.87,False
CAICARA DO NORTE,2001,BMP,43,61.96,False
CAICARA DO NORTE,2001,BOV,118,74.05,False
CAICARA DO NORTE,2001,CAV,12,2.95,False
CAICARA DO NORTE,2001,JAV,3,17.76,False
CAICARA DO NORTE,2001,PQM,13,7.12,False
CAICARA DO NORTE,2002,BMM,40,52.68,False
CAICARA DO NORTE,2002,BMP,45,66.97,False
CAICARA DO NORTE,2002,BOV,103,159.1,False
CAICARA DO NORTE,2002,CAV,10,3.49,False
CAICARA DO NORTE,2002,PED,3,16.03,False
CAICARA DO NORTE,2002,PQM,14,7.38,False
CAICARA DO NORTE,2003,BMM,46,74.47,False
CAICARA DO NORTE,2003,BMP,44,74.07,False
CAICARA DO NORTE,2003,BOV,92,164.58,False
CAICARA DO NORTE,2003,CAV,12,3.21,False
CAICARA DO NORTE,2003,PED,4,10.05,False
CAICARA DO NORTE,2003,PQM,15,6.22,False
CAICARA DO NORTE,2004,BMM,43,64.15,False
CAICARA DO NORTE,2004,BMP,46,91.98,False
CAICARA DO NORTE,2004,BOV,84,237.65,False
CAICARA DO NORTE,2004,CAV,21,5.58,False
CAICARA DO NORTE,2004,PED,3,15.12,False
CAICARA DO NORTE,2004,PQM,13,6.76,False
CAICARA DO NORTE,2005,BMM,44,78.24,False
CAICARA DO NORTE,2005,BMP,48,118.57,False
CAICARA DO NORTE,2005,BOV,90,109.7,False
CAICARA DO NORTE,2005,CAV,28,4.46,False
CAICARA DO NORTE,2005,JAV,2,15.3,False
CAICARA DO NORTE,2005,PED,1,0.17,False
CAICARA DO NORTE,2005,PQM,15,8.87,False
CAICARA DO NORTE,2006,BMM,49,75.94,False
CAICARA DO NORTE,2006,BMP,47,94.56,False
CAICARA DO NORTE,2006,BOV,72,154.47,False
CAICARA DO NORTE,2006,CAM,11,0.98,False
CAICARA DO NORTE,2006,CAV,17,2.32,False
CAICARA DO NORTE,2006,JAV,3,29.7,False
CAICARA DO NORTE,2006,PQM,12,6.529999999999999,False
CAICARA DO NORTE,2007,BMM,45,101.35,False
CAICARA DO NORTE,2007,BMP,47,135.3,False
CAICARA DO NORTE,2007,BOV,78,251.77,False
CAICARA DO NORTE,2007,CAM,28,5.11,False
CAICARA DO NORTE,2007,CAV,3,0.98,False
CAICARA DO NORTE,2007,JAV,3,8.64,False
CAICARA DO NORTE,2007,PQM,15,6.19,False
CAICARA DO NORTE,2008,BMM,47,107.77,False
CAICARA DO NORTE,2008,BMP,46,100.6,False
CAICARA DO NORTE,2008,BOV,73,198.88,False
CAICARA DO NORTE,2008,CAM,28,5.31,False
CAICARA DO NORTE,2008,CAV,1,1.11,False
CAICARA DO NORTE,2008,JAV,3,6.75,False
CAICARA DO NORTE,2008,PQM,13,8.97,False
CAICARA DO NORTE,2009,BMG,1,2.964,False
CAICARA DO NORTE,2009,BMM,57,304.864,False
CAICARA DO NORTE,2009,BMP,41,301.384,False
CAICARA DO NORTE,2009,BOM,0,0.0,True
CAICARA DO NORTE,2009,BOV,90,723.206,False
CAICARA DO NORTE,2009,CAM,36,60.03100000000001,False
CAICARA DO NORTE,2009,CAV,2,7.526999999999999,False
CAICARA DO NORTE,2009,JAV,3,8.681,False
CAICARA DO NORTE,2009,PED,0,0.0,True
CAICARA DO NORTE,2009,PQM,5,5.435,False
CAICARA DO NORTE,2009,PQV,33,71.756,False
CAICARA DO NORTE,2010,BMG,0,1.282,False
CAICARA DO NORTE,2010,BMM,52,393.673,False
CAICARA DO NORTE,2010,BMP,48,327.968,False
CAICARA DO NORTE,2010,BOM,0,0.0,True
CAICARA DO NORTE,2010,BOV,85,484.102,False
CAICARA DO NORTE,2010,CAM,38,50.363,False
CAICARA DO NORTE,2010,CAR,0,0.0,True
CAICARA DO NORTE,2010,CAV,1,2.396,False
CAICARA DO NORTE,2010,JAV,3,21.956,False
CAICARA DO NORTE,2010,PED,0,0.0,True
CAICARA DO NORTE,2010,PQM,7,8.295,False
CAICARA DO NORTE,2010,PQR,0,0.0,True
CAICARA DO NORTE,2010,PQV,7,56.38800000000001,False
CAICARA DO NORTE,2011,BMG,1,2.031,False
CAICARA DO NORTE,2011,BMM,53,289.0451,False
CAICARA DO NORTE,2011,BMP,24,238.548,False
CAICARA DO NORTE,2011,BOM,29,93.0,False
CAICARA DO NORTE,2011,BOV,82,482.78,False
CAICARA DO NORTE,2011,CAM,45,52.63500000000001,False
CAICARA DO NORTE,2011,CAR,0,0.0,True
CAICARA DO NORTE,2011,CAV,2,2.38,False
CAICARA DO NORTE,2011,JAM,13,16.611,False
CAICARA DO NORTE,2011,JAV,17,43.803,False
CAICARA DO NORTE,2011,PED,0,0.0,True
CAICARA DO NORTE,2011,PQM,4,11.765,False
CAICARA DO NORTE,2011,PQR,4,0.0,True
CAICARA DO NORTE,2011,PQV,20,24.094,False
CAICARA DO NORTE,2012,BMG,1,0.7,False
CAICARA DO NORTE,2012,BMM,41,195.5,False
CAICARA DO NORTE,2012,BMP,4,25.1,False
CAICARA DO NORTE,2012,BOM,61,397.1,False
CAICARA DO NORTE,2012,BOV,82,706.9,False
CAICARA DO NORTE,2012,CAM,38,56.3,False
CAICARA DO NORTE,2012,CAR,0,0.0,True
CAICARA DO NORTE,2012,CAV,2,1.1,False
CAICARA DO NORTE,2012,JAM,13,29.4,False
CAICARA DO NORTE,2012,JAV,18,18.9,False
CAICARA DO NORTE,2012,PED,0,0.0,True
CAICARA DO NORTE,2012,PQM,2,3.1,False
CAICARA DO NORTE,2012,PQV,6,16.2,False
CAICARA DO NORTE,2013,BMG,0,0.0,True
CAICARA DO NORTE,2013,BMM,39,237.6,False
