local,year,fleet_monitored,assisted_trips,estimated_fishermen,production_ton,fishermen_per_vessel_x,cpue_ton_per_trip,cpue_per_fisherman,fishermen_per_vessel_y,municipality,n_landing_points,period
GALINHOS,2009,131.0,3828,151.5,207.233,1.1564885496183206,0.0541361024033437,1.367874587458746,1.1564885496183206,,1,middle
GALINHOS,2010,149.0,4718,199.0,246.633,1.3355704697986577,0.0522749046206019,1.239361809045226,1.3355704697986577,,1,middle
GALINHOS,2011,174.0,4703,185.5,237.15,1.0660919540229885,0.0504252604720391,1.2784366576819408,1.0660919540229885,,1,middle
GALINHOS,2012,146.0,4779,166.0,219.5,1.1369863013698631,0.0459301109018623,1.322289156626506,1.1369863013698631,,1,middle
GALINHOS,2013,132.0,4202,252.75,214.7,1.9147727272727273,0.051094716801523,0.849455984174085,1.9147727272727273,,1,middle
GALINHOS,2014,60.0,1738,139.0,94.22,2.316666666666667,0.0542117376294591,0.677841726618705,2.316666666666667,,1,middle
GALINHOS,2015,56.0,1586,127.0,89.2,2.267857142857143,0.0562421185372005,0.7023622047244095,2.267857142857143,,1,middle
GALINHOS,2016,55.0,1388,134.0,202.3,2.4363636363636365,0.1457492795389049,1.5097014925373136,2.4363636363636365,,1,recent
GALINHOS,2017,58.0,1144,126.0,204.0,2.1724137931034484,0.1783216783216783,1.619047619047619,2.1724137931034484,,1,recent
GALINHOS,2018,53.0,899,119.0,75.99,2.2452830188679247,0.0845272525027808,0.6385714285714286,2.2452830188679247,,1,recent
GALINHOS,2019,53.0,3526,130.0,222.479,2.452830188679245,0.063096710153148,1.7113769230769231,2.452830188679245,,1,recent
GALINHOS,2020,50.0,3502,112.0,179.61,2.24,0.0512878355225585,1.6036607142857144,2.24,,1,recent
GALINHOS,2021,49.0,4381,116.9,194.2537,2.3857142857142857,0.0443400365213421,1.6617082976903337,2.3857142857142857,,1,recent
GALINHOS,2022,46.8,4382,111.0,197.49,2.371794871794872,0.0450684618895481,1.7791891891891891,2.371794871794872,,1,recent
GALINHOS,2023,50.0,4754,114.7,232.49,2.294,0.0489040807740849,2.026939843068875,2.294,,1,recent
GALINHOS,2024,48.3,3800,109.0,178.1,2.256728778467909,0.0468684210526315,1.6339449541284403,2.256728778467909,,1,recent
GROSSOS,2003,1.0,3,5.0,0.82,5.0,,0.1639999999999999,5.0,,3,early
GROSSOS,2005,2.0,4,8.0,2.77,4.0,,0.34625,4.0,,3,early
GROSSOS,2007,1.0,2,5.0,1.3,5.0,,0.26,5.0,,3,early
GROSSOS,2009,43.0,1051,116.0,72.139,2.697674418604651,0.068638439581351,0.6218879310344827,2.697674418604651,,3,middle
GROSSOS,2010,92.0,4398,103.5,108.012,1.125,0.0245593451568894,1.0435942028985508,1.125,,3,middle
GROSSOS,2011,137.0,4275,112.0,103.226,0.8175182481751825,0.024146432748538,0.9216607142857144,0.8175182481751825,,3,middle
GROSSOS,2012,78.0,5787,84.5,97.0,1.0833333333333333,0.0167617072749265,1.1479289940828403,1.0833333333333333,,3,middle
GROSSOS,2013,73.0,4730,50.0,78.7,0.684931506849315,0.0166384778012684,1.574,0.684931506849315,,3,middle
GROSSOS,2014,37.0,2514,78.0,35.9,2.108108108108108,0.0142800318217979,0.4602564102564102,2.108108108108108,,3,middle
GROSSOS,2015,36.0,2325,80.0,34.6,2.2222222222222223,0.0148817204301075,0.4325,2.2222222222222223,,3,middle
GROSSOS,2016,34.0,2281,79.0,75.0,2.323529411764706,0.0328803156510302,0.9493670886075948,2.323529411764706,,3,recent
GROSSOS,2017,43.0,1482,89.0,75.0,2.0697674418604652,0.0506072874493927,0.8426966292134831,2.0697674418604652,,3,recent
GROSSOS,2018,25.0,682,59.0,17.77,2.36,0.0260557184750733,0.301186440677966,2.36,,3,recent
GROSSOS,2019,21.0,14632,53.0,34.307,2.5238095238095237,0.0023446555494805,0.6473018867924528,2.5238095238095237,,3,recent
GROSSOS,2020,17.0,1280,46.0,176.07,2.7058823529411766,0.1375546875,3.8276086956521738,2.7058823529411766,,3,recent
GROSSOS,2021,20.0,1219,52.5,28.3846,2.625,0.0232851517637407,0.5406590476190476,2.625,,3,recent
GROSSOS,2022,24.1,1343,47.3,30.37,1.9626556016597507,0.0226135517498138,0.6420718816067654,1.9626556016597507,,3,recent
GROSSOS,2023,17.0,1437,54.6,33.19,3.211764705882353,0.0230967292971468,0.6078754578754578,3.211764705882353,,3,recent
GROSSOS,2024,23.5,1113,52.0,25.8,2.2127659574468086,0.0231805929919137,0.4961538461538461,2.2127659574468086,,3,recent
GUAMARE,2001,57.0,1047,156.8,42.64,2.7508771929824563,0.0407258834765998,0.271938775510204,2.7508771929824563,,2,early
GUAMARE,2002,76.0,2007,204.9,73.38,2.6960526315789473,0.0365620328849028,0.358125915080527,2.6960526315789473,,2,early
GUAMARE,2003,74.0,1770,189.48,67.68,2.5605405405405404,0.0382372881355932,0.357188093730209,2.5605405405405404,,2,early
GUAMARE,2004,85.0,3070,215.33,149.06,2.533294117647059,0.0485537459283387,0.6922398179538383,2.533294117647059,,2,early
GUAMARE,2005,72.0,1687,184.08,82.16,2.556666666666666,0.0487018375815056,0.4463276836158191,2.556666666666666,,2,early
GUAMARE,2006,50.0,1224,158.87,48.93,3.1774,0.0399754901960784,0.3079876628690124,3.1774,,2,early
GUAMARE,2007,51.0,1025,163.13,51.93,3.1986274509803923,0.0506634146341463,0.3183350701894195,3.1986274509803923,,2,early
GUAMARE,2008,120.0,4544,299.8,462.76,2.4983333333333335,0.1018397887323943,1.543562374916611,2.4983333333333335,,2,early
GUAMARE,2009,134.0,4440,176.5,438.737,1.3171641791044777,0.0988146396396396,2.4857620396600564,1.3171641791044777,,2,middle
GUAMARE,2010,127.0,4796,168.5,364.437,1.3267716535433072,0.0759876980817347,2.162830860534125,1.3267716535433072,,2,middle
GUAMARE,2011,139.0,4404,157.0,346.651,1.129496402877698,0.0787127611262488,2.207968152866242,1.129496402877698,,2,middle
GUAMARE,2012,111.0,4293,137.0,183.8,1.2342342342342345,0.0428138830654553,1.3416058394160584,1.2342342342342345,,2,middle
GUAMARE,2013,104.0,4401,127.25,195.0,1.2235576923076923,0.0443081117927743,1.5324165029469548,1.2235576923076923,,2,middle
GUAMARE,2014,62.0,2535,141.0,102.38,2.274193548387097,0.0403865877712031,0.7260992907801418,2.274193548387097,,2,middle
GUAMARE,2015,64.0,2830,155.0,117.2,2.421875,0.0414134275618374,0.7561290322580645,2.421875,,2,middle
GUAMARE,2016,59.0,2482,140.0,228.4,2.3728813559322033,0.0920225624496373,1.6314285714285717,2.3728813559322033,,2,recent
GUAMARE,2017,65.0,2266,137.0,230.0,2.107692307692308,0.1015004413062665,1.6788321167883211,2.107692307692308,,2,recent
GUAMARE,2018,65.0,2051,152.0,111.81,2.3384615384615386,0.0545148707947342,0.7355921052631579,2.3384615384615386,,2,recent
GUAMARE,2019,60.0,8084,147.0,296.318,2.45,0.0366548738248391,2.015768707482993,2.45,,2,recent
GUAMARE,2020,57.0,3756,136.0,188.79,2.3859649122807016,0.0502635782747603,1.3881617647058824,2.3859649122807016,,2,recent
GUAMARE,2021,52.0,3347,134.9,203.42719,2.5942307692307693,0.0607789632506722,1.507985100074129,2.5942307692307693,,2,recent
GUAMARE,2022,71.6,4387,164.9,342.24,2.3030726256983245,0.0780123090950535,2.0754396604002427,2.3030726256983245,,2,recent
GUAMARE,2023,57.0,4467,155.8,403.91,2.7333333333333334,0.0904208641146183,2.592490372272144,2.7333333333333334,,2,recent
GUAMARE,2024,56.5,3479,123.0,207.4,2.1769911504424777,0.0596148318482322,1.686178861788618,2.1769911504424777,,2,recent
MACAU,2001,208.0,3574,516.8,224.49,2.484615384615384,0.062811975377728,0.4343846749226007,2.484615384615384,,6,early
MACAU,2002,213.0,3481,565.79,252.67,2.6562910798122066,0.0725854639471416,0.4465791194612842,2.6562910798122066,,6,early
MACAU,2003,218.0,4319,553.71,377.68,2.539954128440367,0.0874461680944663,0.6820899026566253,2.539954128440367,,6,early
MACAU,2004,235.0,6039,666.29,688.09,2.8352765957446806,0.1139410498426892,1.0327184859445588,2.8352765957446806,,6,early
MACAU,2005,254.0,5826,553.88,390.76,2.1806299212598423,0.0670717473395125,0.7054957752581786,2.1806299212598423,,6,early
MACAU,2006,199.0,3454,504.59,216.66,2.5356281407035173,0.0627272727272727,0.4293783071404506,2.5356281407035173,,6,early
MACAU,2007,247.0,4853,617.58,369.66,2.500323886639676,0.0761714403461776,0.5985621296026425,2.500323886639676,,6,early
MACAU,2008,307.0,11470,765.92,969.82,2.49485342019544,0.0845527462946817,1.2662157927720912,2.49485342019544,,6,early
MACAU,2009,295.0,13518,685.0,2406.311,2.3220338983050848,0.1780079153720964,3.512862773722628,2.3220338983050848,,6,middle
MACAU,2010,432.0,18778,723.0,2081.226,1.6736111111111112,0.1108332090744488,2.878597510373444,1.6736111111111112,,6,middle
MACAU,2011,248.0,15919,584.0,1752.678,2.3548387096774195,0.1100997550097367,3.0011609589041095,2.3548387096774195,,6,middle
MACAU,2012,366.0,15622,482.5,1086.1,1.3183060109289615,0.0695237485597234,2.250984455958549,1.3183060109289615,,6,middle
MACAU,2013,340.0,16881,509.25,1470.3,1.4977941176470588,0.0870979207392926,2.8871870397643593,1.4977941176470588,,6,middle
MACAU,2014,170.0,7897,507.0,818.85,2.9823529411764707,0.1036912751677852,1.61508875739645,2.9823529411764707,,6,middle
MACAU,2015,182.0,9924,535.0,752.9,2.93956043956044,0.0758665860540104,1.4072897196261682,2.93956043956044,,6,middle
MACAU,2016,199.0,10102,521.0,1466.0,2.6180904522613067,0.1451197782617303,2.8138195777351247,2.6180904522613067,,6,recent
MACAU,2017,208.0,9162,481.0,1533.0,2.3125,0.1673215455140799,3.187110187110187,2.3125,,6,recent
MACAU,2018,213.0,8221,558.0,595.3,2.619718309859155,0.0724121153144386,1.066845878136201,2.619718309859155,,6,recent
MACAU,2019,231.0,23069,661.0,1643.916,2.8614718614718613,0.0712608262170011,2.4870136157337366,2.8614718614718613,,6,recent
MACAU,2020,220.0,18086,597.0,1370.75,2.713636363636364,0.0757906668141103,2.29606365159129,2.713636363636364,,6,recent
MACAU,2021,211.0,18623,615.1,1308.62037,2.9151658767772513,0.0702690420447833,2.127492066330678,2.9151658767772513,,6,recent
MACAU,2022,284.0,18228,684.1,1358.49,2.4088028169014084,0.0745276497695852,1.985806168688788,2.4088028169014084,,6,recent
MACAU,2023,220.0,18509,639.8,1359.32,2.9081818181818178,0.073441028688746,2.124601437949359,2.9081818181818178,,6,recent
MACAU,2024,210.1,15049,529.0,997.1,2.517848643503094,0.0662568941457904,1.8848771266540645,2.517848643503094,,6,recent
PORTO DO MANGUE,2001,61.0,4841,151.65,96.6,2.486065573770492,0.0199545548440404,0.6369930761622156,2.486065573770492,,3,early
PORTO DO MANGUE,2002,66.0,3021,171.04,65.83,2.5915151515151513,0.0217907977490897,0.3848807296538821,2.5915151515151513,,3,early
PORTO DO MANGUE,2003,53.0,1833,151.89,46.08,2.8658490566037735,0.0251391162029459,0.3033774442030417,2.8658490566037735,,3,early
PORTO DO MANGUE,2004,50.0,2616,127.54,69.85,2.5508,0.0267010703363914,0.5476713188019444,2.5508,,3,early
