local,year,gear_cod,gear_type,gear_group,gear_production_ton
AREIA BRANCA,2013,TRF,tarrafa,active,1.2
AREIA BRANCA,2013,TRM,tresmalho,passive,12.9
AREIA BRANCA,2014,APA,arrasto de praia,active,0.7
AREIA BRANCA,2014,APO,arrasto de porta,active,0.1
AREIA BRANCA,2014,CMN,coleta manual,active,0.4
AREIA BRANCA,2014,CMP,compressor,active,4.1
AREIA BRANCA,2014,CPL,covo peixe e lagosta,passive,1.3
AREIA BRANCA,2014,CUR,curral,passive,0.0
AREIA BRANCA,2014,CVL,covo lagosta,passive,3.7
AREIA BRANCA,2014,CVP,covo peixe,passive,31.3
AREIA BRANCA,2014,JER,jereré,active,0.0
AREIA BRANCA,2014,LCP,linha e covo peixe,mixed,1.8
AREIA BRANCA,2014,LES,linha e espinhel,mixed,0.0
AREIA BRANCA,2014,LIJ,linha e jereré,mixed,0.0
AREIA BRANCA,2014,LIN,linha,passive,1186.7
AREIA BRANCA,2014,LML,linha e mergulho livre,mixed,1.2
AREIA BRANCA,2014,LRE,linha e rede de espera,mixed,1.8
AREIA BRANCA,2014,MEL,mergulho livre,active,4.5
AREIA BRANCA,2014,PUC,puçá,active,0.1
AREIA BRANCA,2014,RAG,rede agulha,passive,2.7
AREIA BRANCA,2014,RCA,rede caçoeira,passive,10.8
AREIA BRANCA,2014,RES,rede de espera,passive,75.8
AREIA BRANCA,2014,RTP,rede de tapagem,passive,0.0
AREIA BRANCA,2014,SRD,sardinheira,passive,0.0
AREIA BRANCA,2014,TNR,traineira,active,0.9
AREIA BRANCA,2014,TRF,tarrafa,active,0.5
AREIA BRANCA,2014,TRM,tremalho,passive,0.3
AREIA BRANCA,2015,APA,arrasto de praia,active,0.0
AREIA BRANCA,2015,APO,arrasto de porta,active,0.0
AREIA BRANCA,2015,CMN,coleta manual,active,0.3
AREIA BRANCA,2015,CMP,compressor,active,11.5
AREIA BRANCA,2015,COQ,coqueiro,active,0.0
AREIA BRANCA,2015,CPL,covo peixe e lagosta,passive,3.8
AREIA BRANCA,2015,CUR,curral,passive,0.0
AREIA BRANCA,2015,CVL,covo lagosta,passive,13.2
AREIA BRANCA,2015,CVP,covo peixe,passive,19.7
AREIA BRANCA,2015,JER,jereré,active,0.0
AREIA BRANCA,2015,LCL,linha e covo lagosta,mixed,0.0
AREIA BRANCA,2015,LCP,linha e covo peixe,mixed,1.6
AREIA BRANCA,2015,LES,linha e espinhel,mixed,0.8
AREIA BRANCA,2015,LIJ,linha e jereré,mixed,0.0
AREIA BRANCA,2015,LIN,linha,passive,1998.6
AREIA BRANCA,2015,LRE,linha e rede de espera,mixed,0.0
AREIA BRANCA,2015,MEL,mergulho livre,active,8.6
AREIA BRANCA,2015,PUC,puçá,active,0.0
AREIA BRANCA,2015,RAG,rede agulha,passive,12.1
AREIA BRANCA,2015,RCA,rede caçoeira,passive,7.4
AREIA BRANCA,2015,RES,rede de espera,passive,49.4
AREIA BRANCA,2015,RTP,rede de tapagem,passive,0.0
AREIA BRANCA,2015,SRD,sardinheira,passive,0.0
AREIA BRANCA,2015,TNR,traineira,active,1.3
AREIA BRANCA,2015,TRF,tarrafa,active,2.6
AREIA BRANCA,2015,TRM,tremalho,passive,0.0
AREIA BRANCA,2016,APA,arrasto de praia,active,0.5
AREIA BRANCA,2016,APO,arrasto de porta,active,0.3
AREIA BRANCA,2016,CMN,coleta manual,active,0.4
AREIA BRANCA,2016,CMP,compressor,active,22.8
AREIA BRANCA,2016,COQ,coqueiro,active,0.0
AREIA BRANCA,2016,CPL,covo peixe e lagosta,passive,5.9
AREIA BRANCA,2016,CUR,curral,passive,0.0
AREIA BRANCA,2016,CVL,covo lagosta,passive,27.4
AREIA BRANCA,2016,CVP,covo peixe,passive,58.8
AREIA BRANCA,2016,JER,jereré,active,0.0
AREIA BRANCA,2016,LCL,linha e covo lagosta,mixed,12.0
AREIA BRANCA,2016,LCP,linha e covo peixe,mixed,3.8
AREIA BRANCA,2016,LES,linha e espinhel,mixed,2.0
AREIA BRANCA,2016,LIJ,linha e jereré,mixed,0.0
AREIA BRANCA,2016,LIN,linha,passive,2761.8
AREIA BRANCA,2016,LML,linha e mergulho livre,mixed,1.0
AREIA BRANCA,2016,LRE,linha e rede de espera,mixed,2.2
AREIA BRANCA,2016,MEL,mergulho livre,active,8.7
AREIA BRANCA,2016,PUC,puçá,active,0.0
AREIA BRANCA,2016,RAG,rede agulha,passive,7.3
AREIA BRANCA,2016,RCA,rede caçoeira,passive,27.9
AREIA BRANCA,2016,RES,rede de espera,passive,120.1
AREIA BRANCA,2016,RTP,rede de tapagem,passive,0.0
AREIA BRANCA,2016,SRD,sardinheira,passive,0.0
AREIA BRANCA,2016,TNR,traineira,active,3.1
AREIA BRANCA,2016,TRF,tarrafa,active,1.5
AREIA BRANCA,2016,TRM,tremalho,passive,2.7
AREIA BRANCA,2017,APA,arrasto de praia,active,0.3
AREIA BRANCA,2017,APO,arrasto de porta,active,0.4
AREIA BRANCA,2017,CMN,coleta manual,active,0.4
AREIA BRANCA,2017,CMP,compressor,active,20.2
AREIA BRANCA,2017,COQ,coqueiro,active,0.0
AREIA BRANCA,2017,CPL,covo peixe e lagosta,passive,6.5
AREIA BRANCA,2017,CUR,curral,passive,0.0
AREIA BRANCA,2017,CVL,covo lagosta,passive,25.9
AREIA BRANCA,2017,CVP,covo peixe,passive,60.6
AREIA BRANCA,2017,JER,jereré,active,0.0
AREIA BRANCA,2017,LCL,linha e covo lagosta,mixed,5.2
AREIA BRANCA,2017,LCP,linha e covo peixe,mixed,8.6
AREIA BRANCA,2017,LES,linha e espinhel,mixed,3.9
AREIA BRANCA,2017,LIJ,linha e jereré,mixed,0.0
AREIA BRANCA,2017,LIN,linha,passive,2706.6
AREIA BRANCA,2017,LML,linha e mergulho livre,mixed,1.9
AREIA BRANCA,2017,LRE,linha e rede de espera,mixed,3.2
AREIA BRANCA,2017,MEL,mergulho livre,active,9.4
AREIA BRANCA,2017,PUC,puçá,active,0.0
AREIA BRANCA,2017,RAG,rede agulha,passive,7.9
AREIA BRANCA,2017,RCA,rede caçoeira,passive,16.3
AREIA BRANCA,2017,RES,rede de espera,passive,118.8
AREIA BRANCA,2017,RTP,rede de tapagem,passive,0.0
AREIA BRANCA,2017,SRD,sardinheira,passive,0.0
AREIA BRANCA,2017,TNR,traineira,active,2.7
AREIA BRANCA,2017,TRF,tarrafa,active,1.8
AREIA BRANCA,2017,TRM,tremalho,passive,4.7
AREIA BRANCA,2018,APA,arrasto de praia,active,0.0
AREIA BRANCA,2018,APO,arrasto de porta,active,0.0
AREIA BRANCA,2018,CMN,coleta manual,active,0.0
AREIA BRANCA,2018,CMP,compressor,active,2.9
AREIA BRANCA,2018,COQ,coqueiro,active,0.0
AREIA BRANCA,2018,CPL,covo peixe e lagosta,passive,0.0
AREIA BRANCA,2018,CUR,curral,passive,0.0
AREIA BRANCA,2018,CVL,covo lagosta,passive,11.7
AREIA BRANCA,2018,CVP,covo peixe,passive,9.8
AREIA BRANCA,2018,JER,jereré,active,0.0
AREIA BRANCA,2018,LES,linha e espinhel,mixed,0.0
AREIA BRANCA,2018,LIJ,linha e jereré,mixed,0.0
AREIA BRANCA,2018,LIN,linha,passive,2223.7
AREIA BRANCA,2018,LRE,linha e rede de espera,mixed,0.0
AREIA BRANCA,2018,MEL,mergulho livre,active,4.0
AREIA BRANCA,2018,PUC,puçá,active,0.0
AREIA BRANCA,2018,RAG,rede agulha,passive,0.3
AREIA BRANCA,2018,RCA,rede caçoeira,passive,0.5
AREIA BRANCA,2018,RES,rede de espera,passive,30.4
AREIA BRANCA,2018,RTP,rede de tapagem,passive,0.0
AREIA BRANCA,2018,SRD,sardinheira,passive,0.0
AREIA BRANCA,2018,TNR,traineira,active,0.6
AREIA BRANCA,2018,TRF,tarrafa,active,0.0
AREIA BRANCA,2018,TRM,tremalho,passive,0.0
AREIA BRANCA,2019,APA,arrasto de praia,active,0.0
AREIA BRANCA,2019,APO,arrasto de porta,active,0.0
AREIA BRANCA,2019,CMN,coleta manual,active,0.1
AREIA BRANCA,2019,CMP,compressor,active,9.1
AREIA BRANCA,2019,COQ,coqueiro,active,0.0
AREIA BRANCA,2019,CPL,covo peixe e lagosta,passive,0.0
AREIA BRANCA,2019,CUR,curral,passive,0.0
AREIA BRANCA,2019,CVL,covo lagosta,passive,3.3
AREIA BRANCA,2019,CVP,covo peixe,passive,42.3
AREIA BRANCA,2019,JER,jereré,active,0.0
AREIA BRANCA,2019,LCL,linha e covo lagosta,mixed,0.0
AREIA BRANCA,2019,LCP,linha e covo peixe,mixed,0.0
AREIA BRANCA,2019,LES,linha e espinhel,mixed,0.0
AREIA BRANCA,2019,LIJ,linha e jereré,mixed,0.0
AREIA BRANCA,2019,LIN,linha,passive,3902.5
AREIA BRANCA,2019,LML,linha e mergulho livre,mixed,0.0
AREIA BRANCA,2019,LRE,linha e rede de espera,mixed,0.0
AREIA BRANCA,2019,MEL,mergulho livre,active,15.7
AREIA BRANCA,2019,PUC,puçá,active,0.0
AREIA BRANCA,2019,RAG,rede agulha,passive,10.7
AREIA BRANCA,2019,RCA,rede caçoeira,passive,2.5
AREIA BRANCA,2019,RES,rede de espera,passive,67.7
AREIA BRANCA,2019,RTP,rede de tapagem,passive,0.6
AREIA BRANCA,2019,SRD,sardinheira,passive,0.0
AREIA BRANCA,2019,TNR,traineira,active,1.3
AREIA BRANCA,2019,TRF,tarrafa,active,0.5
AREIA BRANCA,2019,TRM,tremalho,passive,9.0
AREIA BRANCA,2020,APA,arrasto de praia,active,0.0
AREIA BRANCA,2020,APO,arrasto de porta,active,0.0
AREIA BRANCA,2020,CMN,coleta manual,active,0.1
AREIA BRANCA,2020,CMP,compressor,active,11.7
AREIA BRANCA,2020,COQ,coqueiro,active,0.0
AREIA BRANCA,2020,CPL,covo peixe e lagosta,passive,0.0
AREIA BRANCA,2020,CUR,curral,passive,0.0
AREIA BRANCA,2020,CVL,covo lagosta,passive,2.3
AREIA BRANCA,2020,CVP,covo peixe,passive,38.8
AREIA BRANCA,2020,JER,jereré,active,0.0
AREIA BRANCA,2020,LCL,linha e covo lagosta,mixed,0.0
AREIA BRANCA,2020,LCP,linha e covo peixe,mixed,0.0
AREIA BRANCA,2020,LES,linha e espinhel,mixed,0.0
AREIA BRANCA,2020,LIJ,linha e jereré,mixed,0.0
AREIA BRANCA,2020,LIN,linha,passive,3227.8
AREIA BRANCA,2020,LML,linha e mergulho livre,mixed,0.0
AREIA BRANCA,2020,LRE,linha e rede de espera,mixed,0.0
AREIA BRANCA,2020,MEL,mergulho livre,active,22.8
AREIA BRANCA,2020,PUC,puçá,active,0.0
AREIA BRANCA,2020,RAG,rede agulha,passive,12.8
AREIA BRANCA,2020,RCA,rede caçoeira,passive,0.1
AREIA BRANCA,2020,RES,rede de espera,passive,46.5
AREIA BRANCA,2020,RTP,rede de tapagem,passive,0.0
AREIA BRANCA,2020,SRD,sardinheira,passive,0.0
AREIA BRANCA,2020,TNR,traineira,active,0.8
AREIA BRANCA,2020,TRF,tarrafa,active,0.0
AREIA BRANCA,2020,TRM,tremalho,passive,1.3
AREIA BRANCA,2021,APA,arrasto de praia,active,0.0
AREIA BRANCA,2021,APO,arrasto de porta,active,0.0
AREIA BRANCA,2021,CMN,coleta manual,active,0.0
AREIA BRANCA,2021,CMP,compressor,active,15.9
AREIA BRANCA,2021,COQ,coqueiro,active,0.0
AREIA BRANCA,2021,CPL,covo peixe e lagosta,passive,0.0
AREIA BRANCA,2021,CUR,curral,passive,0.0
AREIA BRANCA,2021,CVL,covo lagosta,passive,0.4
AREIA BRANCA,2021,CVP,covo peixe,passive,78.9
AREIA BRANCA,2021,JER,jereré,active,0.0
AREIA BRANCA,2021,LCL,linha e covo lagosta,mixed,0.0
AREIA BRANCA,2021,LCP,linha e covo peixe,mixed,0.0
AREIA BRANCA,2021,LES,linha e espinhel,mixed,0.0
AREIA BRANCA,2021,LIJ,linha e jereré,mixed,0.0
AREIA BRANCA,2021,LIN,linha,passive,3925.2
AREIA BRANCA,2021,LML,linha e mergulho livre,mixed,0.0
AREIA BRANCA,2021,LRE,linha e rede de espera,mixed,0.0
AREIA BRANCA,2021,MEL,mergulho livre,active,12.5
AREIA BRANCA,2021,PUC,puçá,active,0.0
AREIA BRANCA,2021,RAG,rede agulha,passive,7.0
AREIA BRANCA,2021,RCA,rede caçoeira,passive,0.4
AREIA BRANCA,2021,RES,rede de espera,passive,38.4
AREIA BRANCA,2021,RTP,rede de tapagem,passive,0.0
AREIA BRANCA,2021,SRD,sardinheira,passive,0.0
AREIA BRANCA,2021,TNR,traineira,active,1.6
AREIA BRANCA,2021,TRF,tarrafa,active,0.1
AREIA BRANCA,2021,TRM,tremalho,passive,1.4
AREIA BRANCA,2022,APO,arrasto de porta,active,0.0
AREIA BRANCA,2022,CMN,coleta manual,active,0.1
AREIA BRANCA,2022,CMP,compressor,active,8.8
AREIA BRANCA,2022,COQ,coqueiro,active,0.0
AREIA BRANCA,2022,CPL,covo peixe e lagosta,passive,0.0
AREIA BRANCA,2022,CUR,curral,passive,0.0
AREIA BRANCA,2022,CVL,covo lagosta,passive,0.3
AREIA BRANCA,2022,CVP,covo peixe,passive,86.1
AREIA BRANCA,2022,LES,linha e espinhel,mixed,0.0
AREIA BRANCA,2022,LIJ,linha e jereré,mixed,0.0
AREIA BRANCA,2022,LIN,linha,passive,3640.0
AREIA BRANCA,2022,LML,linha e mergulho livre,mixed,0.0
AREIA BRANCA,2022,LRE,linha e rede de espera,mixed,0.0
AREIA BRANCA,2022,MEL,mergulho livre,active,8.6
AREIA BRANCA,2022,PUC,puçá,active,0.0
AREIA BRANCA,2022,RAG,rede agulha,passive,7.5
AREIA BRANCA,2022,RCA,rede caçoeira,passive,0.1
AREIA BRANCA,2022,RES,rede de espera,passive,39.7
AREIA BRANCA,2022,RTP,rede de tapagem,passive,0.0
AREIA BRANCA,2022,SRD,sardinheira,passive,0.0
AREIA BRANCA,2022,TNR,traineira,active,1.0
AREIA BRANCA,2022,TRF,tarrafa,active,0.0
AREIA BRANCA,2022,TRM,tremalho,passive,2.6
AREIA BRANCA,2023,APO,arrasto de porta,active,0.0
AREIA BRANCA,2023,CMN,coleta manual,active,2.1
AREIA BRANCA,2023,CMP,compressor,active,9.7
AREIA BRANCA,2023,COQ,coqueiro,active,0.0
AREIA BRANCA,2023,CPL,covo peixe e lagosta,passive,1.5
AREIA BRANCA,2023,CUR,curral,passive,0.0
AREIA BRANCA,2023,CVL,covo lagosta,passive,1.4
AREIA BRANCA,2023,CVP,covo peixe,passive,23.0
AREIA BRANCA,2023,JER,jereré,active,0.0
AREIA BRANCA,2023,LES,linha e espinhel,mixed,0.0
AREIA BRANCA,2023,LIJ,linha e jereré,mixed,0.0
AREIA BRANCA,2023,LIN,linha,passive,3654.9
AREIA BRANCA,2023,LML,linha e mergulho livre,mixed,0.0
AREIA BRANCA,2023,LRE,linha e rede de espera,mixed,0.0
AREIA BRANCA,2023,MEL,mergulho livre,active,7.7
AREIA BRANCA,2023,PUC,puçá,active,0.0
AREIA BRANCA,2023,RAG,rede agulha,passive,8.9
AREIA BRANCA,2023,RCA,rede caçoeira,passive,0.0
AREIA BRANCA,2023,RES,rede de espera,passive,38.2
AREIA BRANCA,2023,RTP,rede de tapagem,passive,0.0
AREIA BRANCA,2023,SRD,sardinheira,passive,0.0
AREIA BRANCA,2023,TNR,traineira,active,0.8
AREIA BRANCA,2023,TRF,tarrafa,active,0.2
AREIA BRANCA,2023,TRM,tremalho,passive,0.2
AREIA BRANCA,2024,APO,arrasto de porta,active,0.0
AREIA BRANCA,2024,CMN,coleta manual,active,0.0
AREIA BRANCA,2024,CMP,compressor,active,4.3
AREIA BRANCA,2024,COQ,palha de coqueiro,passive,0.0
AREIA BRANCA,2024,CUR,curral,passive,0.0
AREIA BRANCA,2024,CVL,covo lagosta,passive,0.0
AREIA BRANCA,2024,CVP,covo peixe,passive,14.6
AREIA BRANCA,2024,ESP,espinhel,passive,0.0
AREIA BRANCA,2024,LES,linha e espinhel,mixed,0.0
AREIA BRANCA,2024,LIJ,linha e jereré,mixed,0.0
AREIA BRANCA,2024,LIN,linha,passive,2827.3
AREIA BRANCA,2024,LML,linha e mergulho livre,mixed,0.0
AREIA BRANCA,2024,LRE,linha e rede de espera,mixed,0.0
AREIA BRANCA,2024,MEL,mergulho livre,active,6.7
AREIA BRANCA,2024,PUC,puçá,active,0.0
AREIA BRANCA,2024,RAG,rede agulha,passive,8.5
AREIA BRANCA,2024,REC,rede caçoeira,passive,0.0
AREIA BRANCA,2024,RES,rede de espera,passive,35.5
AREIA BRANCA,2024,RTP,rede de tapagem,passive,0.0
AREIA BRANCA,2024,SRD,sardinheira,passive,0.0
AREIA BRANCA,2024,TRF,tarrafa,active,0.0
AREIA BRANCA,2024,TRM,tremalho,passive,0.0
CAICARA DO NORTE,2001,APA,arrasto de praia,active,17.76
CAICARA DO NORTE,2001,APO,arrasto de porta,active,0.21
CAICARA DO NORTE,2001,CPL,covo peixe e lagosta,passive,29.66
CAICARA DO NORTE,2001,CVL,covo lagosta,passive,0.35
CAICARA DO NORTE,2001,ESP,espinhel,passive,0.91
CAICARA DO NORTE,2001,LIJ,linha e jereré,mixed,48.01
CAICARA DO NORTE,2001,LIN,linha,passive,36.76
CAICARA DO NORTE,2001,RAG,rede agulha,passive,28.59
CAICARA DO NORTE,2001,RES,rede de espera,passive,40.46
CAICARA DO NORTE,2002,APA,arrasto de praia,active,16.03
CAICARA DO NORTE,2002,APO,arrasto de porta,active,0.72
CAICARA DO NORTE,2002,COQ,coqueiro,active,2.96
CAICARA DO NORTE,2002,CPL,covo peixe e lagosta,passive,33.73
CAICARA DO NORTE,2002,CVL,covo lagosta,passive,0.35
CAICARA DO NORTE,2002,LIJ,linha e jereré,mixed,136.77
CAICARA DO NORTE,2002,LIN,linha,passive,48.45
CAICARA DO NORTE,2002,RAG,rede agulha,passive,25.16
CAICARA DO NORTE,2002,RES,rede de espera,passive,41.47
CAICARA DO NORTE,2003,APA,arrasto de praia,active,10.05
CAICARA DO NORTE,2003,APO,arrasto de porta,active,1.25
CAICARA DO NORTE,2003,COQ,coqueiro,active,9.38
CAICARA DO NORTE,2003,CPL,covo peixe e lagosta,passive,32.09
CAICARA DO NORTE,2003,CVL,covo lagosta,passive,0.54
CAICARA DO NORTE,2003,ESP,espinhel,passive,2.57
