local,year,species,sp_production_ton
AREIA BRANCA,2012,Garoupa,1.7
AREIA BRANCA,2012,Guaiuba,13.3
AREIA BRANCA,2012,Lagosta,142.1
AREIA BRANCA,2012,Marisco,0.0
AREIA BRANCA,2012,Outros,9.8
AREIA BRANCA,2012,Pampo,0.3
AREIA BRANCA,2012,Pargo,5.2
AREIA BRANCA,2012,Paru,7.199999999999999
AREIA BRANCA,2012,Peixe Galo,2.0
AREIA BRANCA,2012,Peixe Voador,0.0
AREIA BRANCA,2012,Pescada,9.100000000000001
AREIA BRANCA,2012,Pirauna,0.0
AREIA BRANCA,2012,Polvo,0.0
AREIA BRANCA,2012,Salema,1.5
AREIA BRANCA,2012,Saramunete,0.0
AREIA BRANCA,2012,Sardinha,0.6
AREIA BRANCA,2012,Serra,27.5
AREIA BRANCA,2012,Siri,0.0
AREIA BRANCA,2012,Sirigado,14.6
AREIA BRANCA,2012,Tainha,4.1
AREIA BRANCA,2012,Tilapia,0.0
AREIA BRANCA,2012,Ubarana,0.0
AREIA BRANCA,2012,Xareu,10.4
AREIA BRANCA,2013,Agulha,10.2
AREIA BRANCA,2013,Albacora,950.7
AREIA BRANCA,2013,Arabaiana,3.7
AREIA BRANCA,2013,Ariaco,63.90000000000001
AREIA BRANCA,2013,Arraia,10.8
AREIA BRANCA,2013,Bagre,5.4
AREIA BRANCA,2013,Biquara,11.0
AREIA BRANCA,2013,Bonito,10.8
AREIA BRANCA,2013,Buzios,0.0
AREIA BRANCA,2013,Caico,14.3
AREIA BRANCA,2013,Camarao,0.9
AREIA BRANCA,2013,Camurim,4.9
AREIA BRANCA,2013,Camurupim,2.7
AREIA BRANCA,2013,Caranguejo,0.0
AREIA BRANCA,2013,Carapeba,3.1
AREIA BRANCA,2013,Cavala,10.2
AREIA BRANCA,2013,Caçao,9.2
AREIA BRANCA,2013,Cioba,40.6
AREIA BRANCA,2013,Cururuca,17.7
AREIA BRANCA,2013,Dentao,14.6
AREIA BRANCA,2013,Dourado,8.7
AREIA BRANCA,2013,Espada,12.9
AREIA BRANCA,2013,Galo Do Alto,1.5
AREIA BRANCA,2013,Garabebeu,0.0
AREIA BRANCA,2013,Garajuba,23.8
AREIA BRANCA,2013,Garoupa,0.4
AREIA BRANCA,2013,Guaiuba,8.9
AREIA BRANCA,2013,Lagosta,113.3
AREIA BRANCA,2013,Marisco,0.0
AREIA BRANCA,2013,Outros,24.8
AREIA BRANCA,2013,Pargo,1.1
AREIA BRANCA,2013,Paru,4.1
AREIA BRANCA,2013,Peixe Voador,0.0
AREIA BRANCA,2013,Pescada,9.9
AREIA BRANCA,2013,Polvo,0.0
AREIA BRANCA,2013,Salema,1.7
AREIA BRANCA,2013,Sardinha,0.1
AREIA BRANCA,2013,Serra,41.09999999999999
AREIA BRANCA,2013,Siri,0.1
AREIA BRANCA,2013,Sirigado,14.7
AREIA BRANCA,2013,Tainha,3.0
AREIA BRANCA,2013,Tilapia,0.0
AREIA BRANCA,2014,Agulha,4.5
AREIA BRANCA,2014,Albacora,1126.9
AREIA BRANCA,2014,Arabaiana,1.4
AREIA BRANCA,2014,Ariaco,17.0
AREIA BRANCA,2014,Arraia,2.6
AREIA BRANCA,2014,Bagre,3.6
AREIA BRANCA,2014,Biquara,3.5
AREIA BRANCA,2014,Bonito,17.7
AREIA BRANCA,2014,Buzios,0.0
AREIA BRANCA,2014,Caico,7.5
AREIA BRANCA,2014,Camarao,0.1
AREIA BRANCA,2014,Camurim,2.3
AREIA BRANCA,2014,Camurupim,2.5
AREIA BRANCA,2014,Caranguejo,0.0
AREIA BRANCA,2014,Carapeba,2.6
AREIA BRANCA,2014,Cavala,5.4
AREIA BRANCA,2014,Caçao,5.3
AREIA BRANCA,2014,Cioba,16.3
AREIA BRANCA,2014,Cururuca,8.7
AREIA BRANCA,2014,Dentao,1.4
AREIA BRANCA,2014,Dourado,8.1
AREIA BRANCA,2014,Espada,0.1
AREIA BRANCA,2014,Garabebeu,0.0
AREIA BRANCA,2014,Garajuba,12.2
AREIA BRANCA,2014,Garoupa,0.1
AREIA BRANCA,2014,Guaiuba,6.5
AREIA BRANCA,2014,Lagosta,29.9
AREIA BRANCA,2014,Marisco,0.0
AREIA BRANCA,2014,Outros,12.0
AREIA BRANCA,2014,Pargo,1.2
AREIA BRANCA,2014,Paru,1.4
AREIA BRANCA,2014,Peixe Galo,0.7
AREIA BRANCA,2014,Peixe Voador,0.0
AREIA BRANCA,2014,Pescada,3.2
AREIA BRANCA,2014,Polvo,0.0
AREIA BRANCA,2014,Salema,1.3
AREIA BRANCA,2014,Sardinha,0.1
AREIA BRANCA,2014,Serra,18.7
AREIA BRANCA,2014,Siri,0.0
AREIA BRANCA,2014,Sirigado,3.0
AREIA BRANCA,2014,Tainha,1.1
AREIA BRANCA,2014,Tilapia,0.0
AREIA BRANCA,2015,Agulha,12.1
AREIA BRANCA,2015,Agulhao,1.3
AREIA BRANCA,2015,Albacora,1893.1
AREIA BRANCA,2015,Arabaiana,1.7
AREIA BRANCA,2015,Ariaco,11.1
AREIA BRANCA,2015,Arraia,6.2
AREIA BRANCA,2015,Bagre,1.5
AREIA BRANCA,2015,Beijupira,0.2
AREIA BRANCA,2015,Bicuda,0.3
AREIA BRANCA,2015,Biquara,0.6
